DRM+VQC(Encoding+Ansatz),DRM,feature_set,train_size,ansatz,encoding,threshold,TP,TN,FP,FN,TPR_point,FPR_point,elapsed_s,gpu_id,accuracy_mean_B,accuracy_std_B,accuracy_ci_low_B,accuracy_ci_high_B,accuracy_ci_width_B,accuracy_pm_B,accuracy_ci_str_B,f1_mean_B,f1_std_B,f1_ci_low_B,f1_ci_high_B,f1_ci_width_B,f1_pm_B,f1_ci_str_B,auc_mean_B,auc_std_B,auc_ci_low_B,auc_ci_high_B,auc_ci_width_B,auc_pm_B,auc_ci_str_B,tpr_mean_B,tpr_std_B,tpr_ci_low_B,tpr_ci_high_B,tpr_ci_width_B,tpr_pm_B,tpr_ci_str_B,fpr_mean_B,fpr_std_B,fpr_ci_low_B,fpr_ci_high_B,fpr_ci_width_B,fpr_pm_B,fpr_ci_str_B,prec_mean_B,prec_std_B,prec_ci_low_B,prec_ci_high_B,prec_ci_width_B,prec_pm_B,prec_ci_str_B,n_subsets,n_valid,subset_size
Autoencoder+VQC(RY_Angle_Encoding+EfficientSU2_like),Autoencoder,autoencoder,5000,EfficientSU2_like,RY_Angle_Encoding,0.5299999999999999,1457,531,2,10,0.9931833674164964,0.0037523452157598,91.1,5,0.9958,0.0014,0.9925,0.998,0.0055,0.9958 ± 0.0014,"[0.9925, 0.9980]",0.9971,0.001,0.9949,0.9986,0.0038,0.9971 ± 0.0010,"[0.9949, 0.9986]",0.9961,0.0021,0.9912,0.9992,0.008,0.9961 ± 0.0021,"[0.9912, 0.9992]",0.9961,0.0016,0.9918,0.9986,0.0068,0.9961 ± 0.0016,"[0.9918, 0.9986]",0.0049,0.0031,0.0,0.0113,0.0113,0.0049 ± 0.0031,"[0.0000, 0.0113]",0.9982,0.0011,0.9959,1.0,0.0041,0.9982 ± 0.0011,"[0.9959, 1.0000]",200,200,2000
Autoencoder+VQC(RX_Angle_Encoding+EfficientSU2_like),Autoencoder,autoencoder,5000,EfficientSU2_like,RX_Angle_Encoding,0.5249999999999999,1448,531,2,19,0.9870483980913428,0.0037523452157598,100.0,4,0.9926,0.002,0.9885,0.996,0.0075,0.9926 ± 0.0020,"[0.9885, 0.9960]",0.995,0.0014,0.9921,0.9973,0.0052,0.9950 ± 0.0014,"[0.9921, 0.9973]",0.9961,0.0015,0.9925,0.9986,0.0061,0.9961 ± 0.0015,"[0.9925, 0.9986]",0.9925,0.0023,0.9877,0.9966,0.0089,0.9925 ± 0.0023,"[0.9877, 0.9966]",0.007,0.0037,0.0019,0.0151,0.0132,0.0070 ± 0.0037,"[0.0019, 0.0151]",0.9974,0.0013,0.9945,0.9993,0.0048,0.9974 ± 0.0013,"[0.9945, 0.9993]",200,200,2000
Autoencoder+VQC(RY_Angle_Encoding+Real_Amplitude_like),Autoencoder,autoencoder,5000,Real_Amplitude_like,RY_Angle_Encoding,0.5449999999999999,1447,531,2,20,0.9863667348329924,0.0037523452157598,86.6,4,0.9902,0.0024,0.9855,0.9945,0.009,0.9902 ± 0.0024,"[0.9855, 0.9945]",0.9933,0.0017,0.99,0.9963,0.0062,0.9933 ± 0.0017,"[0.9900, 0.9963]",0.9926,0.0025,0.9873,0.9964,0.0091,0.9926 ± 0.0025,"[0.9873, 0.9964]",0.9886,0.0031,0.9816,0.9939,0.0123,0.9886 ± 0.0031,"[0.9816, 0.9939]",0.0052,0.0032,0.0,0.0113,0.0113,0.0052 ± 0.0032,"[0.0000, 0.0113]",0.9981,0.0012,0.9959,1.0,0.0041,0.9981 ± 0.0012,"[0.9959, 1.0000]",200,200,2000
Autoencoder+VQC(RY_Angle_Encoding+strongly_entangling),Autoencoder,autoencoder,5000,strongly_entangling,RY_Angle_Encoding,0.5299999999999999,1447,530,3,20,0.9863667348329924,0.0056285178236397,81.3,7,0.9879,0.0026,0.9825,0.9925,0.01,0.9879 ± 0.0026,"[0.9825, 0.9925]",0.9917,0.0018,0.988,0.9949,0.0069,0.9917 ± 0.0018,"[0.9880, 0.9949]",0.9935,0.0021,0.9887,0.9972,0.0085,0.9935 ± 0.0021,"[0.9887, 0.9972]",0.9891,0.003,0.9823,0.9939,0.0116,0.9891 ± 0.0030,"[0.9823, 0.9939]",0.0155,0.0049,0.0075,0.0244,0.0169,0.0155 ± 0.0049,"[0.0075, 0.0244]",0.9943,0.0018,0.9911,0.9973,0.0062,0.9943 ± 0.0018,"[0.9911, 0.9973]",200,200,2000
Autoencoder+VQC(RY_Angle_Encoding+custom_ansatz_1),Autoencoder,autoencoder,5000,custom_ansatz_1,RY_Angle_Encoding,0.5099999999999999,1441,527,6,26,0.9822767552828904,0.0112570356472795,91.0,6,0.9873,0.0026,0.9815,0.9915,0.01,0.9873 ± 0.0026,"[0.9815, 0.9915]",0.9913,0.0018,0.9873,0.9942,0.0069,0.9913 ± 0.0018,"[0.9873, 0.9942]",0.991,0.0029,0.9843,0.9953,0.0109,0.9910 ± 0.0029,"[0.9843, 0.9953]",0.9879,0.0032,0.9809,0.9939,0.013,0.9879 ± 0.0032,"[0.9809, 0.9939]",0.0146,0.0053,0.0056,0.0244,0.0188,0.0146 ± 0.0053,"[0.0056, 0.0244]",0.9947,0.0019,0.991,0.9979,0.0069,0.9947 ± 0.0019,"[0.9910, 0.9979]",200,200,2000
XGB_PCA4+VQC(RY_Angle_Encoding+Real_Amplitude_like),XGB_PCA4,xgb_pca4,5000,Real_Amplitude_like,RY_Angle_Encoding,0.5049999999999999,1433,532,1,34,0.9768234492160872,0.0018761726078799,89.7,7,0.9854,0.0029,0.98,0.9905,0.0105,0.9854 ± 0.0029,"[0.9800, 0.9905]",0.99,0.002,0.9862,0.9935,0.0073,0.9900 ± 0.0020,"[0.9862, 0.9935]",0.9888,0.0028,0.9823,0.994,0.0116,0.9888 ± 0.0028,"[0.9823, 0.9940]",0.9802,0.0039,0.9727,0.987,0.0143,0.9802 ± 0.0039,"[0.9727, 0.9870]",0.0003,0.0008,0.0,0.0019,0.0019,0.0003 ± 0.0008,"[0.0000, 0.0019]",0.9999,0.0003,0.9993,1.0,0.0007,0.9999 ± 0.0003,"[0.9993, 1.0000]",200,200,2000
Autoencoder+VQC(RX_Angle_Encoding+strongly_entangling),Autoencoder,autoencoder,5000,strongly_entangling,RX_Angle_Encoding,0.5099999999999999,1438,520,13,29,0.9802317655078392,0.024390243902439,81.4,6,0.9826,0.003,0.9765,0.9875,0.011,0.9826 ± 0.0030,"[0.9765, 0.9875]",0.9881,0.0021,0.9839,0.9914,0.0076,0.9881 ± 0.0021,"[0.9839, 0.9914]",0.9925,0.0022,0.9881,0.996,0.0079,0.9925 ± 0.0022,"[0.9881, 0.9960]",0.9838,0.0035,0.9761,0.9898,0.0136,0.9838 ± 0.0035,"[0.9761, 0.9898]",0.0208,0.0059,0.0113,0.0319,0.0206,0.0208 ± 0.0059,"[0.0113, 0.0319]",0.9924,0.0021,0.9883,0.9959,0.0076,0.9924 ± 0.0021,"[0.9883, 0.9959]",200,200,2000
Autoencoder+VQC(Custom_H_RY_RZ+EfficientSU2_like),Autoencoder,autoencoder,5000,EfficientSU2_like,Custom_H_RY_RZ,0.5199999999999999,1452,497,36,15,0.9897750511247444,0.0675422138836773,120.7,7,0.9743,0.0037,0.966,0.9815,0.0155,0.9743 ± 0.0037,"[0.9660, 0.9815]",0.9826,0.0025,0.977,0.9874,0.0104,0.9826 ± 0.0025,"[0.9770, 0.9874]",0.9497,0.0082,0.9334,0.9658,0.0324,0.9497 ± 0.0082,"[0.9334, 0.9658]",0.988,0.0029,0.9816,0.9939,0.0123,0.9880 ± 0.0029,"[0.9816, 0.9939]",0.0632,0.0111,0.0431,0.0882,0.0451,0.0632 ± 0.0111,"[0.0431, 0.0882]",0.9773,0.0039,0.9685,0.9844,0.0159,0.9773 ± 0.0039,"[0.9685, 0.9844]",200,200,2000
Autoencoder+VQC(IQP_style_encoding+EfficientSU2_like),Autoencoder,autoencoder,5000,EfficientSU2_like,IQP_style_encoding,0.5299999999999999,1429,504,29,38,0.9740967961826856,0.0544090056285178,133.2,4,0.9698,0.0036,0.962,0.9765,0.0145,0.9698 ± 0.0036,"[0.9620, 0.9765]",0.9794,0.0025,0.9742,0.984,0.0098,0.9794 ± 0.0025,"[0.9742, 0.9840]",0.9925,0.0016,0.9892,0.9954,0.0062,0.9925 ± 0.0016,"[0.9892, 0.9954]",0.9792,0.0037,0.9714,0.9864,0.015,0.9792 ± 0.0037,"[0.9714, 0.9864]",0.0558,0.0095,0.0375,0.0788,0.0413,0.0558 ± 0.0095,"[0.0375, 0.0788]",0.9797,0.0034,0.9716,0.9863,0.0146,0.9797 ± 0.0034,"[0.9716, 0.9863]",200,200,2000
XGB_PCA4+VQC(IQP_style_encoding+Real_Amplitude_like),XGB_PCA4,xgb_pca4,5000,Real_Amplitude_like,IQP_style_encoding,0.4699999999999999,1403,529,4,64,0.956373551465576,0.0075046904315197,131.5,6,0.9738,0.0036,0.9665,0.9805,0.014,0.9738 ± 0.0036,"[0.9665, 0.9805]",0.982,0.0025,0.9769,0.9866,0.0097,0.9820 ± 0.0025,"[0.9769, 0.9866]",0.9863,0.0027,0.9795,0.991,0.0114,0.9863 ± 0.0027,"[0.9795, 0.9910]",0.9734,0.004,0.9652,0.9809,0.0157,0.9734 ± 0.0040,"[0.9652, 0.9809]",0.0254,0.0075,0.0131,0.0413,0.0282,0.0254 ± 0.0075,"[0.0131, 0.0413]",0.9906,0.0027,0.9847,0.9951,0.0104,0.9906 ± 0.0027,"[0.9847, 0.9951]",200,200,2000
