feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,strongly_entangling,iqp_embedding,0.98,0.9863481228668942,0.9946707489727091,0.9876965140123035,0.9850034083162917,0.5199999999999999,15,0.989,0.9925119128658951,0.9969802412741235
xgb_pca4,5000,custom_ansatz_1,amplitude_embedding,0.9795,0.9858278603525752,0.9840135258360606,1.0,0.9720518064076347,0.49499999999999994,7,0.99,0.9931318681318682,0.9904348759139752
autoencoder,5000,custom_ansatz_1,iqp_embedding,0.96,0.9731002017484869,0.9863871975199223,0.960185799601858,0.9863667348329925,0.4499999999999999,14,0.973,0.9817690749493585,0.9924684866972219
xgb_pca4,5000,real_amplitudes,amplitude_embedding,0.955,0.9697986577181208,0.9868923701035027,0.9550561797752809,0.9850034083162917,0.49999999999999994,18,0.956,0.9705882352941176,0.9921874600814466
xgb_pca4,5000,strongly_entangling,zz_feature_map,0.9545,0.968566493955095,0.9836157823588618,0.9817927170868347,0.9556918882072256,0.38999999999999996,11,0.963,0.9747095010252905,0.9899750141790702
autoencoder,5000,efficient_su2_like,iqp_embedding,0.9505,0.9660144181256437,0.9805348690579875,0.9730290456431535,0.9591002044989775,0.565,20,0.946,0.9630642954856361,0.9828573764377067
autoencoder,5000,strongly_entangling,custom_h_ry_rz,0.9485,0.9640739448901291,0.9706181394046125,0.9871428571428571,0.9420586230402181,0.5299999999999999,20,0.941,0.9587123862841148,0.9663330114301188
autoencoder,5000,real_amplitudes,ry_embedding,0.946,0.9630642954856361,0.973920305507916,0.9663692518874399,0.9597818677573279,0.5499999999999999,20,0.955,0.9693251533742331,0.9855399032246527
autoencoder,5000,real_amplitudes,zz_feature_map,0.928,0.9517749497655726,0.9634408519639703,0.9354838709677419,0.9686434901158828,0.5249999999999999,20,0.925,0.9502322495023225,0.9594964003045306
xgb_pca4,5000,strongly_entangling,amplitude_embedding,0.924,0.9453630481667865,0.9867312264439303,1.0,0.896387184730743,0.49999999999999994,15,0.931,0.9506084466714388,0.9919013238908391
autoencoder,5000,real_amplitudes,iqp_embedding,0.922,0.9481037924151696,0.9642785432101607,0.9259259259259259,0.9713701431492843,0.5299999999999999,20,0.925,0.9504950495049505,0.9705075340680902
autoencoder,5000,custom_ansatz_1,zz_feature_map,0.919,0.9441379310344827,0.9276017347242844,0.9553384508025122,0.9331970006816632,0.49999999999999994,20,0.923,0.946712802768166,0.9263046021940513
autoencoder,5000,strongly_entangling,zz_feature_map,0.912,0.940013633265167,0.9303654763777462,0.940013633265167,0.940013633265167,0.49499999999999994,5,0.914,0.9410958904109589,0.9366106146307567
autoencoder,5000,efficient_su2_like,custom_h_ry_rz,0.912,0.9395604395604396,0.8973348629191813,0.946712802768166,0.9325153374233128,0.5249999999999999,20,0.92,0.9444444444444444,0.9258140830101527
autoencoder,5000,efficient_su2_like,zz_feature_map,0.91,0.9377593360995851,0.9626364125840409,0.9515789473684211,0.9243353783231084,0.5299999999999999,20,0.902,0.9327846364883402,0.9530992126145182
xgb_pca4,5000,efficient_su2_like,zz_feature_map,0.8925,0.9314631813834874,0.8428836529988707,0.8748502994011976,0.9959100204498977,0.295,4,0.882,0.9252217997465145,0.8679328193101052
xgb_pca4,5000,custom_ansatz_1,zz_feature_map,0.888,0.9173431734317343,0.9589761494594655,1.0,0.847307430129516,0.5249999999999999,3,0.896,0.9236417033773862,0.9491648399936642
pca4,5000,efficient_su2_like,iqp_embedding,0.881,0.9221713538260301,0.9415969336663635,0.8862350722815839,0.9611451942740287,0.49999999999999994,20,0.864,0.913154533844189,0.9307908088967918
