DRM+VQC,Perf. Rank (of 112),f1_pm,Rank_F1,deploy_coverage,Rank_C,sigma_epi_mean,Rank_S,JSC_score,JSC_Rank
Autoencoder+VQC(RY_Angle_Encoding+EfficientSU2_like),1,0.9971 ± 0.0010,1,1.0,1,0.1070496262960487,3,5,1
Autoencoder+VQC(RX_Angle_Encoding+EfficientSU2_like),2,0.9950 ± 0.0014,2,1.0,1,0.0308615190053701,3,6,2
Autoencoder+VQC(RY_Angle_Encoding+Real_Amplitude_like),3,0.9933 ± 0.0017,3,1.0,1,0.054694359094109,3,7,3
Autoencoder+VQC(RY_Angle_Encoding+strongly_entangling),4,0.9917 ± 0.0018,4,1.0,1,0.0240288714665695,2,7,4
Autoencoder+VQC(RY_Angle_Encoding+custom_ansatz_1),5,0.9913 ± 0.0018,5,1.0,1,0.015965403909323,2,8,5
Autoencoder+VQC(RX_Angle_Encoding+strongly_entangling),7,0.9881 ± 0.0021,7,1.0,1,0.0158946882474397,2,10,6
Autoencoder+VQC(Custom_H_RY_RZ+EfficientSU2_like),8,0.9826 ± 0.0025,8,1.0,1,0.0421210867297578,3,12,7
XGB_PCA4+VQC(IQP_style_encoding+Real_Amplitude_like),10,0.9820 ± 0.0025,9,1.0,1,0.0286788996894887,2,12,8
Autoencoder+VQC(IQP_style_encoding+EfficientSU2_like),9,0.9794 ± 0.0025,10,1.0,1,0.0277928247461878,2,13,9
XGB_PCA4+VQC(RY_Angle_Encoding+Real_Amplitude_like),6,0.9900 ± 0.0020,6,0.928,6,0.0225592837684285,2,14,10
XGB_PCA4+VQC(RX_Angle_Encoding+Real_Amplitude_like),14,0.9772 ± 0.0029,11,1.0,1,0.0126622963006323,2,14,11
Autoencoder+VQC(Amplitude_Embedding+Real_Amplitude_like),13,0.9755 ± 0.0029,12,0.9765,4,0.0533918535457067,3,19,12
Autoencoder+VQC(Amplitude_Embedding+strongly_entangling),15,0.9677 ± 0.0030,15,0.9945,2,0.055639941656815,3,20,13
Autoencoder+VQC(ZZ_Feature_Map_style+custom_ansatz_1),16,0.9715 ± 0.0030,14,0.984,3,0.0349662655305483,3,20,14
Autoencoder+VQC(Amplitude_Embedding+custom_ansatz_1),11,0.9751 ± 0.0029,13,0.975,5,0.0517655265387506,3,21,15
Autoencoder+VQC(RX_Angle_Encoding+custom_ansatz_1),19,0.9596 ± 0.0034,17,0.8605,9,0.0071649361035782,1,27,16
XGB_PCA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),18,0.9612 ± 0.0035,16,0.785,14,0.0489747621243446,3,33,17
Autoencoder+VQC(ZZ_Feature_Map_style+EfficientSU2_like),25,0.9332 ± 0.0039,24,0.8845,7,0.0594356156580849,3,34,18
Autoencoder+VQC(Custom_H_RY_RZ+custom_ansatz_1),12,0.9443 ± 0.0044,21,0.7965,13,0.0074369462246254,1,35,19
Autoencoder+VQC(IQP_style_encoding+custom_ansatz_1),24,0.9396 ± 0.0036,23,0.817,10,0.0173685973077959,2,35,20
Autoencoder+VQC(IQP_style_encoding+Real_Amplitude_like),22,0.9531 ± 0.0035,18,0.755,17,0.0165397996961401,2,37,21
Autoencoder+VQC(Custom_H_RY_RZ+Real_Amplitude_like),23,0.9470 ± 0.0042,20,0.7665,15,0.0223003534446608,2,37,22
ICA4+VQC(IQP_style_encoding+Real_Amplitude_like),29,0.9201 ± 0.0042,28,0.8035,11,0.0240944643039005,2,41,23
Autoencoder+VQC(ZZ_Feature_Map_style+strongly_entangling),27,0.9260 ± 0.0048,27,0.7485,19,0.0280619055216061,2,48,24
ICA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),33,0.9165 ± 0.0042,30,0.7635,16,0.057598255174531,3,49,25
PCA4+VQC(IQP_style_encoding+Real_Amplitude_like),40,0.9193 ± 0.0040,29,0.737,20,0.0226701394110998,2,51,26
XGB_PCA4+VQC(RX_Angle_Encoding+EfficientSU2_like),32,0.9331 ± 0.0040,25,0.6605,26,0.0083663693361457,1,52,27
Autoencoder+VQC(RX_Angle_Encoding+Real_Amplitude_like),28,0.9271 ± 0.0051,26,0.659,27,0.0081259241510972,1,54,28
ICA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),37,0.9151 ± 0.0040,31,0.727,21,0.0230809414758507,2,54,29
ICA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),30,0.9145 ± 0.0038,32,0.713,22,0.0292354674793469,2,56,30
ICA4+VQC(IQP_style_encoding+EfficientSU2_like),48,0.9035 ± 0.0034,39,0.753,18,0.058122776071543,3,60,31
XGB_PCA4+VQC(ZZ_Feature_Map_style+strongly_entangling),36,0.9086 ± 0.0054,35,0.6825,23,0.0423298500299561,3,61,32
PCA4+VQC(RX_Angle_Encoding+EfficientSU2_like),35,0.9067 ± 0.0039,37,0.6635,25,0.009237616794316,1,63,33
ICA4+VQC(IQP_style_encoding+strongly_entangling),52,0.9024 ± 0.0033,41,0.6755,24,0.0252634551314451,2,67,34
ICA4+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),39,0.9111 ± 0.0040,34,0.5855,33,0.0502843734566157,3,70,35
Autoencoder+VQC(IQP_style_encoding+strongly_entangling),17,0.8628 ± 0.0071,61,0.871,8,0.0125761263762661,2,71,36
PCA4+VQC(Custom_H_RY_RZ+custom_ansatz_1),54,0.9071 ± 0.0043,36,0.5725,34,0.0220919259765995,2,72,37
Autoencoder+VQC(Custom_H_RY_RZ+strongly_entangling),21,0.9498 ± 0.0043,19,0.016,52,0.0309370928941253,3,74,38
PCA4+VQC(IQP_style_encoding+EfficientSU2_like),69,0.8978 ± 0.0035,45,0.616,30,0.0364018120110501,3,78,39
XGB_PCA4+VQC(RY_Angle_Encoding+EfficientSU2_like),44,0.8597 ± 0.0025,65,0.7975,12,0.0299345478885271,2,79,40
PCA4+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),62,0.8937 ± 0.0031,48,0.625,29,0.0399260804773918,3,80,41
Autoencoder+VQC(Amplitude_Embedding+EfficientSU2_like),26,0.9420 ± 0.0043,22,0.0,58,0.0132384309357673,2,82,42
XGB_PCA4+VQC(RX_Angle_Encoding+custom_ansatz_1),80,0.8779 ± 0.0045,52,0.645,28,0.0124348688538591,2,82,43
ICA4+VQC(RY_Angle_Encoding+EfficientSU2_like),53,0.9034 ± 0.0035,40,0.215,40,0.0309285477275098,3,83,44
PCA4+VQC(Custom_H_RY_RZ+strongly_entangling),50,0.9046 ± 0.0033,38,0.132,44,0.0214104475458704,2,84,45
ICA4+VQC(IQP_style_encoding+custom_ansatz_1),43,0.9143 ± 0.0047,33,0.0,58,0.0182668992538938,2,93,46
XGB_PCA4+VQC(Custom_H_RY_RZ+Real_Amplitude_like),47,0.8991 ± 0.0033,43,0.08,48,0.0190088878725028,2,93,47
