feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,EfficientSU2_like,ry_embedding,0.994,0.9958988380041012,0.9953652014103906,0.9986291980808774,0.9931833674164964,0.9931833674164964,0.0037523452157598,1457,531,2,10,0.5299999999999999,17,0.995,0.9965823650034176,0.9992948786731456
autoencoder,5000,EfficientSU2_like,rx_embedding,0.9895,0.9928008227631128,0.9923443972523728,0.9986206896551724,0.9870483980913428,0.9870483980913428,0.0037523452157598,1448,531,2,19,0.5249999999999999,19,0.993,0.9952087611225188,0.9959532167328355
autoencoder,5000,Real_Amplitude_like,ry_embedding,0.989,0.9924554183813444,0.9904336938602988,0.9986197377501724,0.9863667348329924,0.9863667348329924,0.0037523452157598,1447,531,2,20,0.5449999999999999,16,0.995,0.9965823650034176,0.9970006795734526
autoencoder,5000,strongly_entangling,ry_embedding,0.9885,0.99211518683579,0.9897392414226172,0.9979310344827588,0.9863667348329924,0.9863667348329924,0.0056285178236397,1447,530,3,20,0.5299999999999999,18,0.996,0.9972677595628416,0.9969955699986204
autoencoder,5000,custom_ansatz_1,ry_embedding,0.984,0.9890185312285518,0.9893824233192784,0.9958534899792676,0.9822767552828904,0.9822767552828904,0.0112570356472795,1441,527,6,26,0.5099999999999999,18,0.992,0.9945205479452056,0.9964795029405604
xgb_pca4,5000,Real_Amplitude_like,ry_embedding,0.9825,0.9879351947604276,0.987996076279781,0.999302649930265,0.9768234492160872,0.9768234492160872,0.0018761726078799,1433,532,1,34,0.5049999999999999,20,0.994,0.995890410958904,0.9977262391996362
autoencoder,5000,strongly_entangling,rx_embedding,0.979,0.9856065798492116,0.989161170516849,0.9910406616126808,0.9802317655078392,0.9802317655078392,0.024390243902439,1438,520,13,29,0.5099999999999999,19,0.987,0.9911262798634812,0.9958203677871964
autoencoder,5000,EfficientSU2_like,custom_h_ry_rz,0.9745,0.9827411167512692,0.9437416790401976,0.9758064516129032,0.9897750511247444,0.9897750511247444,0.0675422138836773,1452,497,36,15,0.5199999999999999,20,0.989,0.992522093813732,0.9752083429137862
autoencoder,5000,EfficientSU2_like,IQP_style_encoding,0.9665,0.9770940170940172,0.9907227293131828,0.9801097393689986,0.9740967961826856,0.9740967961826856,0.0544090056285178,1429,504,29,38,0.5299999999999999,20,0.981,0.9870483980913428,0.9931991558982376
xgb_pca4,5000,Real_Amplitude_like,IQP_style_encoding,0.966,0.97633959638135,0.983652870978922,0.9971570717839374,0.956373551465576,0.956373551465576,0.0075046904315197,1403,529,4,64,0.4699999999999999,19,0.978,0.984764542936288,0.9908640801998866
autoencoder,5000,custom_ansatz_1,amplitude_embedding,0.9635,0.9755115732975512,0.9429461920858,0.9603698811096432,0.9911383776414452,0.9911383776414452,0.1125703564727955,1454,473,60,13,0.5049999999999999,19,0.975,0.9830966869506425,0.96987905636372
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.963,0.9746401644962304,0.9868974857752352,0.980013783597519,0.9693251533742332,0.9693251533742332,0.0544090056285178,1422,504,29,45,0.5149999999999999,18,0.976,0.9835616438356164,0.992652431391184
autoencoder,5000,Real_Amplitude_like,amplitude_embedding,0.963,0.975100942126514,0.9456447089246732,0.9627906976744186,0.9877300613496932,0.9877300613496932,0.1050656660412758,1449,477,56,18,0.5049999999999999,20,0.978,0.9850948509485096,0.9713710522147452
xgb_pca4,5000,Real_Amplitude_like,rx_embedding,0.959,0.971937029431896,0.975356530346804,0.9759450171821306,0.9679618268575324,0.9679618268575324,0.0656660412757973,1420,498,35,47,0.5249999999999999,20,0.964,0.9753424657534246,0.9792755644802796
autoencoder,5000,strongly_entangling,amplitude_embedding,0.9545,0.9697171381031614,0.9286120798914456,0.947334200260078,0.9931833674164964,0.9931833674164964,0.1519699812382739,1457,452,81,10,0.4999999999999999,20,0.965,0.976525821596244,0.9603445897266888
autoencoder,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.9505,0.9661074974323862,0.9852707021643128,0.970426409903714,0.961826857532379,0.961826857532379,0.0806754221388367,1411,490,43,56,0.5149999999999999,19,0.968,0.9781718963165076,0.986684447987083
autoencoder,5000,strongly_entangling,IQP_style_encoding,0.9505,0.966130687649675,0.977221192693286,0.9697802197802198,0.9625085207907292,0.9625085207907292,0.0825515947467167,1412,489,44,55,0.5049999999999999,6,0.953,0.9677861549006168,0.98439024888739
xgb_pca4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.946,0.9619181946403385,0.983461033288955,0.9963476990504018,0.9297886843899114,0.9297886843899114,0.0093808630393996,1364,528,5,103,0.3999999999999999,20,0.955,0.968421052631579,0.9841500988702728
autoencoder,5000,custom_ansatz_1,rx_embedding,0.9405,0.9587521663778162,0.9537402594412918,0.9753173483779972,0.9427402862985684,0.9427402862985684,0.0656660412757973,1383,498,35,84,0.5049999999999999,20,0.948,0.9637883008356546,0.965878259270046
autoencoder,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.9365,0.9566108643662452,0.9758118251309932,0.958904109589041,0.9543285616905248,0.9543285616905248,0.1125703564727955,1400,473,60,67,0.5399999999999999,7,0.942,0.9603825136612022,0.9781565675920108
autoencoder,5000,strongly_entangling,custom_h_ry_rz,0.9355,0.9547527183444404,0.976287582602112,0.9833815028901736,0.9277436946148604,0.9277436946148604,0.0431519699812382,1361,510,23,106,0.4499999999999999,20,0.933,0.952783650458069,0.9712049910326962
autoencoder,5000,Real_Amplitude_like,IQP_style_encoding,0.933,0.9557463672391016,0.8986726110772199,0.9269698910954516,0.9863667348329924,0.9863667348329924,0.2138836772983114,1447,419,114,20,0.4699999999999999,19,0.945,0.963406520292748,0.9344645932011996
autoencoder,5000,Real_Amplitude_like,custom_h_ry_rz,0.9205,0.9456781687734882,0.9714328101280068,0.947945205479452,0.9434219495569188,0.9434219495569188,0.1425891181988743,1384,457,76,83,0.5499999999999999,20,0.926,0.9496598639455782,0.9717644894768306
autoencoder,5000,custom_ansatz_1,IQP_style_encoding,0.916,0.9441489361702128,0.9250854636908804,0.9214795587280986,0.9679618268575324,0.9679618268575324,0.2270168855534709,1420,412,121,47,0.5149999999999999,18,0.911,0.9404682274247492,0.9339485261431396
