DRM+VQC,Perf. Rank (of 112),f1_pm,F1_CI_95%,F1_CI_width,auc_pm,AUC_CI_95%,AUC_CI_width,tpr_pm,fpr_pm,sigma_epi_mean,entropy_mean,ece,deploy_coverage
Autoencoder+VQC(RY_Angle_Encoding+EfficientSU2_like),1,0.9971 ± 0.0010,"[0.9949, 0.9986]",0.0038,0.9961 ± 0.0021,"[0.9912, 0.9992]",0.008,0.9961 ± 0.0016,0.0049 ± 0.0031,0.1070496262960487,0.9502844756199704,0.3828196281715296,1.0
Autoencoder+VQC(RX_Angle_Encoding+EfficientSU2_like),2,0.9950 ± 0.0014,"[0.9921, 0.9973]",0.0052,0.9961 ± 0.0015,"[0.9925, 0.9986]",0.0061,0.9925 ± 0.0023,0.0070 ± 0.0037,0.0308615190053701,0.9753275907928456,0.4134918694917113,1.0
Autoencoder+VQC(RY_Angle_Encoding+Real_Amplitude_like),3,0.9933 ± 0.0017,"[0.9900, 0.9963]",0.0062,0.9926 ± 0.0025,"[0.9873, 0.9964]",0.0091,0.9886 ± 0.0031,0.0052 ± 0.0032,0.054694359094109,0.985117116433608,0.4147830052184561,1.0
Autoencoder+VQC(RY_Angle_Encoding+strongly_entangling),4,0.9917 ± 0.0018,"[0.9880, 0.9949]",0.0069,0.9935 ± 0.0021,"[0.9887, 0.9972]",0.0085,0.9891 ± 0.0030,0.0155 ± 0.0049,0.0240288714665695,0.9796637006991764,0.4126219365394364,1.0
Autoencoder+VQC(RY_Angle_Encoding+custom_ansatz_1),5,0.9913 ± 0.0018,"[0.9873, 0.9942]",0.0069,0.9910 ± 0.0029,"[0.9843, 0.9953]",0.0109,0.9879 ± 0.0032,0.0146 ± 0.0053,0.015965403909323,0.9931350485937058,0.4421424958225961,1.0
XGB_PCA4+VQC(RY_Angle_Encoding+Real_Amplitude_like),6,0.9900 ± 0.0020,"[0.9862, 0.9935]",0.0073,0.9888 ± 0.0028,"[0.9823, 0.9940]",0.0116,0.9802 ± 0.0039,0.0003 ± 0.0008,0.0225592837684285,0.9971964347132726,0.469660270862033,0.928
Autoencoder+VQC(RX_Angle_Encoding+strongly_entangling),7,0.9881 ± 0.0021,"[0.9839, 0.9914]",0.0076,0.9925 ± 0.0022,"[0.9881, 0.9960]",0.0079,0.9838 ± 0.0035,0.0208 ± 0.0059,0.0158946882474397,0.984210355682307,0.4156937969273576,1.0
Autoencoder+VQC(Custom_H_RY_RZ+EfficientSU2_like),8,0.9826 ± 0.0025,"[0.9770, 0.9874]",0.0104,0.9497 ± 0.0082,"[0.9334, 0.9658]",0.0324,0.9880 ± 0.0029,0.0632 ± 0.0111,0.0421210867297578,0.9738235283155936,0.3730297712437808,1.0
XGB_PCA4+VQC(IQP_style_encoding+Real_Amplitude_like),10,0.9820 ± 0.0025,"[0.9769, 0.9866]",0.0097,0.9863 ± 0.0027,"[0.9795, 0.9910]",0.0114,0.9734 ± 0.0040,0.0254 ± 0.0075,0.0286788996894887,0.9856985628379452,0.4155132486599187,1.0
Autoencoder+VQC(IQP_style_encoding+EfficientSU2_like),9,0.9794 ± 0.0025,"[0.9742, 0.9840]",0.0098,0.9925 ± 0.0016,"[0.9892, 0.9954]",0.0062,0.9792 ± 0.0037,0.0558 ± 0.0095,0.0277928247461878,0.9409956134020172,0.3440147655710578,1.0
XGB_PCA4+VQC(RX_Angle_Encoding+Real_Amplitude_like),14,0.9772 ± 0.0029,"[0.9711, 0.9826]",0.0115,0.9791 ± 0.0035,"[0.9710, 0.9850]",0.014,0.9721 ± 0.0046,0.0482 ± 0.0091,0.0126622963006323,0.9955700197814488,0.4565771659272413,1.0
Autoencoder+VQC(Amplitude_Embedding+Real_Amplitude_like),13,0.9755 ± 0.0029,"[0.9695, 0.9808]",0.0113,0.9494 ± 0.0081,"[0.9339, 0.9651]",0.0312,0.9867 ± 0.0031,0.1001 ± 0.0142,0.0533918535457067,0.9795225147369564,0.3956624653505782,0.9765
Autoencoder+VQC(Amplitude_Embedding+custom_ansatz_1),11,0.9751 ± 0.0029,"[0.9692, 0.9801]",0.0109,0.9446 ± 0.0087,"[0.9286, 0.9625]",0.0339,0.9883 ± 0.0029,0.1070 ± 0.0149,0.0517655265387506,0.9807737382030453,0.4008111421944884,0.975
Autoencoder+VQC(ZZ_Feature_Map_style+custom_ansatz_1),16,0.9715 ± 0.0030,"[0.9649, 0.9771]",0.0122,0.9868 ± 0.0021,"[0.9828, 0.9904]",0.0076,0.9670 ± 0.0047,0.0655 ± 0.0099,0.0349662655305483,0.924219022540774,0.3071699344330778,0.984
Autoencoder+VQC(Amplitude_Embedding+strongly_entangling),15,0.9677 ± 0.0030,"[0.9624, 0.9733]",0.0109,0.9333 ± 0.0092,"[0.9157, 0.9514]",0.0357,0.9935 ± 0.0020,0.1650 ± 0.0169,0.055639941656815,0.9749241293720544,0.3703442666781445,0.9945
XGB_PCA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),18,0.9612 ± 0.0035,"[0.9544, 0.9670]",0.0127,0.9813 ± 0.0021,"[0.9768, 0.9851]",0.0083,0.9307 ± 0.0061,0.0161 ± 0.0053,0.0489747621243446,0.8602329187728879,0.2244369007018705,0.785
Autoencoder+VQC(RX_Angle_Encoding+custom_ansatz_1),19,0.9596 ± 0.0034,"[0.9523, 0.9657]",0.0135,0.9552 ± 0.0055,"[0.9435, 0.9650]",0.0216,0.9458 ± 0.0057,0.0697 ± 0.0103,0.0071649361035782,0.9992107251520091,0.4286529535909494,0.8605
Autoencoder+VQC(IQP_style_encoding+Real_Amplitude_like),22,0.9531 ± 0.0035,"[0.9466, 0.9593]",0.0128,0.8994 ± 0.0126,"[0.8729, 0.9240]",0.051,0.9903 ± 0.0024,0.2416 ± 0.0197,0.0165397996961401,0.9690339154594326,0.3509370027815302,0.755
Autoencoder+VQC(Custom_H_RY_RZ+strongly_entangling),21,0.9498 ± 0.0043,"[0.9415, 0.9586]",0.0171,0.9709 ± 0.0033,"[0.9646, 0.9769]",0.0124,0.9241 ± 0.0070,0.0597 ± 0.0111,0.0309370928941253,0.9906067502682062,0.4248946089426675,0.016
Autoencoder+VQC(Custom_H_RY_RZ+Real_Amplitude_like),23,0.9470 ± 0.0042,"[0.9391, 0.9552]",0.0161,0.9734 ± 0.0032,"[0.9670, 0.9787]",0.0117,0.9483 ± 0.0057,0.1499 ± 0.0159,0.0223003534446608,0.9869609928162724,0.3450881844180325,0.7665
Autoencoder+VQC(Custom_H_RY_RZ+custom_ansatz_1),12,0.9443 ± 0.0044,"[0.9366, 0.9521]",0.0155,0.9830 ± 0.0026,"[0.9781, 0.9877]",0.0096,0.9024 ± 0.0075,0.0242 ± 0.0068,0.0074369462246254,0.9985469624993196,0.4067849279294411,0.7965
Autoencoder+VQC(Amplitude_Embedding+EfficientSU2_like),26,0.9420 ± 0.0043,"[0.9341, 0.9502]",0.0161,0.9291 ± 0.0085,"[0.9124, 0.9441]",0.0316,0.9479 ± 0.0060,0.1777 ± 0.0183,0.0132384309357673,0.9985282130696752,0.4028442103356123,0.0
Autoencoder+VQC(IQP_style_encoding+custom_ansatz_1),24,0.9396 ± 0.0036,"[0.9321, 0.9472]",0.0152,0.9208 ± 0.0083,"[0.9047, 0.9360]",0.0313,0.9721 ± 0.0038,0.2673 ± 0.0187,0.0173685973077959,0.9650299960471834,0.3214277038067579,0.817
Autoencoder+VQC(ZZ_Feature_Map_style+EfficientSU2_like),25,0.9332 ± 0.0039,"[0.9261, 0.9408]",0.0146,0.9588 ± 0.0037,"[0.9510, 0.9653]",0.0143,0.9639 ± 0.0047,0.2805 ± 0.0187,0.0594356156580849,0.917156569139208,0.254663250100861,0.8845
XGB_PCA4+VQC(RX_Angle_Encoding+EfficientSU2_like),32,0.9331 ± 0.0040,"[0.9255, 0.9410]",0.0155,0.9813 ± 0.0036,"[0.9732, 0.9884]",0.0152,0.9866 ± 0.0032,0.3525 ± 0.0219,0.0083663693361457,0.998509464987762,0.386181252001226,0.6605
Autoencoder+VQC(RX_Angle_Encoding+Real_Amplitude_like),28,0.9271 ± 0.0051,"[0.9165, 0.9366]",0.0201,0.9463 ± 0.0059,"[0.9316, 0.9561]",0.0245,0.8730 ± 0.0088,0.0282 ± 0.0069,0.0081259241510972,0.9977168043464792,0.3588961092454691,0.659
Autoencoder+VQC(ZZ_Feature_Map_style+strongly_entangling),27,0.9260 ± 0.0048,"[0.9161, 0.9352]",0.0191,0.9601 ± 0.0038,"[0.9522, 0.9666]",0.0144,0.9062 ± 0.0071,0.1404 ± 0.0148,0.0280619055216061,0.9770637678674,0.3117315931680302,0.7485
ICA4+VQC(IQP_style_encoding+Real_Amplitude_like),29,0.9201 ± 0.0042,"[0.9114, 0.9282]",0.0168,0.9373 ± 0.0053,"[0.9272, 0.9476]",0.0205,0.9712 ± 0.0044,0.3851 ± 0.0218,0.0240944643039005,0.9856333266470982,0.3344210053309798,0.8035
PCA4+VQC(IQP_style_encoding+Real_Amplitude_like),40,0.9193 ± 0.0040,"[0.9116, 0.9263]",0.0147,0.9234 ± 0.0055,"[0.9125, 0.9336]",0.0211,0.9835 ± 0.0035,0.4301 ± 0.0221,0.0226701394110998,0.9793192536006464,0.309127094378074,0.737
ICA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),33,0.9165 ± 0.0042,"[0.9087, 0.9254]",0.0167,0.9363 ± 0.0047,"[0.9278, 0.9450]",0.0173,0.9713 ± 0.0044,0.4082 ± 0.0216,0.057598255174531,0.9826408925312096,0.3168306734591722,0.7635
ICA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),37,0.9151 ± 0.0040,"[0.9080, 0.9230]",0.015,0.9220 ± 0.0058,"[0.9118, 0.9328]",0.021,0.9801 ± 0.0035,0.4456 ± 0.0226,0.0230809414758507,0.9676950820426709,0.2851045272173981,0.727
ICA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),30,0.9145 ± 0.0038,"[0.9074, 0.9219]",0.0145,0.9276 ± 0.0051,"[0.9180, 0.9366]",0.0186,0.9878 ± 0.0030,0.4749 ± 0.0223,0.0292354674793469,0.8996755185014169,0.2293424341268836,0.713
