feature_set,ansatz,encoding,auc,f1,threshold
autoencoder,efficient_su2_like,ry_embedding,0.9953652014103906,0.9958988380041012,0.5299999999999999
autoencoder,efficient_su2_like,rx_embedding,0.9923443972523728,0.9928008227631128,0.5249999999999999
autoencoder,real_amplitudes,ry_embedding,0.9904336938602988,0.9924554183813444,0.5449999999999999
autoencoder,strongly_entangling,ry_embedding,0.9897392414226172,0.99211518683579,0.5299999999999999
autoencoder,custom_ansatz_1,ry_embedding,0.9893824233192784,0.9890185312285518,0.5099999999999999
xgb_pca4,real_amplitudes,ry_embedding,0.987996076279781,0.9879351947604276,0.5049999999999999
autoencoder,strongly_entangling,rx_embedding,0.989161170516849,0.9856065798492116,0.5099999999999999
autoencoder,efficient_su2_like,custom_h_ry_rz,0.9437416790401976,0.9827411167512692,0.5199999999999999
autoencoder,efficient_su2_like,iqp_embedding,0.9907227293131828,0.9770940170940172,0.5299999999999999
xgb_pca4,real_amplitudes,iqp_embedding,0.983652870978922,0.97633959638135,0.4699999999999999
autoencoder,custom_ansatz_1,amplitude_embedding,0.9429461920858,0.9755115732975512,0.5049999999999999
autoencoder,custom_ansatz_1,custom_h_ry_rz,0.9868974857752352,0.9746401644962304,0.5149999999999999
autoencoder,real_amplitudes,amplitude_embedding,0.9456447089246732,0.975100942126514,0.5049999999999999
xgb_pca4,real_amplitudes,rx_embedding,0.975356530346804,0.971937029431896,0.5249999999999999
autoencoder,strongly_entangling,amplitude_embedding,0.9286120798914456,0.9697171381031614,0.4999999999999999
autoencoder,custom_ansatz_1,zz_feature_map,0.9852707021643128,0.9661074974323862,0.5149999999999999
autoencoder,strongly_entangling,iqp_embedding,0.977221192693286,0.966130687649675,0.5049999999999999
xgb_pca4,efficient_su2_like,zz_feature_map,0.983461033288955,0.9619181946403385,0.3999999999999999
autoencoder,custom_ansatz_1,rx_embedding,0.9537402594412918,0.9587521663778162,0.5049999999999999
autoencoder,real_amplitudes,zz_feature_map,0.9758118251309932,0.9566108643662452,0.5399999999999999
autoencoder,strongly_entangling,custom_h_ry_rz,0.976287582602112,0.9547527183444404,0.4499999999999999
autoencoder,real_amplitudes,iqp_embedding,0.8986726110772199,0.9557463672391016,0.4699999999999999
autoencoder,real_amplitudes,custom_h_ry_rz,0.9714328101280068,0.9456781687734882,0.5499999999999999
autoencoder,custom_ansatz_1,iqp_embedding,0.9250854636908804,0.9441489361702128,0.5149999999999999
autoencoder,efficient_su2_like,zz_feature_map,0.9627400049366232,0.9394641085014884,0.4999999999999999
autoencoder,efficient_su2_like,amplitude_embedding,0.9238915938003174,0.9368206521739132,0.4849999999999999
autoencoder,strongly_entangling,zz_feature_map,0.9494239114170282,0.9271339347675226,0.5499999999999999
autoencoder,real_amplitudes,rx_embedding,0.9510187220796228,0.9231889333818712,0.5249999999999999
ica4,real_amplitudes,iqp_embedding,0.9425190334961396,0.929522572263722,0.4749999999999999
ica4,efficient_su2_like,zz_feature_map,0.9343557003290656,0.9282727565133484,0.3749999999999999
pca4,custom_ansatz_1,ry_embedding,0.9350859624688744,0.9270664505672608,0.4899999999999999
xgb_pca4,efficient_su2_like,rx_embedding,0.9538131577634792,0.9145173176123802,0.4899999999999999
ica4,efficient_su2_like,custom_h_ry_rz,0.941944799344171,0.9249190938511328,0.4899999999999999
xgb_pca4,real_amplitudes,zz_feature_map,0.941847601581254,0.9144542772861356,0.4549999999999999
pca4,efficient_su2_like,rx_embedding,0.9166599523475176,0.924765902486277,0.4949999999999999
xgb_pca4,strongly_entangling,zz_feature_map,0.9425075232347416,0.9109792284866468,0.4499999999999999
ica4,custom_ansatz_1,zz_feature_map,0.9285865015327832,0.9221827575072652,0.4349999999999999
xgb_pca4,custom_ansatz_1,custom_h_ry_rz,0.8771944633084839,0.9215686274509804,0.3899999999999999
ica4,real_amplitudes,zz_feature_map,0.9292016610586116,0.9188490139023602,0.3749999999999999
pca4,real_amplitudes,iqp_embedding,0.9270722626999748,0.91978267817194,0.4699999999999999
xgb_pca4,custom_ansatz_1,zz_feature_map,0.9471576688395482,0.9061920652576936,0.4449999999999999
xgb_pca4,strongly_entangling,iqp_embedding,0.9364518468214412,0.906215520411916,0.4749999999999999
ica4,custom_ansatz_1,iqp_embedding,0.9183922466879224,0.91355533131517,0.4699999999999999
xgb_pca4,efficient_su2_like,ry_embedding,0.9331663066512684,0.9032493610806864,0.4749999999999999
pca4,strongly_entangling,zz_feature_map,0.9304255855206028,0.91362644215778,0.3099999999999999
ica4,strongly_entangling,zz_feature_map,0.925658418924916,0.9119696010132996,0.4049999999999999
xgb_pca4,real_amplitudes,custom_h_ry_rz,0.8136936300934504,0.91191381495564,0.3199999999999999
ica4,efficient_su2_like,iqp_embedding,0.9347943691801242,0.9119949890385216,0.3899999999999999
xgb_pca4,efficient_su2_like,iqp_embedding,0.8866341565728069,0.9113844213181962,0.3899999999999999
pca4,strongly_entangling,custom_h_ry_rz,0.9007252743598696,0.9120947630922692,0.3999999999999999
pca4,efficient_su2_like,custom_h_ry_rz,0.9167641841590668,0.9112426035502958,0.3649999999999999
ica4,strongly_entangling,iqp_embedding,0.8944713656669365,0.9101123595505618,0.4149999999999999
ica4,efficient_su2_like,ry_embedding,0.8442821497587322,0.9101123595505618,0.4599999999999999
pca4,custom_ansatz_1,custom_h_ry_rz,0.908630905563421,0.9069319640564828,0.4799999999999999
pca4,efficient_su2_like,amplitude_embedding,0.8117234570174866,0.908637355784222,0.4699999999999999
pca4,efficient_su2_like,zz_feature_map,0.9003940346151929,0.90863890615289,0.29
pca4,efficient_su2_like,ry_embedding,0.8967222612292194,0.9075054500155716,0.4749999999999999
ica4,efficient_su2_like,rx_embedding,0.8003110328413335,0.9067082683307331,0.4749999999999999
xgb_pca4,strongly_entangling,custom_h_ry_rz,0.8937295932657296,0.9063275434243176,0.3199999999999999
pca4,real_amplitudes,ry_embedding,0.8775973224574152,0.9057656540607564,0.4599999999999999
pca4,strongly_entangling,rx_embedding,0.8377487974974134,0.9034920634920636,0.4749999999999999
pca4,real_amplitudes,zz_feature_map,0.90637041811664,0.9056019808108944,0.2799999999999999
pca4,strongly_entangling,iqp_embedding,0.7967850560997352,0.9047471300031028,0.3899999999999999
xgb_pca4,custom_ansatz_1,iqp_embedding,0.9220934351863576,0.8909348441926346,0.4599999999999999
pca4,real_amplitudes,rx_embedding,0.8789401862871861,0.9043478260869564,0.4849999999999999
pca4,custom_ansatz_1,zz_feature_map,0.9181390209371656,0.903005887821506,0.3
ica4,strongly_entangling,amplitude_embedding,0.8616811887797973,0.899647322859891,0.5449999999999999
pca4,custom_ansatz_1,iqp_embedding,0.9001369721106366,0.9007158418923125,0.4149999999999999
pca4,efficient_su2_like,iqp_embedding,0.8848014671746529,0.900990099009901,0.3999999999999999
pca4,real_amplitudes,custom_h_ry_rz,0.8163774393760926,0.8977635782747604,0.4449999999999999
pca4,custom_ansatz_1,rx_embedding,0.879350718943716,0.8989180834621329,0.4899999999999999
pca4,strongly_entangling,ry_embedding,0.8526469125002718,0.8933977455716586,0.4899999999999999
ica4,real_amplitudes,amplitude_embedding,0.7814936738324438,0.8969996906897618,0.4949999999999999
ica4,strongly_entangling,custom_h_ry_rz,0.8668058129377896,0.8855421686746988,0.5049999999999999
ica4,custom_ansatz_1,amplitude_embedding,0.7472640748115835,0.8841561794127137,0.4999999999999999
ica4,efficient_su2_like,amplitude_embedding,0.721631362137123,0.8804870233899391,0.4699999999999999
ica4,custom_ansatz_1,rx_embedding,0.7250985086537982,0.8793700787401575,0.5099999999999999
ica4,real_amplitudes,ry_embedding,0.7148460630429806,0.8757281553398059,0.5099999999999999
xgb_pca4,efficient_su2_like,custom_h_ry_rz,0.8263255025188289,0.8580906745300405,0.4849999999999999
xgb_pca4,custom_ansatz_1,rx_embedding,0.89736299911371,0.868082368082368,0.5199999999999999
ica4,custom_ansatz_1,ry_embedding,0.6859879193412038,0.8632451386675167,0.5199999999999999
xgb_pca4,real_amplitudes,amplitude_embedding,0.8226652393942533,0.8692237994563576,0.5049999999999999
xgb_pca4,strongly_entangling,rx_embedding,0.7478255197842211,0.8474350433044637,0.4749999999999999
xgb_pca4,strongly_entangling,ry_embedding,0.7039407298273077,0.8419645840294019,0.4699999999999999
xgb_pca4,custom_ansatz_1,ry_embedding,0.566572794090376,0.8587503701510216,0.4549999999999999
