feature_set,train_size,ansatz,encoding,sigma_noise,n_params,elapsed_s,gpu_id,sigma_epi_mean,sigma_epi_std,entropy_mean,entropy_std,vr_mean,ece,deploy_coverage
autoencoder,5000,efficient_su2_like,ry_embedding,0.10561635763238199,24,15.0,1,0.10704962629604876,0.012989269990067602,0.9502844756199704,0.0666995308760498,0.2425,0.38281962817152965,1.0
autoencoder,5000,efficient_su2_like,rx_embedding,0.06441504401345545,24,15.8,0,0.030861519005370108,0.002662368881798596,0.9753275907928455,0.04367493267993133,0.07436666666666665,0.4134918694917113,1.0
autoencoder,5000,real_amplitudes,ry_embedding,0.08748206830000693,12,12.9,0,0.05469435909410904,0.004047762770139891,0.9851171164336079,0.02561347386655048,0.25093333333333334,0.4147830052184561,1.0
autoencoder,5000,strongly_entangling,ry_embedding,0.0643824356756725,24,12.9,3,0.024028871466569506,0.0013832343286823388,0.9796637006991764,0.030469735427958125,0.05433333333333333,0.4126219365394364,1.0
autoencoder,5000,custom_ansatz_1,ry_embedding,0.060288527840530154,16,14.7,2,0.015965403909323075,0.0016519606980384418,0.9931350485937058,0.02499443904253532,0.06198333333333332,0.4421424958225961,1.0
xgb_pca4,5000,real_amplitudes,ry_embedding,0.054292309200809054,12,13.2,3,0.022559283768428542,0.0010023682563687602,0.9971964347132726,0.018967866387134644,0.24021666666666663,0.46966027086203305,0.928
autoencoder,5000,strongly_entangling,rx_embedding,0.06819366216163127,24,12.6,2,0.01589468824743978,0.0018574444069666303,0.984210355682307,0.02368418587478318,0.026266666666666667,0.41569379692735764,1.0
autoencoder,5000,efficient_su2_like,custom_h_ry_rz,0.07902412928591052,24,19.0,3,0.0421210867297578,0.0035303625718615585,0.9738235283155935,0.022204479030756893,0.09144999999999999,0.3730297712437808,1.0
autoencoder,5000,efficient_su2_like,iqp_embedding,0.08146258015449057,24,19.5,0,0.027792824746187807,0.0034223774623326217,0.9409956134020173,0.057571564009509656,0.04168333333333332,0.3440147655710578,1.0
xgb_pca4,5000,real_amplitudes,iqp_embedding,0.06454522010807816,12,19.6,2,0.02867889968948871,0.0013694786198879894,0.9856985628379451,0.017127189645727563,0.11015,0.4155132486599187,1.0
autoencoder,5000,custom_ansatz_1,amplitude_embedding,0.07325661249968561,16,12.8,0,0.051765526538750675,0.0037141485300366843,0.9807737382030451,0.045940243900612125,0.19823333333333332,0.4008111421944884,0.975
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.04850572324286064,16,17.8,0,0.007436946224625479,0.0005942145512507698,0.9985469624993197,0.0022840391017871753,0.18058333333333332,0.40678492792944115,0.7965
autoencoder,5000,real_amplitudes,amplitude_embedding,0.07699168701721248,12,12.9,2,0.05339185354570671,0.003690113698396797,0.9795225147369563,0.04830730416319024,0.22083333333333333,0.39566246535057825,0.9765
xgb_pca4,5000,real_amplitudes,rx_embedding,0.04908888356290706,12,13.5,2,0.012662296300632361,0.0009963866598188382,0.9955700197814489,0.013150119970921923,0.22338333333333332,0.4565771659272413,1.0
autoencoder,5000,strongly_entangling,amplitude_embedding,0.07959106898652277,24,11.8,1,0.055639941656815024,0.005501211524599572,0.9749241293720545,0.047118895903125214,0.1507833333333333,0.3703442666781445,0.9945
autoencoder,5000,custom_ansatz_1,zz_feature_map,0.11033793954556521,16,19.6,2,0.03496626553054837,0.006989413086862874,0.9242190225407741,0.06941397285071617,0.0434,0.3071699344330778,0.984
autoencoder,5000,strongly_entangling,iqp_embedding,0.08166705027458192,24,18.7,2,0.012576126376266107,0.0041241251245276965,0.998750189381198,0.0021577174541643853,0.18918333333333334,0.4176458431795239,0.871
xgb_pca4,5000,efficient_su2_like,zz_feature_map,0.11706560973292891,24,21.5,0,0.04897476212434462,0.010615205286229772,0.8602329187728879,0.08558141575320838,0.08856666666666667,0.2244369007018705,0.785
autoencoder,5000,custom_ansatz_1,rx_embedding,0.04016169784443368,16,14.0,1,0.0071649361035782165,0.0005588171912428164,0.9992107251520093,0.006638803279999182,0.21245,0.42865295359094946,0.8605
autoencoder,5000,real_amplitudes,zz_feature_map,0.08843022167401009,12,19.4,0,0.023186508779251193,0.0032566215483758078,0.992282015483733,0.008764197100494718,0.18519999999999998,0.39742019497404496,0.6015
autoencoder,5000,strongly_entangling,custom_h_ry_rz,0.08918754316022905,24,15.3,1,0.030937092894125356,0.003476691697473722,0.9906067502682062,0.01630411608610668,0.1916833333333333,0.42489460894266756,0.016
autoencoder,5000,real_amplitudes,iqp_embedding,0.07014014907173699,12,18.8,3,0.01653979969614014,0.005462827015134079,0.9690339154594326,0.04539459675864469,0.030699999999999995,0.3509370027815302,0.755
autoencoder,5000,real_amplitudes,custom_h_ry_rz,0.06564976233217401,12,16.9,2,0.022300353444660827,0.0015470322547410757,0.9869609928162725,0.018062919947298407,0.24633333333333335,0.3450881844180325,0.7665
autoencoder,5000,custom_ansatz_1,iqp_embedding,0.07355984066839939,16,20.0,1,0.017368597307795993,0.003675434847047141,0.9650299960471834,0.03802614542108459,0.04073333333333334,0.32142770380675795,0.817
autoencoder,5000,efficient_su2_like,zz_feature_map,0.09992379302433634,24,21.8,1,0.059435615658084945,0.01404457469218539,0.917156569139208,0.0638864030079613,0.06246666666666667,0.25466325010086105,0.8845
autoencoder,5000,efficient_su2_like,amplitude_embedding,0.04930219788934675,24,15.1,3,0.01323843093576735,0.0005519407303853009,0.9985282130696751,0.00946440929053414,0.17533333333333334,0.4028442103356123,0.0
autoencoder,5000,strongly_entangling,zz_feature_map,0.08901860104300703,24,18.8,3,0.028061905521606187,0.0036556100669188117,0.9770637678674,0.0163726677591659,0.10566666666666666,0.3117315931680302,0.7485
autoencoder,5000,real_amplitudes,rx_embedding,0.037476883644120544,12,13.7,3,0.00812592415109728,0.0008531169806186017,0.9977168043464792,0.005662473473093283,0.22103333333333336,0.35889610924546916,0.659
ica4,5000,real_amplitudes,iqp_embedding,0.06789066638770345,12,19.9,2,0.024094464303900533,0.0023409710060215264,0.9856333266470982,0.015940507303320802,0.05033333333333333,0.3344210053309798,0.8035
ica4,5000,efficient_su2_like,zz_feature_map,0.08858859535482899,24,21.6,1,0.029235467479346987,0.005689934638324207,0.8996755185014169,0.07267350255209837,0.027616666666666668,0.22934243412688368,0.713
pca4,5000,custom_ansatz_1,ry_embedding,0.06056119183580242,16,13.7,3,0.022144103155875578,0.003774608594241469,0.9979074944714907,0.008522250399121042,0.30093333333333333,0.26795714089324074,0.0025
xgb_pca4,5000,efficient_su2_like,rx_embedding,0.03734627174458551,24,15.1,3,0.008366369336145714,0.0007750708783792225,0.998509464987762,0.013520459779698105,0.1325,0.386181252001226,0.6605
ica4,5000,efficient_su2_like,custom_h_ry_rz,0.07170797171694117,24,17.6,3,0.05759825517453109,0.004572535066763826,0.9826408925312096,0.020720458441715207,0.12923333333333328,0.31683067345917226,0.7635
xgb_pca4,5000,real_amplitudes,zz_feature_map,0.1073892100735475,12,19.5,3,0.03457488413764764,0.004620646512692052,0.9991199008737677,0.000762353053494726,0.07059999999999998,0.30873191343049217,0.462
pca4,5000,efficient_su2_like,rx_embedding,0.04288420392150429,24,15.1,1,0.009237616794316002,0.0012307184782444753,0.9983647137323398,0.00880240019549753,0.08691666666666666,0.3649876189420621,0.6635
xgb_pca4,5000,strongly_entangling,zz_feature_map,0.12561971479731698,24,18.6,2,0.04232985002995616,0.008980317583340107,0.8206135750011885,0.117299612956299,0.045349999999999994,0.1876046966555218,0.6825
ica4,5000,custom_ansatz_1,zz_feature_map,0.08169711098367928,16,20.4,2,0.0230809414758507,0.002183554596154768,0.9676950820426707,0.028570426913322292,0.022600000000000002,0.2851045272173981,0.727
xgb_pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.06830576468787762,16,15.1,0,0.017367354057396582,0.004036609434623516,0.9987418115433279,0.0026069550152359043,0.0010166666666666666,0.24816208271284895,0.0
ica4,5000,real_amplitudes,zz_feature_map,0.10606172138072918,12,19.8,3,0.050284373456615766,0.009756559278903074,0.9282700967425427,0.06316187223993679,0.09163333333333334,0.26487584183091917,0.5855
pca4,5000,real_amplitudes,iqp_embedding,0.06383814508989151,12,19.1,3,0.022670139411099802,0.0011637779605010944,0.9793192536006463,0.021538349430633142,0.02785,0.309127094378074,0.737
xgb_pca4,5000,custom_ansatz_1,zz_feature_map,0.10586763459256694,16,19.8,2,0.04124123327313925,0.006357210890834191,0.992671120419598,0.0054083539343749275,0.12605,0.2674820062682033,0.439
xgb_pca4,5000,strongly_entangling,iqp_embedding,0.058038537146053504,24,17.7,0,0.012408136717617556,0.0008983056368982241,0.9998702178535346,9.518877359534825e-05,0.07709999999999997,0.23987238790790244,0.0025
ica4,5000,custom_ansatz_1,iqp_embedding,0.0679010272644216,16,20.4,0,0.018266899253893826,0.0036988643942336467,0.9824212674089454,0.035015954020441324,0.05859999999999999,0.32192163577973837,0.0
xgb_pca4,5000,efficient_su2_like,ry_embedding,0.06357539634328058,24,14.7,0,0.029934547888527157,0.0018300207829302052,0.9963484242381404,0.019638700889275083,0.09771666666666666,0.2457437381699681,0.7975
pca4,5000,strongly_entangling,zz_feature_map,0.08755289685586932,24,18.8,3,0.010208851720162906,0.005859267150745441,0.9997682107256167,0.00031444520613274407,0.0,0.30603743384728826,0.0005
ica4,5000,strongly_entangling,zz_feature_map,0.09290752733645645,24,18.9,1,0.014863710189898485,0.002029615788571242,0.9979786128230244,0.001454170596268256,3.333333333333333e-05,0.3412764717976252,0.003
xgb_pca4,5000,real_amplitudes,custom_h_ry_rz,0.05477805468329394,12,16.8,1,0.019008887872502822,0.0037115678736343955,0.8944430675824238,0.07311101530803867,0.08990000000000001,0.21777444705118734,0.08
ica4,5000,efficient_su2_like,iqp_embedding,0.1136725557085002,24,21.2,3,0.058122776071543064,0.010125348365219104,0.9112059606660518,0.08549903309918751,0.0438,0.22715280842718982,0.753
