feature_set,train_size,ansatz,encoding,sigma_noise,n_params,elapsed_s,gpu_id,sigma_epi_mean,sigma_epi_std,entropy_mean,entropy_std,vr_mean,ece,deploy_coverage
autoencoder,5000,EfficientSU2_like,RY_Angle_Encoding,0.1056163576323819,24,15.0,1,0.1070496262960487,0.0129892699900676,0.9502844756199704,0.0666995308760498,0.2425,0.3828196281715296,1.0
autoencoder,5000,EfficientSU2_like,RX_Angle_Encoding,0.0644150440134554,24,15.8,0,0.0308615190053701,0.0026623688817985,0.9753275907928456,0.0436749326799313,0.0743666666666666,0.4134918694917113,1.0
autoencoder,5000,Real_Amplitude_like,RY_Angle_Encoding,0.0874820683000069,12,12.9,0,0.054694359094109,0.0040477627701398,0.985117116433608,0.0256134738665504,0.2509333333333333,0.4147830052184561,1.0
autoencoder,5000,strongly_entangling,RY_Angle_Encoding,0.0643824356756725,24,12.9,3,0.0240288714665695,0.0013832343286823,0.9796637006991764,0.0304697354279581,0.0543333333333333,0.4126219365394364,1.0
autoencoder,5000,custom_ansatz_1,RY_Angle_Encoding,0.0602885278405301,16,14.7,2,0.015965403909323,0.0016519606980384,0.9931350485937058,0.0249944390425353,0.0619833333333333,0.4421424958225961,1.0
xgb_pca4,5000,Real_Amplitude_like,RY_Angle_Encoding,0.054292309200809,12,13.2,3,0.0225592837684285,0.0010023682563687,0.9971964347132726,0.0189678663871346,0.2402166666666666,0.469660270862033,0.928
autoencoder,5000,strongly_entangling,RX_Angle_Encoding,0.0681936621616312,24,12.6,2,0.0158946882474397,0.0018574444069666,0.984210355682307,0.0236841858747831,0.0262666666666666,0.4156937969273576,1.0
autoencoder,5000,EfficientSU2_like,Custom_H_RY_RZ,0.0790241292859105,24,19.0,3,0.0421210867297578,0.0035303625718615,0.9738235283155936,0.0222044790307568,0.0914499999999999,0.3730297712437808,1.0
autoencoder,5000,EfficientSU2_like,IQP_style_encoding,0.0814625801544905,24,19.5,0,0.0277928247461878,0.0034223774623326,0.9409956134020172,0.0575715640095096,0.0416833333333333,0.3440147655710578,1.0
xgb_pca4,5000,Real_Amplitude_like,IQP_style_encoding,0.0645452201080781,12,19.6,2,0.0286788996894887,0.0013694786198879,0.9856985628379452,0.0171271896457275,0.11015,0.4155132486599187,1.0
autoencoder,5000,custom_ansatz_1,Amplitude_Embedding,0.0732566124996856,16,12.8,0,0.0517655265387506,0.0037141485300366,0.9807737382030453,0.0459402439006121,0.1982333333333333,0.4008111421944884,0.975
