feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,efficient_su2_like,ry_embedding,0.993,0.9952185792349727,0.9950288459939813,0.9972621492128679,0.9931833674164963,0.5249999999999999,18,0.995,0.9965823650034177,0.998492675424478
autoencoder,5000,real_amplitudes,ry_embedding,0.989,0.9924554183813443,0.9904336938602987,0.9986197377501725,0.9863667348329925,0.5449999999999999,16,0.995,0.9965823650034177,0.9970006795734526
autoencoder,5000,efficient_su2_like,rx_embedding,0.988,0.9917920656634747,0.9917330744803436,0.9951956074124915,0.9884117246080436,0.5099999999999999,19,0.992,0.994535519125683,0.9956568613925635
autoencoder,5000,custom_ansatz_1,ry_embedding,0.984,0.9890185312285518,0.9893824233192783,0.9958534899792675,0.9822767552828903,0.5099999999999999,18,0.992,0.9945205479452055,0.9964795029405603
autoencoder,5000,strongly_entangling,rx_embedding,0.979,0.9856065798492117,0.989161170516849,0.9910406616126809,0.9802317655078391,0.5099999999999999,19,0.987,0.9911262798634812,0.9958203677871963
autoencoder,5000,strongly_entangling,ry_embedding,0.979,0.98559670781893,0.9875650809363213,0.9917184265010351,0.9795501022494888,0.5249999999999999,18,0.992,0.9945429740791268,0.9962342433486109
autoencoder,5000,efficient_su2_like,custom_h_ry_rz,0.973,0.9816201497617427,0.9782046805838517,0.9802855200543847,0.9829584185412407,0.5299999999999999,16,0.986,0.9904371584699454,0.9899239184307473
autoencoder,5000,custom_ansatz_1,amplitude_embedding,0.9635,0.9755115732975511,0.9429461920858,0.9603698811096433,0.9911383776414451,0.5049999999999999,19,0.975,0.9830966869506423,0.96987905636372
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.963,0.9746401644962303,0.9868974857752353,0.980013783597519,0.9693251533742331,0.5149999999999999,18,0.976,0.9835616438356164,0.992652431391184
autoencoder,5000,real_amplitudes,amplitude_embedding,0.963,0.9751009421265141,0.94564343000674,0.9627906976744186,0.9877300613496932,0.5049999999999999,20,0.978,0.9850948509485095,0.9713710522147452
xgb_pca4,5000,efficient_su2_like,rx_embedding,0.962,0.9739726027397261,0.9647300012405504,0.9786648313833448,0.9693251533742331,0.48999999999999994,20,0.977,0.9841924398625429,0.9823719668286403
xgb_pca4,5000,real_amplitudes,rx_embedding,0.959,0.971937029431896,0.9753565303468041,0.9759450171821306,0.9679618268575324,0.5249999999999999,20,0.964,0.9753424657534246,0.9792755644802795
autoencoder,5000,strongly_entangling,amplitude_embedding,0.9545,0.9697171381031614,0.9286120798914453,0.947334200260078,0.9931833674164963,0.49999999999999994,20,0.965,0.9765258215962441,0.9603445897266888
autoencoder,5000,real_amplitudes,custom_h_ry_rz,0.952,0.9670781893004116,0.9823688373740745,0.9730848861283644,0.9611451942740287,0.5349999999999999,20,0.957,0.970487302676733,0.9837004562850327
autoencoder,5000,custom_ansatz_1,zz_feature_map,0.9505,0.9661074974323862,0.9852707021643129,0.9704264099037139,0.961826857532379,0.5149999999999999,19,0.968,0.9781718963165075,0.986684447987083
autoencoder,5000,strongly_entangling,iqp_embedding,0.9505,0.966130687649675,0.9772211926932861,0.9697802197802198,0.9625085207907293,0.5049999999999999,6,0.953,0.9677861549006168,0.9843902488873901
