feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,efficient_su2_like,ry_embedding,0.994,0.9958988380041012,0.9951989420790858,0.9986291980808774,0.9931833674164963,0.5249999999999999,20,0.996,0.9972677595628415,0.9994839329419398
autoencoder,5000,efficient_su2_like,rx_embedding,0.9895,0.9928008227631128,0.9923443972523728,0.9986206896551724,0.9870483980913429,0.5249999999999999,19,0.993,0.9952087611225188,0.9959532167328355
autoencoder,5000,real_amplitudes,ry_embedding,0.989,0.9924554183813443,0.9904336938602987,0.9986197377501725,0.9863667348329925,0.5449999999999999,16,0.995,0.9965823650034177,0.9970006795734526
autoencoder,5000,strongly_entangling,rx_embedding,0.985,0.9896978021978022,0.9911677927539068,0.9972318339100346,0.9822767552828903,0.5199999999999999,20,0.995,0.9965823650034177,0.9965663657127091
autoencoder,5000,custom_ansatz_1,ry_embedding,0.984,0.9890185312285518,0.9893824233192783,0.9958534899792675,0.9822767552828903,0.5099999999999999,18,0.992,0.9945205479452055,0.9964795029405603
autoencoder,5000,strongly_entangling,ry_embedding,0.9825,0.9879600963192294,0.9883452208755217,0.9972222222222222,0.9788684389911384,0.5299999999999999,20,0.992,0.9945205479452055,0.9965203795392186
xgb_pca4,5000,real_amplitudes,ry_embedding,0.9825,0.9879351947604275,0.9879960762797811,0.999302649930265,0.9768234492160872,0.5049999999999999,20,0.994,0.9958904109589041,0.9977262391996362
autoencoder,5000,efficient_su2_like,custom_h_ry_rz,0.9705,0.9800473452823808,0.9327378691436748,0.9724832214765101,0.9877300613496932,0.5299999999999999,18,0.985,0.9898167006109979,0.9656176709535998
autoencoder,5000,real_amplitudes,amplitude_embedding,0.9665,0.9774486704813194,0.9538297836966101,0.9654255319148937,0.9897750511247444,0.5049999999999999,20,0.982,0.9878048780487805,0.9765112844960171
autoencoder,5000,custom_ansatz_1,amplitude_embedding,0.9635,0.9755115732975511,0.9429461920858001,0.9603698811096433,0.9911383776414451,0.5049999999999999,19,0.975,0.9830966869506423,0.96987905636372
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.963,0.9746401644962303,0.9868974857752353,0.980013783597519,0.9693251533742331,0.5149999999999999,18,0.976,0.9835616438356164,0.992652431391184
xgb_pca4,5000,real_amplitudes,rx_embedding,0.959,0.971937029431896,0.9753565303468041,0.9759450171821306,0.9679618268575324,0.5249999999999999,20,0.964,0.9753424657534246,0.9792755644802796
autoencoder,5000,strongly_entangling,amplitude_embedding,0.9545,0.9697171381031614,0.9286120798914453,0.947334200260078,0.9931833674164963,0.49999999999999994,20,0.965,0.9765258215962441,0.9603445897266888
autoencoder,5000,custom_ansatz_1,zz_feature_map,0.9505,0.9661074974323862,0.9852707021643129,0.9704264099037139,0.961826857532379,0.5149999999999999,19,0.968,0.9781718963165075,0.986684447987083
autoencoder,5000,strongly_entangling,iqp_embedding,0.9505,0.966130687649675,0.9772211926932861,0.9697802197802198,0.9625085207907293,0.5049999999999999,6,0.953,0.9677861549006168,0.9843902488873901
xgb_pca4,5000,efficient_su2_like,zz_feature_map,0.9445,0.9609292502639916,0.9839815528877328,0.9934497816593887,0.9304703476482618,0.38999999999999996,3,0.955,0.968421052631579,0.9848603297719597
autoencoder,5000,custom_ansatz_1,rx_embedding,0.9405,0.9587521663778162,0.9537402594412918,0.9753173483779972,0.9427402862985685,0.5049999999999999,20,0.948,0.9637883008356546,0.9658782592700461
autoencoder,5000,real_amplitudes,zz_feature_map,0.938,0.9572708476912474,0.9785742878665218,0.9679442508710802,0.9468302658486708,0.5549999999999999,8,0.94,0.9583911234396671,0.9805274103141877
autoencoder,5000,efficient_su2_like,iqp_embedding,0.9375,0.9581519919651824,0.9831464194774086,0.9414473684210526,0.9754601226993865,0.5099999999999999,20,0.957,0.9710827168796234,0.9886363055730134
autoencoder,5000,strongly_entangling,custom_h_ry_rz,0.9355,0.9547527183444405,0.9762875826021119,0.9833815028901735,0.9277436946148603,0.4499999999999999,20,0.933,0.952783650458069,0.9712024362452801
autoencoder,5000,real_amplitudes,iqp_embedding,0.933,0.9557463672391017,0.8986726110772199,0.9269698910954516,0.9863667348329925,0.4699999999999999,19,0.945,0.9634065202927479,0.9344645932011997
autoencoder,5000,real_amplitudes,custom_h_ry_rz,0.922,0.946611909650924,0.9665678063104369,0.9505154639175257,0.9427402862985685,0.5349999999999999,20,0.92,0.9453551912568307,0.9718513522489794
autoencoder,5000,custom_ansatz_1,iqp_embedding,0.916,0.9441489361702128,0.9250854636908804,0.9214795587280986,0.9679618268575324,0.5149999999999999,18,0.911,0.9404682274247491,0.9339485261431395
autoencoder,5000,efficient_su2_like,zz_feature_map,0.9135,0.9419657832941966,0.9608574377390777,0.9273447820343461,0.9570552147239264,0.5199999999999999,20,0.89,0.9265687583444593,0.9520364210494046
autoencoder,5000,efficient_su2_like,amplitude_embedding,0.9135,0.9419657832941966,0.9303283877576859,0.9273447820343461,0.9570552147239264,0.48499999999999993,20,0.929,0.952124072825354,0.9584284991645845
xgb_pca4,5000,real_amplitudes,iqp_embedding,0.8955,0.9235272594218807,0.951275784584179,0.9968404423380727,0.8602590320381731,0.4799999999999999,19,0.904,0.9300291545189504,0.9501509879362937
autoencoder,5000,strongly_entangling,zz_feature_map,0.895,0.9271339347675226,0.9494239114170283,0.9441696113074205,0.9107021131561008,0.5499999999999999,11,0.889,0.9237113402061856,0.9524247487366576
autoencoder,5000,real_amplitudes,rx_embedding,0.8945,0.9231889333818711,0.9510187220796228,0.990625,0.8643490115882754,0.5249999999999999,20,0.904,0.93033381712627,0.9553678638400499
pca4,5000,custom_ansatz_1,ry_embedding,0.8875,0.9270664505672609,0.9350859624688744,0.8838071693448702,0.9747784594410361,0.48999999999999994,15,0.864,0.9128205128205128,0.9394617573871679
ica4,5000,efficient_su2_like,custom_h_ry_rz,0.885,0.9251302083333334,0.9409817741405353,0.8853582554517134,0.9686434901158828,0.4799999999999999,19,0.869,0.9165073295092415,0.9263505883675419
xgb_pca4,5000,efficient_su2_like,rx_embedding,0.884,0.9145173176123802,0.9538131577634793,0.9951884522854851,0.8459441036128152,0.48999999999999994,16,0.901,0.9276844411979547,0.956308025609189
pca4,5000,efficient_su2_like,rx_embedding,0.8835,0.924765902486277,0.916659952347518,0.8785276073619632,0.9761417859577369,0.49499999999999994,18,0.866,0.9143222506393862,0.9305736519664198
ica4,5000,efficient_su2_like,zz_feature_map,0.881,0.9243002544529262,0.9348902880251075,0.8664281454979129,0.9904567143830948,0.36999999999999994,20,0.861,0.9123028391167193,0.9103269616935175
xgb_pca4,5000,strongly_entangling,zz_feature_map,0.88,0.9109792284866469,0.9425075232347416,0.9991863303498779,0.8370824812542604,0.4499999999999999,19,0.889,0.9180811808118081,0.9384858285942027
ica4,5000,real_amplitudes,iqp_embedding,0.8795,0.9226324237560193,0.9431201249247037,0.8719660194174758,0.9795501022494888,0.4649999999999999,20,0.866,0.9151898734177215,0.9315623546964656
ica4,5000,real_amplitudes,zz_feature_map,0.8795,0.9226820660891883,0.9319040146512838,0.8715151515151515,0.9802317655078391,0.36499999999999994,18,0.86,0.911504424778761,0.9109912064217136
ica4,5000,custom_ansatz_1,zz_feature_map,0.8795,0.9221827575072651,0.9285865015327832,0.8760736196319019,0.9734151329243353,0.43499999999999994,15,0.861,0.9112954690491385,0.90813495409047
xgb_pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.876,0.9215686274509803,0.8771944633084839,0.8595870206489675,0.9931833674164963,0.38999999999999996,3,0.867,0.9165097300690521,0.8746416910648864
xgb_pca4,5000,real_amplitudes,zz_feature_map,0.875,0.9071322436849926,0.9450116445477811,0.996734693877551,0.8323108384458078,0.48999999999999994,8,0.888,0.9174041297935103,0.9377755976925161
xgb_pca4,5000,custom_ansatz_1,zz_feature_map,0.8735,0.9061920652576937,0.9471576688395482,0.9934959349593496,0.8329925017041582,0.44499999999999995,6,0.887,0.9167280766396463,0.9382201307029242
xgb_pca4,5000,strongly_entangling,iqp_embedding,0.8725,0.9062155204119161,0.9364518468214413,0.9840255591054313,0.8398091342876619,0.4749999999999999,2,0.891,0.9201465201465201,0.9398960712479115
ica4,5000,custom_ansatz_1,iqp_embedding,0.8715,0.9135553313151699,0.9183922466879223,0.9017264276228419,0.9256987048398091,0.4699999999999999,20,0.858,0.9062087186261559,0.911088288343527
xgb_pca4,5000,efficient_su2_like,ry_embedding,0.866,0.902046783625731,0.9313361750889807,0.9724192277383766,0.8411724608043627,0.4749999999999999,7,0.877,0.9105454545454545,0.9316338887441176
pca4,5000,strongly_entangling,zz_feature_map,0.8615,0.9136264421577799,0.9304255855206028,0.8419540229885057,0.9986366734832992,0.30999999999999994,2,0.848,0.9055900621118013,0.9091364307575966
ica4,5000,strongly_entangling,zz_feature_map,0.861,0.9119696010132996,0.925658418924916,0.8515671200473093,0.9815950920245399,0.4049999999999999,4,0.854,0.9078282828282829,0.9132036523240902
xgb_pca4,5000,efficient_su2_like,iqp_embedding,0.861,0.912358133669609,0.8798188029072362,0.8486803519061583,0.9863667348329925,0.39499999999999996,5,0.853,0.9078369905956113,0.8814578638911457
xgb_pca4,5000,real_amplitudes,custom_h_ry_rz,0.86,0.9111675126903553,0.8168397682089138,0.8522255192878339,0.9788684389911384,0.32499999999999996,18,0.849,0.9053291536050156,0.8317927965214014
pca4,5000,strongly_entangling,custom_h_ry_rz,0.859,0.9120947630922693,0.9007252743598696,0.8403216542217117,0.9972733469665985,0.3999999999999999,14,0.847,0.9050279329608939,0.8862506450838226
ica4,5000,efficient_su2_like,iqp_embedding,0.8575,0.9112426035502958,0.9364109214475815,0.8388761467889908,0.9972733469665985,0.35999999999999993,20,0.849,0.9065015479876161,0.9266469437078141
pca4,5000,real_amplitudes,iqp_embedding,0.8575,0.906280828674778,0.9077081662746783,0.8754764930114358,0.9393319700068167,0.49999999999999994,13,0.837,0.8939492517891997,0.890225894303335
ica4,5000,strongly_entangling,iqp_embedding,0.856,0.9101123595505618,0.8944713656669365,0.8393782383419689,0.9938650306748467,0.4149999999999999,20,0.843,0.9023024268823896,0.8858316599475757
pca4,5000,efficient_su2_like,custom_h_ry_rz,0.855,0.909769757311761,0.9200215881347109,0.8368631940469377,0.9965916837082481,0.36999999999999994,6,0.848,0.9057071960297767,0.9038582399558533
pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.855,0.9069319640564827,0.908630905563421,0.8568829593693147,0.9631901840490797,0.4799999999999999,18,0.843,0.9003174603174603,0.8851061003213924
ica4,5000,efficient_su2_like,ry_embedding,0.8545,0.9094867807153966,0.8442508162693708,0.8363844393592678,0.9965916837082481,0.4599999999999999,19,0.842,0.9022277227722773,0.8526551905615933
pca4,5000,strongly_entangling,rx_embedding,0.854,0.9078864353312303,0.8589513384515628,0.8449794480328832,0.9809134287661895,0.48499999999999993,20,0.833,0.8952978056426333,0.8578899499772624
pca4,5000,efficient_su2_like,amplitude_embedding,0.8535,0.908637355784222,0.8117228175585202,0.8373563218390805,0.9931833674164963,0.4699999999999999,19,0.84,0.9008674101610905,0.8318745497187179
pca4,5000,efficient_su2_like,zz_feature_map,0.8525,0.9082996580665216,0.8962081362201069,0.8348571428571429,0.9959100204498977,0.30999999999999994,15,0.846,0.9047029702970297,0.8832359959327785
pca4,5000,efficient_su2_like,ry_embedding,0.8505,0.8945326278659612,0.9164022503839951,0.9269005847953217,0.8643490115882754,0.49999999999999994,17,0.857,0.8979300499643112,0.9259980277041147
ica4,5000,efficient_su2_like,rx_embedding,0.8505,0.9067082683307333,0.8003110328413335,0.836018411967779,0.9904567143830948,0.4749999999999999,18,0.835,0.8973242065961419,0.8181042455457281
pca4,5000,real_amplitudes,zz_feature_map,0.849,0.9063856168629882,0.9094884200375746,0.8311540648095509,0.9965916837082481,0.27999999999999997,4,0.843,0.9029066171923315,0.8928573253419583
xgb_pca4,5000,strongly_entangling,custom_h_ry_rz,0.849,0.9063275434243176,0.8937295932657298,0.8315310187820149,0.9959100204498977,0.31999999999999995,1,0.856,0.9104477611940298,0.8928726540664551
pca4,5000,real_amplitudes,ry_embedding,0.848,0.9057656540607564,0.8775973224574152,0.8305855599772598,0.9959100204498977,0.4599999999999999,7,0.847,0.9051456912585245,0.8871908068529617
pca4,5000,strongly_entangling,iqp_embedding,0.8465,0.9047471300031027,0.7967850560997352,0.8302961275626424,0.9938650306748467,0.38999999999999996,8,0.835,0.8979591836734694,0.8109457312057063
xgb_pca4,5000,custom_ansatz_1,iqp_embedding,0.846,0.8909348441926346,0.9220934351863576,0.9270449521002211,0.8575323790047716,0.4599999999999999,5,0.872,0.9084406294706724,0.9321295175028486
pca4,5000,real_amplitudes,rx_embedding,0.846,0.9043478260869565,0.8789408257461526,0.8305761551625784,0.9925017041581459,0.48499999999999993,11,0.835,0.8970679975046787,0.8932405434543793
pca4,5000,custom_ansatz_1,zz_feature_map,0.8435,0.903005887821506,0.9181390209371655,0.8278409090909091,0.9931833674164963,0.3,6,0.84,0.9011124845488258,0.898125296994037
ica4,5000,strongly_entangling,amplitude_embedding,0.8435,0.899647322859891,0.8616811887797973,0.8492736077481841,0.956373551465576,0.5449999999999999,19,0.828,0.8908629441624365,0.8657663595812193
xgb_pca4,5000,strongly_entangling,ry_embedding,0.843,0.9029666254635352,0.8378204169016678,0.8258903335217637,0.9959100204498977,0.4599999999999999,20,0.847,0.9051456912585245,0.8470040007970936
pca4,5000,custom_ansatz_1,iqp_embedding,0.8405,0.9007158418923125,0.9001369721106366,0.8287514318442154,0.9863667348329925,0.4149999999999999,3,0.832,0.896168108776267,0.8873594228224269
pca4,5000,efficient_su2_like,iqp_embedding,0.84,0.900990099009901,0.8848014671746529,0.8249291784702549,0.9925017041581459,0.3999999999999999,19,0.83,0.895320197044335,0.8742584729524656
pca4,5000,real_amplitudes,custom_h_ry_rz,0.8385,0.8967061080908219,0.7992878984948416,0.844578313253012,0.9556918882072256,0.4499999999999999,20,0.83,0.8926767676767676,0.7312874595704891
ica4,5000,real_amplitudes,amplitude_embedding,0.8385,0.8994082840236687,0.7922819860572368,0.8279816513761468,0.9843217450579413,0.49499999999999994,20,0.829,0.8931917551530294,0.813587381393994
pca4,5000,custom_ansatz_1,rx_embedding,0.8365,0.8989180834621329,0.8793507189437161,0.8223981900452488,0.9911383776414451,0.48999999999999994,13,0.833,0.896594427244582,0.8941347190500277
pca4,5000,strongly_entangling,ry_embedding,0.8345,0.8933977455716586,0.8526469125002718,0.8467643467643468,0.94546693933197,0.48999999999999994,19,0.822,0.8858974358974359,0.8522975203233338
ica4,5000,strongly_entangling,custom_h_ry_rz,0.829,0.8855421686746988,0.8668058129377896,0.8698224852071006,0.901840490797546,0.5049999999999999,19,0.806,0.8713527851458885,0.83217090505899
ica4,5000,efficient_su2_like,amplitude_embedding,0.827,0.8920773549594511,0.7721959404586968,0.8223116733755031,0.9747784594410361,0.4699999999999999,20,0.825,0.8908296943231441,0.7934122251687437
ica4,5000,custom_ansatz_1,amplitude_embedding,0.8205,0.8841561794127137,0.7472627958936504,0.8394607843137255,0.9338786639400136,0.49999999999999994,19,0.816,0.8808290155440415,0.7672077706414049
ica4,5000,custom_ansatz_1,rx_embedding,0.8085,0.8793700787401575,0.7250985086537982,0.8173302107728337,0.9516019086571234,0.5099999999999999,20,0.789,0.8677115987460815,0.7204602705008917
ica4,5000,real_amplitudes,ry_embedding,0.808,0.8757281553398059,0.7148460630429806,0.833641404805915,0.9222903885480572,0.5099999999999999,20,0.777,0.8547231270358306,0.7004307371583609
