feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,EfficientSU2_like,ry_embedding,0.994,0.9958988380041012,0.9951989420790858,0.9986291980808774,0.9931833674164964,0.9931833674164964,0.0037523452157598,1457,531,2,10,0.5249999999999999,20,0.996,0.9972677595628416,0.9994839329419398
autoencoder,5000,EfficientSU2_like,rx_embedding,0.9895,0.9928008227631128,0.9923443972523728,0.9986206896551724,0.9870483980913428,0.9870483980913428,0.0037523452157598,1448,531,2,19,0.5249999999999999,19,0.993,0.9952087611225188,0.9959532167328355
autoencoder,5000,Real_Amplitude_like,ry_embedding,0.989,0.9924554183813444,0.9904336938602988,0.9986197377501724,0.9863667348329924,0.9863667348329924,0.0037523452157598,1447,531,2,20,0.5449999999999999,16,0.995,0.9965823650034176,0.9970006795734526
autoencoder,5000,strongly_entangling,rx_embedding,0.985,0.9896978021978022,0.9911677927539068,0.9972318339100346,0.9822767552828904,0.9822767552828904,0.0075046904315197,1441,529,4,26,0.5199999999999999,20,0.995,0.9965823650034176,0.9965663657127092
autoencoder,5000,custom_ansatz_1,ry_embedding,0.984,0.9890185312285518,0.9893824233192784,0.9958534899792676,0.9822767552828904,0.9822767552828904,0.0112570356472795,1441,527,6,26,0.5099999999999999,18,0.992,0.9945205479452056,0.9964795029405604
autoencoder,5000,strongly_entangling,ry_embedding,0.9825,0.9879600963192294,0.9883452208755216,0.9972222222222222,0.9788684389911384,0.9788684389911384,0.0075046904315197,1436,529,4,31,0.5299999999999999,20,0.992,0.9945205479452056,0.9965203795392186
xgb_pca4,5000,Real_Amplitude_like,ry_embedding,0.9825,0.9879351947604276,0.9879960762797813,0.999302649930265,0.9768234492160872,0.9768234492160872,0.0018761726078799,1433,532,1,34,0.5049999999999999,20,0.994,0.995890410958904,0.9977262391996362
autoencoder,5000,EfficientSU2_like,custom_h_ry_rz,0.9705,0.9800473452823808,0.9327378691436748,0.97248322147651,0.9877300613496932,0.9877300613496932,0.0769230769230769,1449,492,41,18,0.5299999999999999,18,0.985,0.989816700610998,0.9656176709535998
autoencoder,5000,Real_Amplitude_like,amplitude_embedding,0.9665,0.9774486704813194,0.95382978369661,0.9654255319148936,0.9897750511247444,0.9897750511247444,0.0975609756097561,1452,481,52,15,0.5049999999999999,20,0.982,0.9878048780487804,0.9765112844960172
autoencoder,5000,custom_ansatz_1,amplitude_embedding,0.9635,0.9755115732975512,0.9429461920858,0.9603698811096432,0.9911383776414452,0.9911383776414452,0.1125703564727955,1454,473,60,13,0.5049999999999999,19,0.975,0.9830966869506425,0.96987905636372
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.963,0.9746401644962304,0.9868974857752352,0.980013783597519,0.9693251533742332,0.9693251533742332,0.0544090056285178,1422,504,29,45,0.5149999999999999,18,0.976,0.9835616438356164,0.992652431391184
xgb_pca4,5000,Real_Amplitude_like,rx_embedding,0.959,0.971937029431896,0.975356530346804,0.9759450171821306,0.9679618268575324,0.9679618268575324,0.0656660412757973,1420,498,35,47,0.5249999999999999,20,0.964,0.9753424657534246,0.9792755644802796
autoencoder,5000,strongly_entangling,amplitude_embedding,0.9545,0.9697171381031614,0.9286120798914452,0.947334200260078,0.9931833674164964,0.9931833674164964,0.1519699812382739,1457,452,81,10,0.4999999999999999,20,0.965,0.976525821596244,0.9603445897266888
autoencoder,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.9505,0.9661074974323862,0.9852707021643128,0.970426409903714,0.961826857532379,0.961826857532379,0.0806754221388367,1411,490,43,56,0.5149999999999999,19,0.968,0.9781718963165076,0.986684447987083
autoencoder,5000,strongly_entangling,IQP_style_encoding,0.9505,0.966130687649675,0.977221192693286,0.9697802197802198,0.9625085207907292,0.9625085207907292,0.0825515947467167,1412,489,44,55,0.5049999999999999,6,0.953,0.9677861549006168,0.98439024888739
xgb_pca4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.9445,0.9609292502639916,0.9839815528877328,0.9934497816593888,0.9304703476482618,0.9304703476482618,0.0168855534709193,1365,524,9,102,0.3899999999999999,3,0.955,0.968421052631579,0.9848603297719596
