feature_set,train_size,ansatz,encoding,threshold,TP,TN,FP,FN,TPR_point,FPR_point,elapsed_s,gpu_id,accuracy_mean_B,accuracy_std_B,accuracy_ci_low_B,accuracy_ci_high_B,accuracy_ci_width_B,accuracy_pm_B,accuracy_ci_str_B,f1_mean_B,f1_std_B,f1_ci_low_B,f1_ci_high_B,f1_ci_width_B,f1_pm_B,f1_ci_str_B,auc_mean_B,auc_std_B,auc_ci_low_B,auc_ci_high_B,auc_ci_width_B,auc_pm_B,auc_ci_str_B,tpr_mean_B,tpr_std_B,tpr_ci_low_B,tpr_ci_high_B,tpr_ci_width_B,tpr_pm_B,tpr_ci_str_B,fpr_mean_B,fpr_std_B,fpr_ci_low_B,fpr_ci_high_B,fpr_ci_width_B,fpr_pm_B,fpr_ci_str_B,prec_mean_B,prec_std_B,prec_ci_low_B,prec_ci_high_B,prec_ci_width_B,prec_pm_B,prec_ci_str_B,n_subsets,n_valid,subset_size
xgb_pca4,5000,efficient_su2_like,zz_feature_map,0.59,1545,389,11,55,0.965625,0.0275,142.3,7,0.9652,0.0038,0.9580,0.9725,0.0145,0.9652 ± 0.0038,"[0.9580, 0.9725]",0.9780,0.0025,0.9732,0.9827,0.0094,0.9780 ± 0.0025,"[0.9732, 0.9827]",0.9720,0.0060,0.9608,0.9819,0.0210,0.9720 ± 0.0060,"[0.9608, 0.9819]",0.9628,0.0043,0.9544,0.9713,0.0169,0.9628 ± 0.0043,"[0.9544, 0.9713]",0.0250,0.0075,0.0126,0.0377,0.0251,0.0250 ± 0.0075,"[0.0126, 0.0377]",0.9936,0.0019,0.9903,0.9968,0.0065,0.9936 ± 0.0019,"[0.9903, 0.9968]",200,200,2000
autoencoder,5000,custom_ansatz_1,zz_feature_map,0.58,1521,390,10,79,0.950625,0.025,126.9,6,0.9493,0.0047,0.9400,0.9580,0.0180,0.9493 ± 0.0047,"[0.9400, 0.9580]",0.9675,0.0031,0.9615,0.9731,0.0117,0.9675 ± 0.0031,"[0.9615, 0.9731]",0.9498,0.0061,0.9379,0.9608,0.0229,0.9498 ± 0.0061,"[0.9379, 0.9608]",0.9420,0.0056,0.9301,0.9520,0.0219,0.9420 ± 0.0056,"[0.9301, 0.9520]",0.0215,0.0073,0.0075,0.0378,0.0302,0.0215 ± 0.0073,"[0.0075, 0.0378]",0.9944,0.0019,0.9901,0.9980,0.0079,0.9944 ± 0.0019,"[0.9901, 0.9980]",200,200,2000
ica4,5000,efficient_su2_like,iqp_embedding,0.6799999999999999,1517,389,11,83,0.948125,0.0275,138.2,5,0.1990,0.0000,0.1990,0.1990,0.0000,0.1990 ± 0.0000,"[0.1990, 0.1990]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.9130,0.0103,0.8886,0.9323,0.0436,0.9130 ± 0.0103,"[0.8886, 0.9323]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",200,200,2000
ica4,5000,efficient_su2_like,custom_h_ry_rz,0.5549999999999999,1516,386,14,84,0.9475,0.035,123.8,5,0.9507,0.0046,0.9425,0.9600,0.0175,0.9507 ± 0.0046,"[0.9425, 0.9600]",0.9685,0.0030,0.9631,0.9746,0.0115,0.9685 ± 0.0030,"[0.9631, 0.9746]",0.9475,0.0062,0.9358,0.9597,0.0239,0.9475 ± 0.0062,"[0.9358, 0.9597]",0.9470,0.0054,0.9363,0.9582,0.0218,0.9470 ± 0.0054,"[0.9363, 0.9582]",0.0343,0.0087,0.0176,0.0528,0.0352,0.0343 ± 0.0087,"[0.0176, 0.0528]",0.9911,0.0022,0.9864,0.9954,0.0090,0.9911 ± 0.0022,"[0.9864, 0.9954]",200,200,2000
xgb_pca4,5000,custom_ansatz_1,zz_feature_map,0.4599999999999999,1552,346,54,48,0.97,0.135,135.3,5,0.9526,0.0045,0.9440,0.9615,0.0175,0.9526 ± 0.0045,"[0.9440, 0.9615]",0.9707,0.0027,0.9656,0.9763,0.0108,0.9707 ± 0.0027,"[0.9656, 0.9763]",0.9436,0.0085,0.9270,0.9595,0.0325,0.9436 ± 0.0085,"[0.9270, 0.9595]",0.9808,0.0031,0.9756,0.9869,0.0113,0.9808 ± 0.0031,"[0.9756, 0.9869]",0.1609,0.0177,0.1206,0.1986,0.0780,0.1609 ± 0.0177,"[0.1206, 0.1986]",0.9609,0.0042,0.9522,0.9703,0.0181,0.9609 ± 0.0042,"[0.9522, 0.9703]",200,200,2000
autoencoder,5000,real_amplitudes,zz_feature_map,0.585,1497,395,5,103,0.935625,0.0125,126.9,7,0.9414,0.0050,0.9320,0.9500,0.0180,0.9414 ± 0.0050,"[0.9320, 0.9500]",0.9621,0.0033,0.9559,0.9679,0.0120,0.9621 ± 0.0033,"[0.9559, 0.9679]",0.9482,0.0053,0.9386,0.9580,0.0194,0.9482 ± 0.0053,"[0.9386, 0.9580]",0.9300,0.0061,0.9182,0.9413,0.0231,0.9300 ± 0.0061,"[0.9182, 0.9413]",0.0127,0.0057,0.0025,0.0276,0.0251,0.0127 ± 0.0057,"[0.0025, 0.0276]",0.9966,0.0015,0.9927,0.9993,0.0066,0.9966 ± 0.0015,"[0.9927, 0.9993]",200,200,2000
autoencoder,5000,efficient_su2_like,zz_feature_map,0.57,1489,389,11,111,0.930625,0.0275,140.9,4,0.9306,0.0055,0.9205,0.9405,0.0201,0.9306 ± 0.0055,"[0.9205, 0.9405]",0.9548,0.0038,0.9478,0.9615,0.0137,0.9548 ± 0.0038,"[0.9478, 0.9615]",0.9520,0.0048,0.9431,0.9615,0.0184,0.9520 ± 0.0048,"[0.9431, 0.9615]",0.9151,0.0069,0.9020,0.9276,0.0256,0.9151 ± 0.0069,"[0.9020, 0.9276]",0.0069,0.0043,0.0000,0.0151,0.0151,0.0069 ± 0.0043,"[0.0000, 0.0151]",0.9981,0.0012,0.9959,1.0000,0.0041,0.9981 ± 0.0012,"[0.9959, 1.0000]",200,200,2000
pca4,5000,custom_ansatz_1,zz_feature_map,0.39499999999999996,1580,296,104,20,0.9875,0.26,137.7,4,0.8598,0.0047,0.8515,0.8695,0.0180,0.8598 ± 0.0047,"[0.8515, 0.8695]",0.9191,0.0025,0.9146,0.9242,0.0096,0.9191 ± 0.0025,"[0.9146, 0.9242]",0.9535,0.0066,0.9401,0.9655,0.0254,0.9535 ± 0.0066,"[0.9401, 0.9655]",0.9940,0.0019,0.9900,0.9975,0.0075,0.9940 ± 0.0019,"[0.9900, 0.9975]",0.6803,0.0221,0.6355,0.7161,0.0807,0.6803 ± 0.0221,"[0.6355, 0.7161]",0.8547,0.0041,0.8480,0.8631,0.0151,0.8547 ± 0.0041,"[0.8480, 0.8631]",200,200,2000
ica4,5000,custom_ansatz_1,iqp_embedding,0.6399999999999999,1485,388,12,115,0.928125,0.03,131.8,7,0.8872,0.0066,0.8740,0.9005,0.0266,0.8872 ± 0.0066,"[0.8740, 0.9005]",0.9291,0.0042,0.9204,0.9377,0.0173,0.9291 ± 0.0042,"[0.9204, 0.9377]",0.9550,0.0046,0.9465,0.9636,0.0171,0.9550 ± 0.0046,"[0.9465, 0.9636]",0.9226,0.0062,0.9107,0.9345,0.0237,0.9226 ± 0.0062,"[0.9107, 0.9345]",0.2551,0.0214,0.2060,0.2965,0.0905,0.2551 ± 0.0214,"[0.2060, 0.2965]",0.9358,0.0051,0.9254,0.9474,0.0220,0.9358 ± 0.0051,"[0.9254, 0.9474]",200,200,2000
ica4,5000,real_amplitudes,iqp_embedding,0.635,1481,391,9,119,0.925625,0.0225,129.5,4,0.1988,0.0003,0.1980,0.1990,0.0010,0.1988 ± 0.0003,"[0.1980, 0.1990]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.9508,0.0055,0.9409,0.9622,0.0213,0.9508 ± 0.0055,"[0.9409, 0.9622]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.0009,0.0014,0.0000,0.0050,0.0050,0.0009 ± 0.0014,"[0.0000, 0.0050]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",200,200,2000
