feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,strongly_entangling,zz_feature_map,0.972,0.9824561403508771,0.9770046875,0.9849246231155779,0.98,0.5249999999999999,20,0.967,0.9794135995009358,0.958025
autoencoder,5000,real_amplitudes,zz_feature_map,0.954,0.9707379134860051,0.9566218750000002,0.9883419689119171,0.95375,0.5449999999999999,6,0.954,0.9707379134860051,0.95308125
autoencoder,5000,custom_ansatz_1,zz_feature_map,0.939,0.9606451612903226,0.961025,0.9926666666666667,0.930625,0.5199999999999999,13,0.937,0.9595375722543352,0.94275625
pca4,5000,efficient_su2_like,iqp_embedding,0.934,0.9573643410852714,0.9103109375,0.9906417112299465,0.92625,0.5049999999999999,20,0.93,0.9546044098573282,0.9145625
autoencoder,5000,efficient_su2_like,iqp_embedding,0.931,0.9558823529411765,0.9351,0.9784031413612565,0.934375,0.5499999999999999,7,0.93,0.9553571428571429,0.92723125
xgb_pca4,5000,efficient_su2_like,custom_h_ry_rz,0.924,0.9511568123393316,0.9430406250000001,0.9788359788359788,0.925,0.585,9,0.923,0.9505459216441875,0.9397187499999999
ica4,5000,real_amplitudes,zz_feature_map,0.9175,0.9504950495049505,0.77785078125,0.9140219272937103,0.99,0.4599999999999999,9,0.915,0.9488260084286574,0.7975375
autoencoder,5000,efficient_su2_like,zz_feature_map,0.9155,0.9475968992248062,0.8655296875000001,0.9403076923076923,0.955,0.5349999999999999,6,0.918,0.9490683229813665,0.88385
autoencoder,5000,efficient_su2_like,custom_h_ry_rz,0.913,0.946983546617916,0.7565656249999999,0.9239001189060642,0.97125,0.5399999999999999,11,0.917,0.9492354740061162,0.7744125
autoencoder,5000,real_amplitudes,custom_h_ry_rz,0.9125,0.9468246733515648,0.95378359375,0.9213483146067416,0.97375,0.5099999999999999,20,0.918,0.9498777506112469,0.9600375
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.9095,0.9439801918910554,0.8328,0.935009196811772,0.953125,0.5049999999999999,20,0.912,0.945273631840796,0.8537531250000001
autoencoder,5000,strongly_entangling,custom_h_ry_rz,0.906,0.9400510204081632,0.880965625,0.9596354166666666,0.92125,0.49999999999999994,20,0.912,0.9438058748403576,0.894725
xgb_pca4,5000,real_amplitudes,custom_h_ry_rz,0.9045,0.9424178474525173,0.9495656250000001,0.9103086779266162,0.976875,0.5349999999999999,9,0.908,0.9443772672309553,0.93635625
xgb_pca4,5000,efficient_su2_like,iqp_embedding,0.903,0.9411407766990292,0.8777687500000001,0.9145047169811321,0.969375,0.49999999999999994,12,0.912,0.9464720194647201,0.91020625
ica4,5000,efficient_su2_like,custom_h_ry_rz,0.9005,0.9385612843470207,0.7219265625,0.9273947528981086,0.95,0.5349999999999999,17,0.907,0.942557134033354,0.7443875
ica4,5000,strongly_entangling,zz_feature_map,0.898,0.939537640782454,0.7163328124999999,0.8934611048478016,0.990625,0.4649999999999999,12,0.908,0.9449101796407186,0.7409125000000001
