DRM+VQC,Perf. Rank (of 112),f1_pm,Rank_F1,deploy_coverage,Rank_C,sigma_epi_mean,Rank_S,JSC_score,JSC_Rank
XGB_PCA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),1,0.9780 ± 0.0025,1,1.0,1,0.0255804040982007,2,4,1
XGB_PCA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),5,0.9707 ± 0.0027,2,0.983,2,0.0170175919744207,2,6,2
Autoencoder+VQC(ZZ_Feature_Map_style+custom_ansatz_1),2,0.9675 ± 0.0031,4,1.0,1,0.0216709388281934,2,7,3
Autoencoder+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),6,0.9621 ± 0.0033,5,0.98,3,0.026336698513329,2,10,4
ICA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),4,0.9685 ± 0.0030,3,0.9115,8,0.0224319486854631,2,13,5
ICA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),21,0.9528 ± 0.0031,9,0.9625,5,0.0344433124024909,3,17,6
Autoencoder+VQC(ZZ_Feature_Map_style+EfficientSU2_like),7,0.9548 ± 0.0038,7,0.8865,9,0.0308543339815703,3,19,7
XGB_PCA4+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),31,0.9529 ± 0.0032,8,0.884,10,0.0207400005274769,2,20,8
XGB_PCA4+VQC(ZZ_Feature_Map_style+strongly_entangling),11,0.9569 ± 0.0034,6,0.8535,13,0.0398699601168758,3,22,9
ICA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),17,0.9520 ± 0.0037,12,0.867,11,0.0291792082108541,2,25,10
PCA4+VQC(RX_Angle_Encoding+strongly_entangling),49,0.9344 ± 0.0039,22,0.9285,6,0.0022782220726773,1,29,11
PCA4+VQC(RX_Angle_Encoding+custom_ansatz_1),62,0.9339 ± 0.0039,23,0.914,7,0.0028777769927011,1,31,12
ICA4+VQC(Amplitude_Embedding+custom_ansatz_1),29,0.9469 ± 0.0035,14,0.7955,16,0.0142599807824628,2,32,13
ICA4+VQC(IQP_style_encoding+custom_ansatz_1),9,0.9291 ± 0.0042,28,0.964,4,0.0226710463747614,2,34,14
Autoencoder+VQC(ZZ_Feature_Map_style+strongly_entangling),28,0.9473 ± 0.0038,13,0.6915,21,0.0324464626355718,3,37,15
PCA4+VQC(RY_Angle_Encoding+custom_ansatz_1),43,0.9376 ± 0.0039,21,0.783,17,0.0057060545197381,1,39,16
PCA4+VQC(RY_Angle_Encoding+strongly_entangling),50,0.9336 ± 0.0040,24,0.837,14,0.0061773975969553,1,39,17
ICA4+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),44,0.9325 ± 0.0036,26,0.856,12,0.018554263758376,2,40,18
Autoencoder+VQC(IQP_style_encoding+strongly_entangling),32,0.9447 ± 0.0036,16,0.595,24,0.028072227921806,2,42,19
Autoencoder+VQC(Custom_H_RY_RZ+EfficientSU2_like),23,0.9320 ± 0.0033,27,0.7985,15,0.0187875482993475,2,44,20
ICA4+VQC(Custom_H_RY_RZ+custom_ansatz_1),46,0.9437 ± 0.0037,17,0.4225,25,0.0107088712773862,2,44,21
Autoencoder+VQC(Custom_H_RY_RZ+Real_Amplitude_like),30,0.9455 ± 0.0034,15,0.0185,32,0.0057047919121231,1,48,22
Autoencoder+VQC(IQP_style_encoding+custom_ansatz_1),40,0.9423 ± 0.0035,18,0.023,31,0.0296518801381178,2,51,23
ICA4+VQC(RY_Angle_Encoding+Real_Amplitude_like),15,0.9520 ± 0.0037,12,0.001,41,0.0296731892615154,2,55,24
ICA4+VQC(RY_Angle_Encoding+custom_ansatz_1),16,0.9521 ± 0.0037,11,0.0005,42,0.0282598288978193,2,55,25
XGB_PCA4+VQC(Custom_H_RY_RZ+strongly_entangling),37,0.9526 ± 0.0031,10,0.0,43,0.0131313402335116,2,55,26
PCA4+VQC(RY_Angle_Encoding+Real_Amplitude_like),52,0.9191 ± 0.0042,36,0.7565,19,0.0082509226058892,1,56,27
PCA4+VQC(Custom_H_RY_RZ+Real_Amplitude_like),27,0.9447 ± 0.0039,16,0.002,39,0.0243790166921499,2,57,28
Autoencoder+VQC(IQP_style_encoding+Real_Amplitude_like),51,0.9377 ± 0.0037,20,0.015,34,0.0352867869515804,3,57,29
PCA4+VQC(RX_Angle_Encoding+Real_Amplitude_like),83,0.9128 ± 0.0024,38,0.753,20,0.0018218278725245,1,59,30
ICA4+VQC(Amplitude_Embedding+strongly_entangling),53,0.8895 ± 0.0003,44,0.78,18,0.0087749037881107,1,63,31
PCA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),8,0.9191 ± 0.0025,36,0.3375,26,0.0198795163849082,2,64,32
Autoencoder+VQC(Custom_H_RY_RZ+strongly_entangling),38,0.9388 ± 0.0040,19,0.0,43,0.0214735712577398,2,64,33
XGB_PCA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),36,0.9334 ± 0.0034,25,0.0025,38,0.0169677909849656,2,65,34
Autoencoder+VQC(RY_Angle_Encoding+Real_Amplitude_like),58,0.9216 ± 0.0023,34,0.061,29,0.0252747056915032,2,65,35
Autoencoder+VQC(RY_Angle_Encoding+custom_ansatz_1),57,0.9198 ± 0.0023,35,0.0535,30,0.0075063104921708,1,66,36
XGB_PCA4+VQC(Custom_H_RY_RZ+Real_Amplitude_like),35,0.8916 ± 0.0014,43,0.6145,22,0.0155858103919159,2,67,37
PCA4+VQC(IQP_style_encoding+Real_Amplitude_like),41,0.9336 ± 0.0040,24,0.0005,42,0.0196593037064133,2,68,38
Autoencoder+VQC(RX_Angle_Encoding+EfficientSU2_like),75,0.9252 ± 0.0043,33,0.017,33,0.0121664963628317,2,68,39
Autoencoder+VQC(RX_Angle_Encoding+strongly_entangling),76,0.9254 ± 0.0034,31,0.007,36,0.007718807203398,1,68,40
ICA4+VQC(RX_Angle_Encoding+EfficientSU2_like),61,0.9095 ± 0.0043,41,0.242,27,0.0043878275771843,1,69,41
Autoencoder+VQC(RY_Angle_Encoding+EfficientSU2_like),74,0.9254 ± 0.0043,31,0.01,35,0.0342940834476605,3,69,42
XGB_PCA4+VQC(Custom_H_RY_RZ+custom_ansatz_1),33,0.8274 ± 0.0056,46,0.602,23,0.0060368566832013,1,70,43
ICA4+VQC(RY_Angle_Encoding+EfficientSU2_like),64,0.9087 ± 0.0044,42,0.2055,28,0.0059509266170507,1,71,44
Autoencoder+VQC(IQP_style_encoding+EfficientSU2_like),39,0.9253 ± 0.0037,32,0.0035,37,0.0322106526551103,3,72,45
XGB_PCA4+VQC(Amplitude_Embedding+custom_ansatz_1),67,0.9291 ± 0.0042,28,0.0,43,0.0121243055754807,2,73,46
