feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
xgb_pca4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.967,0.9790874524714828,0.9744921875,0.99293059125964,0.965625,0.965625,0.0275,1545,389,11,55,0.59,16,0.961,0.9752694990488268,0.96813125
autoencoder,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.9555,0.97157457681252,0.9569765625,0.9934683213585892,0.950625,0.950625,0.025,1521,390,10,79,0.58,18,0.963,0.9763880025526483,0.9637687499999998
ica4,5000,EfficientSU2_like,IQP_style_encoding,0.953,0.9699488491048592,0.9716109375,0.9928010471204188,0.948125,0.948125,0.0275,1517,389,11,83,0.6799999999999999,8,0.948,0.9666238767650834,0.9728625
ica4,5000,EfficientSU2_like,custom_h_ry_rz,0.951,0.9686900958466452,0.9399828124999998,0.9908496732026144,0.9475,0.9475,0.035,1516,386,14,84,0.5549999999999999,18,0.951,0.9687300574345884,0.94495
xgb_pca4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.949,0.9681846537741734,0.9463625,0.9663760896637608,0.97,0.97,0.135,1552,346,54,48,0.4599999999999999,19,0.95,0.9688667496886676,0.936725
autoencoder,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.946,0.965183752417795,0.9487484374999998,0.996671105193076,0.935625,0.935625,0.0125,1497,395,5,103,0.585,20,0.949,0.9671603348358015,0.95733125
autoencoder,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.939,0.9606451612903226,0.954896875,0.9926666666666668,0.930625,0.930625,0.0275,1489,389,11,111,0.57,7,0.94,0.9612403100775194,0.9584625
pca4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.938,0.9622411693057248,0.9595828125,0.9382422802850356,0.9875,0.9875,0.26,1580,296,104,20,0.3949999999999999,18,0.938,0.9618696186961868,0.96145
ica4,5000,custom_ansatz_1,IQP_style_encoding,0.9365,0.9589925734581852,0.9511765624999998,0.9919839679358716,0.928125,0.928125,0.03,1485,388,12,115,0.6399999999999999,17,0.934,0.9573643410852714,0.95564375
ica4,5000,Real_Amplitude_like,IQP_style_encoding,0.936,0.9585760517799352,0.9534234375,0.9939597315436242,0.925625,0.925625,0.0225,1481,391,9,119,0.635,12,0.931,0.9551656920077972,0.95684375
xgb_pca4,5000,strongly_entangling,ZZ_Feature_Map_style,0.936,0.9586830213040672,0.9317171875,0.9913217623497996,0.928125,0.928125,0.0325,1485,387,13,115,0.4649999999999999,20,0.934,0.9574193548387095,0.924125
pca4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.9335,0.95702746365105,0.92605625,0.9906354515050168,0.925625,0.925625,0.035,1481,386,14,119,0.63,4,0.93,0.9546044098573282,0.93803125
pca4,5000,strongly_entangling,custom_h_ry_rz,0.9335,0.95702746365105,0.90884375,0.9906354515050168,0.925625,0.925625,0.035,1481,386,14,119,0.59,7,0.929,0.9539260220635952,0.91513125
ica4,5000,strongly_entangling,ZZ_Feature_Map_style,0.933,0.9566903684550744,0.955990625,0.9906291834002676,0.925,0.925,0.035,1480,386,14,120,0.71,6,0.93,0.9545454545454546,0.95980625
ica4,5000,Real_Amplitude_like,ry_embedding,0.933,0.95671834625323,0.9169171875,0.9899732620320856,0.925625,0.925625,0.0375,1481,385,15,119,0.6499999999999999,17,0.927,0.9526895657809462,0.924775
ica4,5000,custom_ansatz_1,ry_embedding,0.933,0.95671834625323,0.91613828125,0.9899732620320856,0.925625,0.925625,0.0375,1481,385,15,119,0.6699999999999999,18,0.928,0.9532467532467532,0.9231125
ica4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.9325,0.9563812600969306,0.9499390625,0.9899665551839464,0.925,0.925,0.0375,1480,385,15,120,0.6699999999999999,20,0.929,0.9539260220635952,0.9594125
