DRM+VQC,Perf. Rank (of 112),f1_pm,F1_CI_95%,F1_CI_width,auc_pm,AUC_CI_95%,AUC_CI_width,tpr_pm,fpr_pm,sigma_epi_mean,entropy_mean,ece,deploy_coverage
XGB_PCA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),1,0.9780 ± 0.0025,"[0.9732, 0.9827]",0.0094,0.9720 ± 0.0060,"[0.9608, 0.9819]",0.021,0.9628 ± 0.0043,0.0250 ± 0.0075,0.0255804040982007,0.924653564379175,0.3114355426045755,1.0
XGB_PCA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),5,0.9707 ± 0.0027,"[0.9656, 0.9763]",0.0108,0.9436 ± 0.0085,"[0.9270, 0.9595]",0.0325,0.9808 ± 0.0031,0.1609 ± 0.0177,0.0170175919744207,0.9284773988003096,0.3077874314802388,0.983
ICA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),4,0.9685 ± 0.0030,"[0.9631, 0.9746]",0.0115,0.9475 ± 0.0062,"[0.9358, 0.9597]",0.0239,0.9470 ± 0.0054,0.0343 ± 0.0087,0.0224319486854631,0.9697927883012584,0.3053428527799745,0.9115
Autoencoder+VQC(ZZ_Feature_Map_style+custom_ansatz_1),2,0.9675 ± 0.0031,"[0.9615, 0.9731]",0.0117,0.9498 ± 0.0061,"[0.9379, 0.9608]",0.0229,0.9420 ± 0.0056,0.0215 ± 0.0073,0.0216709388281934,0.9621842922596536,0.3511479688420892,1.0
Autoencoder+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),6,0.9621 ± 0.0033,"[0.9559, 0.9679]",0.012,0.9482 ± 0.0053,"[0.9386, 0.9580]",0.0194,0.9300 ± 0.0061,0.0127 ± 0.0057,0.026336698513329,0.9604010016789584,0.3406564507889251,0.98
XGB_PCA4+VQC(ZZ_Feature_Map_style+strongly_entangling),11,0.9569 ± 0.0034,"[0.9506, 0.9631]",0.0124,0.9266 ± 0.0071,"[0.9126, 0.9405]",0.0279,0.9240 ± 0.0063,0.0287 ± 0.0078,0.0398699601168758,0.8544892110969977,0.2251067948723832,0.8535
Autoencoder+VQC(ZZ_Feature_Map_style+EfficientSU2_like),7,0.9548 ± 0.0038,"[0.9478, 0.9615]",0.0137,0.9520 ± 0.0048,"[0.9431, 0.9615]",0.0184,0.9151 ± 0.0069,0.0069 ± 0.0043,0.0308543339815703,0.9862138234735348,0.3693766842414935,0.8865
XGB_PCA4+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),31,0.9529 ± 0.0032,"[0.9465, 0.9595]",0.0129,0.9502 ± 0.0066,"[0.9386, 0.9617]",0.0231,0.9809 ± 0.0033,0.3132 ± 0.0232,0.0207400005274769,0.9293749842567008,0.2746544181786478,0.884
ICA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),21,0.9528 ± 0.0031,"[0.9473, 0.9589]",0.0116,0.9643 ± 0.0049,"[0.9543, 0.9739]",0.0197,0.9679 ± 0.0039,0.2563 ± 0.0211,0.0344433124024909,0.9114278562556876,0.282044147380193,0.9625
XGB_PCA4+VQC(Custom_H_RY_RZ+strongly_entangling),37,0.9526 ± 0.0031,"[0.9466, 0.9583]",0.0117,0.7707 ± 0.0173,"[0.7362, 0.8041]",0.0679,0.9764 ± 0.0035,0.2957 ± 0.0217,0.0131313402335116,0.9874324963165496,0.3678612961207826,0.0
ICA4+VQC(RY_Angle_Encoding+custom_ansatz_1),16,0.9521 ± 0.0037,"[0.9450, 0.9590]",0.014,0.9189 ± 0.0068,"[0.9062, 0.9325]",0.0263,0.9160 ± 0.0064,0.0327 ± 0.0084,0.0282598288978193,0.8369132010195535,0.3029584794074298,0.0005
ICA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),17,0.9520 ± 0.0037,"[0.9446, 0.9590]",0.0144,0.9544 ± 0.0049,"[0.9457, 0.9635]",0.0178,0.9159 ± 0.0065,0.0327 ± 0.0084,0.0291792082108541,0.8161672233838299,0.2457708592978615,0.867
ICA4+VQC(RY_Angle_Encoding+Real_Amplitude_like),15,0.9520 ± 0.0037,"[0.9446, 0.9590]",0.0144,0.9196 ± 0.0068,"[0.9069, 0.9334]",0.0265,0.9159 ± 0.0065,0.0327 ± 0.0084,0.0296731892615154,0.8699726600960822,0.3132742364302276,0.001
Autoencoder+VQC(ZZ_Feature_Map_style+strongly_entangling),28,0.9473 ± 0.0038,"[0.9394, 0.9538]",0.0144,0.9241 ± 0.0071,"[0.9107, 0.9383]",0.0276,0.9247 ± 0.0064,0.1111 ± 0.0147,0.0324464626355718,0.9419138707894468,0.2863068930144111,0.6915
ICA4+VQC(Amplitude_Embedding+custom_ansatz_1),29,0.9469 ± 0.0035,"[0.9401, 0.9543]",0.0142,0.9598 ± 0.0055,"[0.9491, 0.9685]",0.0194,0.9415 ± 0.0054,0.1899 ± 0.0186,0.0142599807824628,0.9884866016069388,0.3746922569258139,0.7955
