feature_set,ansatz,encoding,auc,f1,threshold
xgb_pca4,efficient_su2_like,zz_feature_map,0.9744921875,0.9790874524714828,0.59
autoencoder,custom_ansatz_1,zz_feature_map,0.9569765625,0.97157457681252,0.58
ica4,efficient_su2_like,iqp_embedding,0.9716109375,0.9699488491048592,0.6799999999999999
ica4,efficient_su2_like,custom_h_ry_rz,0.9399828124999998,0.9686900958466452,0.5549999999999999
xgb_pca4,custom_ansatz_1,zz_feature_map,0.9463625,0.9681846537741734,0.4599999999999999
autoencoder,real_amplitudes,zz_feature_map,0.9487484374999998,0.965183752417795,0.585
autoencoder,efficient_su2_like,zz_feature_map,0.954896875,0.9606451612903226,0.57
pca4,custom_ansatz_1,zz_feature_map,0.9595828125,0.9622411693057248,0.3949999999999999
ica4,custom_ansatz_1,iqp_embedding,0.9511765624999998,0.9589925734581852,0.6399999999999999
ica4,real_amplitudes,iqp_embedding,0.9534234375,0.9585760517799352,0.635
xgb_pca4,strongly_entangling,zz_feature_map,0.9317171875,0.9586830213040672,0.4649999999999999
pca4,efficient_su2_like,zz_feature_map,0.92605625,0.95702746365105,0.63
pca4,strongly_entangling,custom_h_ry_rz,0.90884375,0.95702746365105,0.59
ica4,strongly_entangling,zz_feature_map,0.955990625,0.9566903684550744,0.71
ica4,real_amplitudes,ry_embedding,0.9169171875,0.95671834625323,0.6499999999999999
ica4,custom_ansatz_1,ry_embedding,0.91613828125,0.95671834625323,0.6699999999999999
ica4,custom_ansatz_1,zz_feature_map,0.9499390625,0.9563812600969306,0.6699999999999999
ica4,real_amplitudes,amplitude_embedding,0.91155625,0.9564094284791734,0.5249999999999999
pca4,efficient_su2_like,custom_h_ry_rz,0.9035453125,0.9564094284791734,0.59
pca4,custom_ansatz_1,custom_h_ry_rz,0.9120609375,0.9561007101355712,0.5199999999999999
ica4,efficient_su2_like,zz_feature_map,0.9617265625,0.9576768612913192,0.3799999999999999
ica4,strongly_entangling,iqp_embedding,0.95575625,0.953757225433526,0.6649999999999999
autoencoder,efficient_su2_like,custom_h_ry_rz,0.9554109375,0.9549829245575908,0.5199999999999999
pca4,real_amplitudes,zz_feature_map,0.9366078125,0.9517994858611826,0.5449999999999999
pca4,strongly_entangling,zz_feature_map,0.9130515625,0.9517684887459807,0.6599999999999999
pca4,efficient_su2_like,iqp_embedding,0.91156875,0.9508828250401284,0.5549999999999999
pca4,real_amplitudes,custom_h_ry_rz,0.9089398437499998,0.9492847854356308,0.5449999999999999
autoencoder,strongly_entangling,zz_feature_map,0.929053125,0.9495851946394384,0.57
ica4,custom_ansatz_1,amplitude_embedding,0.91280390625,0.9490547901313682,0.5499999999999999
autoencoder,real_amplitudes,custom_h_ry_rz,0.8624515625,0.9483451902257964,0.5099999999999999
xgb_pca4,real_amplitudes,zz_feature_map,0.9463734375,0.9490909090909092,0.5049999999999999
autoencoder,strongly_entangling,iqp_embedding,0.917434375,0.947858472998138,0.5549999999999999
xgb_pca4,custom_ansatz_1,custom_h_ry_rz,0.8448765625,0.9486866218692732,0.5149999999999999
autoencoder,custom_ansatz_1,custom_h_ry_rz,0.834796875,0.9465697122984508,0.5149999999999999
xgb_pca4,real_amplitudes,custom_h_ry_rz,0.8341999999999999,0.9483338428615102,0.4799999999999999
xgb_pca4,efficient_su2_like,custom_h_ry_rz,0.7877609375000001,0.9480757483200978,0.4899999999999999
xgb_pca4,strongly_entangling,custom_h_ry_rz,0.7393328125000002,0.9478499542543458,0.4649999999999999
autoencoder,strongly_entangling,custom_h_ry_rz,0.8831390625000001,0.9447426586675088,0.4149999999999999
autoencoder,efficient_su2_like,iqp_embedding,0.937225,0.944599195295574,0.4799999999999999
autoencoder,custom_ansatz_1,iqp_embedding,0.9164562500000002,0.9423017587164456,0.5099999999999999
pca4,real_amplitudes,iqp_embedding,0.9091609375,0.9406160685932042,0.5149999999999999
pca4,strongly_entangling,iqp_embedding,0.9049312500000002,0.9403174603174604,0.5299999999999999
pca4,custom_ansatz_1,ry_embedding,0.90791875,0.9402087946852262,0.5049999999999999
ica4,real_amplitudes,zz_feature_map,0.94114921875,0.939911448450348,0.4299999999999999
pca4,custom_ansatz_1,iqp_embedding,0.89904765625,0.9397208121827412,0.5099999999999999
ica4,custom_ansatz_1,custom_h_ry_rz,0.8681765625000001,0.941358024691358,0.5599999999999999
ica4,real_amplitudes,rx_embedding,0.908903125,0.9396142902307936,0.4399999999999999
ica4,custom_ansatz_1,rx_embedding,0.90889375,0.9396142902307936,0.4399999999999999
pca4,strongly_entangling,rx_embedding,0.902140625,0.9394227719632096,0.5149999999999999
pca4,strongly_entangling,ry_embedding,0.900309375,0.9393843224373216,0.5149999999999999
autoencoder,real_amplitudes,iqp_embedding,0.8752890625000002,0.9410311824637234,0.4849999999999999
pca4,real_amplitudes,ry_embedding,0.90773046875,0.9389047166824944,0.4999999999999999
ica4,strongly_entangling,amplitude_embedding,0.9007109375000001,0.9388660120367436,0.5249999999999999
ica4,strongly_entangling,custom_h_ry_rz,0.845853125,0.9404872032069072,0.5249999999999999
xgb_pca4,real_amplitudes,iqp_embedding,0.70816875,0.9411764705882352,0.3549999999999999
ica4,real_amplitudes,custom_h_ry_rz,0.8761640624999998,0.9393939393939394,0.57
autoencoder,custom_ansatz_1,ry_embedding,0.7096484375000001,0.9406175771971496,0.4499999999999999
autoencoder,real_amplitudes,ry_embedding,0.7043140625000001,0.9392857142857144,0.4449999999999999
xgb_pca4,efficient_su2_like,iqp_embedding,0.7417984375,0.9342184671092336,0.3649999999999999
xgb_pca4,custom_ansatz_1,iqp_embedding,0.7020328124999999,0.9320562705776714,0.2549999999999999
ica4,efficient_su2_like,rx_embedding,0.7033171875,0.9288833437305052,0.615
pca4,custom_ansatz_1,rx_embedding,0.891496875,0.926342875522676,0.5099999999999999
autoencoder,custom_ansatz_1,rx_embedding,0.6913078125,0.932627243306855,0.4749999999999999
ica4,efficient_su2_like,ry_embedding,0.7178703125,0.9282595134123518,0.605
ica4,strongly_entangling,ry_embedding,0.6738515624999999,0.9282595134123518,0.59
xgb_pca4,real_amplitudes,amplitude_embedding,0.770275,0.9280149579308196,0.5399999999999999
xgb_pca4,custom_ansatz_1,amplitude_embedding,0.7628546875000001,0.9277258566978192,0.5599999999999999
xgb_pca4,efficient_su2_like,amplitude_embedding,0.72976875,0.9276807980049876,0.4299999999999999
ica4,strongly_entangling,rx_embedding,0.6717453125,0.9276807980049876,0.585
xgb_pca4,strongly_entangling,amplitude_embedding,0.7740539062500001,0.9274369355341016,0.4699999999999999
autoencoder,real_amplitudes,rx_embedding,0.6886953124999999,0.929535232383808,0.4649999999999999
xgb_pca4,strongly_entangling,iqp_embedding,0.785915625,0.9282296650717704,0.2099999999999999
pca4,custom_ansatz_1,amplitude_embedding,0.64938125,0.9245575908103072,0.4599999999999999
autoencoder,efficient_su2_like,ry_embedding,0.67349375,0.9233157404532754,0.5349999999999999
autoencoder,efficient_su2_like,rx_embedding,0.6688578125000001,0.9230291744258224,0.5449999999999999
autoencoder,strongly_entangling,rx_embedding,0.6881640625,0.92294013040901,0.4649999999999999
autoencoder,strongly_entangling,ry_embedding,0.6520453125,0.9209245742092458,0.5299999999999999
pca4,real_amplitudes,rx_embedding,0.88335703125,0.914924090518476,0.4899999999999999
pca4,real_amplitudes,amplitude_embedding,0.619546875,0.909035409035409,0.4599999999999999
pca4,efficient_su2_like,amplitude_embedding,0.5996023437500001,0.8893829905503057,0.3849999999999999
