feature_set,train_size,ansatz,encoding,sigma_noise,n_params,elapsed_s,gpu_id,sigma_epi_mean,sigma_epi_std,entropy_mean,entropy_std,vr_mean,ece,deploy_coverage
xgb_pca4,5000,efficient_su2_like,zz_feature_map,0.07870710500156007,24,19.8,3,0.02558040409820073,0.003769559003345795,0.924653564379175,0.03214884010936478,0.04006666666666666,0.3114355426045755,1.0
autoencoder,5000,custom_ansatz_1,zz_feature_map,0.060875555615085085,16,20.5,2,0.021670938828193494,0.003630277747961036,0.9621842922596536,0.020700162878742955,0.05493333333333332,0.3511479688420892,1.0
ica4,5000,efficient_su2_like,iqp_embedding,0.06691206895315925,24,24.1,1,0.019384278264079065,0.0024757993635225934,0.9880382969715515,0.010111394718337748,0.0,0.33752484425306317,0.089
ica4,5000,efficient_su2_like,custom_h_ry_rz,0.06684351930216971,24,20.6,1,0.022431948685463117,0.0009163779941258443,0.9697927883012583,0.02639461972194142,0.07765,0.3053428527799745,0.9115
xgb_pca4,5000,custom_ansatz_1,zz_feature_map,0.06710010184731689,16,22.5,1,0.017017591974420723,0.003454857759449811,0.9284773988003096,0.054075405903472956,0.028849999999999997,0.3077874314802388,0.983
autoencoder,5000,real_amplitudes,zz_feature_map,0.055279455199388476,12,22.5,3,0.026336698513329062,0.0025554443526332607,0.9604010016789585,0.01951779592987777,0.046049999999999994,0.34065645078892515,0.98
autoencoder,5000,efficient_su2_like,zz_feature_map,0.06847078903546498,24,22.5,0,0.030854333981570323,0.0029869104871048367,0.9862138234735348,0.007175783824601009,0.33505000000000007,0.36937668424149356,0.8865
pca4,5000,custom_ansatz_1,zz_feature_map,0.07099986177187786,16,20.3,0,0.019879516384908244,0.00217406269776069,0.9747471819827431,0.016718392896532257,0.04546666666666667,0.34674584693610666,0.3375
ica4,5000,custom_ansatz_1,iqp_embedding,0.06930795803043072,16,21.9,3,0.0226710463747614,0.0037660987421999545,0.9099817643726844,0.03520538635095832,0.07911666666666665,0.32481802129323284,0.964
ica4,5000,real_amplitudes,iqp_embedding,0.06369530394567974,12,19.7,0,0.013515322280677413,0.0015817583859277712,0.9783954060967156,0.008871616696723558,0.0,0.29689799058139327,0.08
xgb_pca4,5000,strongly_entangling,zz_feature_map,0.09098454779050939,24,19.4,3,0.039869960116875845,0.006106171509829459,0.8544892110969977,0.06516673243661444,0.018616666666666667,0.22510679487238325,0.8535
pca4,5000,efficient_su2_like,zz_feature_map,0.05313471963843582,24,26.9,2,0.013240340765188008,0.003432411944753525,0.9986570051640625,0.0020548005857634628,0.0,0.3551082155952851,0.0105
pca4,5000,strongly_entangling,custom_h_ry_rz,0.05957985121780362,24,18.3,1,0.013559908090328967,0.002162013417235186,0.9990135169698329,0.0027259317851503592,0.0,0.31843508932193115,0.064
