feature_set,train_size,ansatz,encoding,sigma_noise,n_params,elapsed_s,gpu_id,sigma_epi_mean,sigma_epi_std,entropy_mean,entropy_std,vr_mean,ece,deploy_coverage
xgb_pca4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.07870710500156,24,19.8,3,0.0255804040982007,0.0037695590033457,0.924653564379175,0.0321488401093647,0.0400666666666666,0.3114355426045755,1.0
autoencoder,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.060875555615085,16,20.5,2,0.0216709388281934,0.003630277747961,0.9621842922596536,0.0207001628787429,0.0549333333333333,0.3511479688420892,1.0
ica4,5000,EfficientSU2_like,IQP_style_encoding,0.0669120689531592,24,24.1,1,0.019384278264079,0.0024757993635225,0.9880382969715517,0.0101113947183377,0.0,0.3375248442530631,0.089
ica4,5000,EfficientSU2_like,Custom_H_RY_RZ,0.0668435193021697,24,20.6,1,0.0224319486854631,0.0009163779941258,0.9697927883012584,0.0263946197219414,0.07765,0.3053428527799745,0.9115
xgb_pca4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.0671001018473168,16,22.5,1,0.0170175919744207,0.0034548577594498,0.9284773988003096,0.0540754059034729,0.0288499999999999,0.3077874314802388,0.983
autoencoder,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.0552794551993884,12,22.5,3,0.026336698513329,0.0025554443526332,0.9604010016789584,0.0195177959298777,0.0460499999999999,0.3406564507889251,0.98
autoencoder,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.0684707890354649,24,22.5,0,0.0308543339815703,0.0029869104871048,0.9862138234735348,0.007175783824601,0.33505,0.3693766842414935,0.8865
pca4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.0709998617718778,16,20.3,0,0.0198795163849082,0.0021740626977606,0.9747471819827432,0.0167183928965322,0.0454666666666666,0.3467458469361066,0.3375
ica4,5000,custom_ansatz_1,IQP_style_encoding,0.0693079580304307,16,21.9,3,0.0226710463747614,0.0037660987421999,0.9099817643726844,0.0352053863509583,0.0791166666666666,0.3248180212932328,0.964
ica4,5000,Real_Amplitude_like,IQP_style_encoding,0.0636953039456797,12,19.7,0,0.0135153222806774,0.0015817583859277,0.9783954060967156,0.0088716166967235,0.0,0.2968979905813932,0.08
xgb_pca4,5000,strongly_entangling,ZZ_Feature_Map_style,0.0909845477905093,24,19.4,3,0.0398699601168758,0.0061061715098294,0.8544892110969977,0.0651667324366144,0.0186166666666666,0.2251067948723832,0.8535
pca4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.0531347196384358,24,26.9,2,0.013240340765188,0.0034324119447535,0.9986570051640624,0.0020548005857634,0.0,0.3551082155952851,0.0105
pca4,5000,strongly_entangling,Custom_H_RY_RZ,0.0595798512178036,24,18.3,1,0.0135599080903289,0.0021620134172351,0.9990135169698328,0.0027259317851503,0.0,0.3184350893219311,0.064
ica4,5000,strongly_entangling,ZZ_Feature_Map_style,0.0972790608778798,24,20.5,1,0.0250139594490065,0.0022593375463584,0.9878564090252828,0.0055922621483331,0.0,0.2915668086618184,0.0
ica4,5000,Real_Amplitude_like,RY_Angle_Encoding,0.0562956888332184,12,14.3,1,0.0296731892615154,0.0097124029945851,0.8699726600960822,0.0770308117117214,0.1140333333333333,0.3132742364302276,0.001
ica4,5000,custom_ansatz_1,RY_Angle_Encoding,0.0542914076171452,16,12.1,0,0.0282598288978193,0.0083378346464028,0.8369132010195535,0.0769425877638361,0.0615499999999999,0.3029584794074298,0.0005
ica4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.0946232049649627,16,22.7,0,0.0291792082108541,0.0027605082024684,0.8161672233838299,0.0702266405511391,0.0205,0.2457708592978615,0.867
ica4,5000,Real_Amplitude_like,Amplitude_Embedding,0.0517236454204328,12,13.3,3,0.0145725794507009,0.0006337358454942,0.9989456715430384,0.0163039575141402,0.2253833333333333,0.4198301466204848,0.0
pca4,5000,EfficientSU2_like,Custom_H_RY_RZ,0.062607461290927,24,22.5,1,0.0273695532202986,0.0046955367952364,0.9960914084277618,0.0030837141706982,0.0248999999999999,0.3189429365292192,0.0
pca4,5000,custom_ansatz_1,Custom_H_RY_RZ,0.0366269169855777,16,19.0,2,0.0099507626110522,0.0007333277710486,0.9972833396137508,0.0062251522671452,0.0849666666666666,0.4193067474494378,0.0
ica4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.0863697598335721,24,24.0,3,0.0344433124024909,0.0086896892604916,0.9114278562556876,0.0508680551179953,0.04415,0.282044147380193,0.9625
ica4,5000,strongly_entangling,IQP_style_encoding,0.0621380999317939,24,18.1,3,0.0182392731729702,0.0021373634938025,0.9990137334682418,0.0005373446621128,0.0,0.3785762286956112,0.0005
autoencoder,5000,EfficientSU2_like,Custom_H_RY_RZ,0.0423342423884169,24,22.7,2,0.0187875482993475,0.001772374707568,0.9844697897747348,0.0108464646858847,0.0495166666666666,0.3116550932059685,0.7985
pca4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.0447998869001169,12,25.0,1,0.0114836266129645,0.0020336176727677,0.9936786552658704,0.0037371707696496,0.2248333333333333,0.3603344452162584,0.0
pca4,5000,strongly_entangling,ZZ_Feature_Map_style,0.0627046191083673,24,21.0,3,0.0159535951823749,0.0019518042279682,0.9856995454179118,0.0066833123003726,0.0,0.3392259066969156,0.0005
pca4,5000,EfficientSU2_like,IQP_style_encoding,0.0509777674961917,24,26.2,1,0.0251694277479845,0.0020928970741412,0.9987660108092882,0.0005332750408905,0.0813999999999999,0.2826631322026252,0.002
pca4,5000,Real_Amplitude_like,Custom_H_RY_RZ,0.0574313838486091,12,21.9,3,0.0243790166921499,0.0030440599767122,0.9765772112541216,0.0217849093802963,0.1289166666666666,0.32929579969272,0.002
autoencoder,5000,strongly_entangling,ZZ_Feature_Map_style,0.058761900756829,24,21.5,1,0.0324464626355718,0.004659889319126,0.9419138707894468,0.0301780208580079,0.0430999999999999,0.2863068930144111,0.6915
ica4,5000,custom_ansatz_1,Amplitude_Embedding,0.0435649069318128,16,14.9,2,0.0142599807824628,0.0006472225629315,0.9884866016069388,0.0159782644079343,0.1923499999999999,0.3746922569258139,0.7955
autoencoder,5000,Real_Amplitude_like,Custom_H_RY_RZ,0.0326325796034743,12,18.4,1,0.0057047919121231,0.0004167107658638,0.9957436163621946,0.012340554473831,0.0165166666666666,0.3861553324658423,0.0185
xgb_pca4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.072591799807853,12,23.6,1,0.0207400005274769,0.0052652455458659,0.9293749842567008,0.052175308860492,0.0043833333333333,0.2746544181786478,0.884
autoencoder,5000,strongly_entangling,IQP_style_encoding,0.0648448440914234,24,18.5,0,0.028072227921806,0.0046071689247287,0.9204000930400488,0.0581624606253891,0.0390666666666666,0.2615793359458446,0.595
xgb_pca4,5000,custom_ansatz_1,Custom_H_RY_RZ,0.0377506723243905,16,21.8,0,0.0060368566832013,0.0021312733960698,0.9982604216183272,0.0016494070821429,0.0741166666666666,0.3882176375533144,0.602
autoencoder,5000,custom_ansatz_1,Custom_H_RY_RZ,0.0313392470096695,16,18.8,0,0.0024339994974215,0.000438910655011,0.9984052034889256,0.0115615917736536,0.054,0.3892937949536989,0.023
xgb_pca4,5000,Real_Amplitude_like,Custom_H_RY_RZ,0.0481625605200032,12,18.7,0,0.0155858103919159,0.0037580755727763,0.9989376110301152,0.0010797892172269,0.0353333333333333,0.4418304467146595,0.6145
xgb_pca4,5000,EfficientSU2_like,Custom_H_RY_RZ,0.0499420902915236,24,21.5,2,0.0169677909849656,0.0009227339344082,0.991404252334149,0.018027946286847,0.0766999999999999,0.3837594968860348,0.0025
xgb_pca4,5000,strongly_entangling,Custom_H_RY_RZ,0.0347548457318512,24,18.1,2,0.0131313402335116,0.0012361995803032,0.9874324963165496,0.0138184483834882,0.0465,0.3678612961207826,0.0
autoencoder,5000,strongly_entangling,Custom_H_RY_RZ,0.0705322669562039,24,16.3,3,0.0214735712577398,0.0026191111470573,0.9824201901182454,0.012360001528855,0.1750499999999999,0.4219221863801281,0.0
autoencoder,5000,EfficientSU2_like,IQP_style_encoding,0.063357815716307,24,23.7,3,0.0322106526551103,0.0025725859395191,0.9794909626880236,0.0180203051397284,0.04975,0.3304795351187388,0.0035
autoencoder,5000,custom_ansatz_1,IQP_style_encoding,0.0632885896844522,16,21.1,0,0.0296518801381178,0.0062544720594351,0.9576504563882072,0.0328020467000187,0.0327666666666666,0.2980972960370281,0.023
pca4,5000,Real_Amplitude_like,IQP_style_encoding,0.0551581949610922,12,21.5,3,0.0196593037064133,0.0010444490710922,0.9988082753809528,0.0006186964959869,0.3195166666666666,0.385058499293526,0.0005
pca4,5000,strongly_entangling,IQP_style_encoding,0.0617322279523078,24,23.6,2,0.0132554560016109,0.0012927903356564,0.985041169141302,0.0110137087000051,0.0338,0.3378521128118037,0.0005
pca4,5000,custom_ansatz_1,RY_Angle_Encoding,0.0226838101559214,16,14.4,3,0.0057060545197381,0.0002472928023188,0.9981158319854836,0.0061950700910659,0.0497333333333333,0.3832613191336393,0.783
ica4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.0760294023101454,12,22.1,2,0.018554263758376,0.0077930167050572,0.9638273790972705,0.018921540204867,0.0408666666666666,0.2983275206898648,0.856
pca4,5000,custom_ansatz_1,IQP_style_encoding,0.0447301868855063,16,23.3,2,0.0039626961158684,0.0011070140969062,0.9995354623646294,0.0008585339548587,9.999999999999998e-05,0.3102043788030744,0.0
ica4,5000,custom_ansatz_1,Custom_H_RY_RZ,0.0503803856748769,16,20.1,2,0.0107088712773862,0.0022324061722927,0.9847572785588352,0.0071692241816798,0.1003833333333333,0.3368697327286005,0.4225
