feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,efficient_su2_like,custom_h_ry_rz,0.961,0.975670617592015,0.9673734374999999,0.9738480697384807,0.9775,0.5299999999999999,15,0.97,0.98125,0.98175625
autoencoder,5000,custom_ansatz_1,zz_feature_map,0.9555,0.9715745768125199,0.9569765625,0.9934683213585892,0.950625,0.58,18,0.963,0.9763880025526483,0.9637687499999998
xgb_pca4,5000,efficient_su2_like,zz_feature_map,0.9545,0.9714106189129752,0.9758421875000001,0.9766266582438408,0.96625,0.5349999999999999,11,0.953,0.9703843730308759,0.96305
ica4,5000,efficient_su2_like,custom_h_ry_rz,0.9495,0.9677830940988835,0.9384984375,0.9882736156351791,0.948125,0.565,8,0.946,0.9656488549618321,0.9414687499999999
xgb_pca4,5000,custom_ansatz_1,zz_feature_map,0.949,0.9681846537741734,0.9463625000000001,0.9663760896637609,0.97,0.4599999999999999,19,0.95,0.9688667496886675,0.936725
autoencoder,5000,real_amplitudes,zz_feature_map,0.946,0.965183752417795,0.9525593750000001,0.9966711051930759,0.935625,0.58,18,0.949,0.9671603348358017,0.9609312499999999
autoencoder,5000,efficient_su2_like,zz_feature_map,0.9395,0.9609551468215554,0.9486296875,0.9933288859239493,0.930625,0.5499999999999999,6,0.941,0.961960025789813,0.953440625
xgb_pca4,5000,real_amplitudes,zz_feature_map,0.9385,0.960790564233344,0.9386453125,0.9804814573845153,0.941875,0.5199999999999999,17,0.927,0.9534141671984684,0.9280375
pca4,5000,custom_ansatz_1,zz_feature_map,0.938,0.9622411693057247,0.9595828125,0.9382422802850356,0.9875,0.39499999999999996,18,0.938,0.9618696186961869,0.9614500000000001
ica4,5000,custom_ansatz_1,iqp_embedding,0.9365,0.9589925734581853,0.9511765624999998,0.9919839679358717,0.928125,0.6399999999999999,17,0.934,0.9573643410852714,0.9556437499999999
ica4,5000,real_amplitudes,iqp_embedding,0.936,0.9585760517799353,0.9527218750000002,0.9939597315436242,0.925625,0.635,18,0.931,0.9551656920077972,0.9546749999999999
xgb_pca4,5000,strongly_entangling,zz_feature_map,0.936,0.9586830213040671,0.9317171875,0.9913217623497997,0.928125,0.4649999999999999,20,0.934,0.9574193548387097,0.9241250000000001
pca4,5000,efficient_su2_like,zz_feature_map,0.9335,0.9570274636510501,0.9229203124999998,0.9906354515050168,0.925625,0.63,8,0.93,0.9546044098573282,0.9353562500000001
ica4,5000,real_amplitudes,amplitude_embedding,0.9335,0.9570274636510501,0.9115671875000001,0.9906354515050168,0.925625,0.5299999999999999,11,0.931,0.9552238805970149,0.925259375
pca4,5000,strongly_entangling,custom_h_ry_rz,0.9335,0.9570274636510501,0.90884375,0.9906354515050168,0.925625,0.59,7,0.929,0.9539260220635951,0.9151312500000001
ica4,5000,strongly_entangling,zz_feature_map,0.933,0.9566903684550744,0.9559906250000001,0.9906291834002677,0.925,0.71,6,0.93,0.9545454545454546,0.95980625
ica4,5000,real_amplitudes,ry_embedding,0.933,0.9567183462532299,0.9175312499999999,0.9899732620320856,0.925625,0.6549999999999999,19,0.928,0.953307392996109,0.9267687499999999
ica4,5000,custom_ansatz_1,ry_embedding,0.933,0.9567183462532299,0.91613828125,0.9899732620320856,0.925625,0.6699999999999999,18,0.928,0.9532467532467532,0.9231125
pca4,5000,real_amplitudes,custom_h_ry_rz,0.933,0.9567183462532299,0.9101171875,0.9899732620320856,0.925625,0.5499999999999999,2,0.928,0.953307392996109,0.9092249999999998
ica4,5000,custom_ansatz_1,zz_feature_map,0.9325,0.9563812600969306,0.9499390624999999,0.9899665551839465,0.925,0.6699999999999999,20,0.929,0.9539260220635951,0.9594125
pca4,5000,efficient_su2_like,custom_h_ry_rz,0.9325,0.9564094284791734,0.9035453125,0.9893119572478289,0.925625,0.59,5,0.928,0.953307392996109,0.906525
ica4,5000,efficient_su2_like,zz_feature_map,0.931,0.9582324455205811,0.9611656249999999,0.9289906103286385,0.989375,0.38499999999999995,20,0.933,0.9591214154972544,0.96248125
ica4,5000,strongly_entangling,iqp_embedding,0.928,0.953757225433526,0.95575625,0.9808454425363277,0.928125,0.6649999999999999,2,0.927,0.9530546623794213,0.9589749999999999
ica4,5000,real_amplitudes,custom_h_ry_rz,0.9265,0.9522261943451413,0.9310875000000001,0.991875423155044,0.915625,0.58,10,0.931,0.9553398058252427,0.93290625
ica4,5000,real_amplitudes,zz_feature_map,0.9255,0.9520746220649726,0.9381484375000001,0.9807819748177601,0.925,0.585,20,0.919,0.9477756286266924,0.9488249999999999
pca4,5000,real_amplitudes,zz_feature_map,0.925,0.9517994858611826,0.9396203125,0.9794973544973545,0.925625,0.5449999999999999,17,0.918,0.9471649484536082,0.94575
pca4,5000,strongly_entangling,zz_feature_map,0.925,0.9517684887459807,0.9130515625,0.9801324503311258,0.925,0.6599999999999999,7,0.92,0.9484536082474226,0.9162000000000001
autoencoder,5000,strongly_entangling,zz_feature_map,0.921,0.9495851946394385,0.929053125,0.970013037809648,0.93,0.57,20,0.931,0.9560229445506692,0.9323874999999999
ica4,5000,custom_ansatz_1,amplitude_embedding,0.9205,0.9490547901313682,0.9128031249999999,0.9737015121630507,0.925625,0.5499999999999999,13,0.916,0.9460154241645244,0.92548125
autoencoder,5000,real_amplitudes,custom_h_ry_rz,0.9165,0.9483451902257964,0.8624515625,0.9387630128597673,0.958125,0.5099999999999999,14,0.917,0.9485430874147551,0.88148125
autoencoder,5000,strongly_entangling,iqp_embedding,0.916,0.9478584729981379,0.917434375,0.9414303329223181,0.954375,0.5549999999999999,19,0.929,0.9556527170518426,0.94211875
xgb_pca4,5000,real_amplitudes,custom_h_ry_rz,0.9155,0.9483338428615102,0.8341999999999999,0.9281867145421903,0.969375,0.4799999999999999,3,0.922,0.9522058823529411,0.8601375000000001
xgb_pca4,5000,efficient_su2_like,custom_h_ry_rz,0.915,0.9480757483200978,0.7877609375000001,0.927120669056153,0.97,0.48999999999999994,18,0.919,0.9504587155963303,0.80945625
xgb_pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.9145,0.9477862595419847,0.8347734375000001,0.9265671641791045,0.97,0.5049999999999999,6,0.921,0.9516227801592162,0.8590437500000001
xgb_pca4,5000,strongly_entangling,custom_h_ry_rz,0.9145,0.9478499542543458,0.7393328125000002,0.9255509231685527,0.97125,0.4649999999999999,18,0.916,0.9487179487179487,0.7615374999999999
autoencoder,5000,strongly_entangling,custom_h_ry_rz,0.9125,0.9447426586675087,0.8831390625000001,0.9546904913848118,0.935,0.4149999999999999,19,0.919,0.9486366518706405,0.9045125
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.912,0.944233206590621,0.8517429687499999,0.9575835475578406,0.93125,0.5149999999999999,20,0.915,0.9459631277813096,0.87586875
autoencoder,5000,efficient_su2_like,iqp_embedding,0.908,0.9429280397022333,0.9351859375,0.9359605911330049,0.95,0.49499999999999994,2,0.916,0.9478908188585607,0.9277312499999999
autoencoder,5000,custom_ansatz_1,iqp_embedding,0.9065,0.9423017587164455,0.9164562500000002,0.9305301645338209,0.954375,0.5099999999999999,16,0.918,0.9491945477075588,0.9313062499999999
pca4,5000,strongly_entangling,iqp_embedding,0.906,0.9403174603174603,0.9049312500000002,0.9554838709677419,0.925625,0.5299999999999999,17,0.906,0.9399744572158365,0.9081375
ica4,5000,efficient_su2_like,iqp_embedding,0.9055,0.9400570884871551,0.91798125,0.9542820347714102,0.92625,0.585,5,0.91,0.9428934010152284,0.91558125
