feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,EfficientSU2_like,custom_h_ry_rz,0.961,0.975670617592015,0.9673734375,0.9738480697384808,0.9775,0.5299999999999999,15,0.97,0.98125,0.98175625
autoencoder,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.9555,0.97157457681252,0.9569765625,0.9934683213585892,0.950625,0.58,18,0.963,0.9763880025526483,0.9637687499999998
xgb_pca4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.9545,0.9714106189129752,0.9758421875,0.9766266582438408,0.96625,0.5349999999999999,11,0.953,0.970384373030876,0.96305
ica4,5000,EfficientSU2_like,custom_h_ry_rz,0.9495,0.9677830940988836,0.9384984375,0.9882736156351792,0.948125,0.565,8,0.946,0.965648854961832,0.94146875
xgb_pca4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.949,0.9681846537741734,0.9463625,0.9663760896637608,0.97,0.4599999999999999,19,0.95,0.9688667496886676,0.936725
autoencoder,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.946,0.965183752417795,0.952559375,0.996671105193076,0.935625,0.58,18,0.949,0.9671603348358015,0.96093125
autoencoder,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.9395,0.9609551468215554,0.9486296875,0.9933288859239492,0.930625,0.5499999999999999,6,0.941,0.961960025789813,0.953440625
xgb_pca4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.9385,0.960790564233344,0.9386453125,0.9804814573845152,0.941875,0.5199999999999999,17,0.927,0.9534141671984684,0.9280375
pca4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.938,0.9622411693057248,0.9595828125,0.9382422802850356,0.9875,0.3949999999999999,18,0.938,0.9618696186961868,0.96145
ica4,5000,custom_ansatz_1,IQP_style_encoding,0.9365,0.9589925734581852,0.9511765624999998,0.9919839679358716,0.928125,0.6399999999999999,17,0.934,0.9573643410852714,0.95564375
ica4,5000,Real_Amplitude_like,IQP_style_encoding,0.936,0.9585760517799352,0.9527218750000002,0.9939597315436242,0.925625,0.635,18,0.931,0.9551656920077972,0.954675
xgb_pca4,5000,strongly_entangling,ZZ_Feature_Map_style,0.936,0.9586830213040672,0.9317171875,0.9913217623497996,0.928125,0.4649999999999999,20,0.934,0.9574193548387095,0.924125
pca4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.9335,0.95702746365105,0.9229203124999998,0.9906354515050168,0.925625,0.63,8,0.93,0.9546044098573282,0.93535625
ica4,5000,Real_Amplitude_like,amplitude_embedding,0.9335,0.95702746365105,0.9115671875,0.9906354515050168,0.925625,0.5299999999999999,11,0.931,0.9552238805970148,0.925259375
pca4,5000,strongly_entangling,custom_h_ry_rz,0.9335,0.95702746365105,0.90884375,0.9906354515050168,0.925625,0.59,7,0.929,0.9539260220635952,0.91513125
ica4,5000,strongly_entangling,ZZ_Feature_Map_style,0.933,0.9566903684550744,0.955990625,0.9906291834002676,0.925,0.71,6,0.93,0.9545454545454546,0.95980625
ica4,5000,Real_Amplitude_like,ry_embedding,0.933,0.95671834625323,0.91753125,0.9899732620320856,0.925625,0.6549999999999999,19,0.928,0.953307392996109,0.92676875
ica4,5000,custom_ansatz_1,ry_embedding,0.933,0.95671834625323,0.91613828125,0.9899732620320856,0.925625,0.6699999999999999,18,0.928,0.9532467532467532,0.9231125
