feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,custom_ansatz_1,zz_feature_map,0.9555,0.9715745768125199,0.9569781249999999,0.9934683213585892,0.950625,0.58,18,0.963,0.9763880025526483,0.96376875
xgb_pca4,5000,efficient_su2_like,zz_feature_map,0.952,0.9702602230483272,0.974184375,0.961916461916462,0.97875,0.4599999999999999,18,0.951,0.9696969696969697,0.967475
ica4,5000,efficient_su2_like,custom_h_ry_rz,0.9495,0.9677830940988835,0.9384984375000001,0.9882736156351791,0.948125,0.565,8,0.946,0.9656488549618321,0.94146875
xgb_pca4,5000,custom_ansatz_1,zz_feature_map,0.949,0.9681846537741734,0.9463625,0.9663760896637609,0.97,0.4599999999999999,19,0.95,0.9688667496886675,0.936725
autoencoder,5000,real_amplitudes,zz_feature_map,0.946,0.965183752417795,0.9525593750000001,0.9966711051930759,0.935625,0.58,18,0.949,0.9671603348358017,0.96093125
ica4,5000,efficient_su2_like,iqp_embedding,0.9435,0.9642291864514086,0.9669140625,0.9769082745349583,0.951875,0.6,19,0.943,0.9639468690702088,0.9687499999999999
autoencoder,5000,efficient_su2_like,custom_h_ry_rz,0.9405,0.9623059866962306,0.9566546874999998,0.9755940912010276,0.949375,0.5449999999999999,17,0.944,0.9643765903307888,0.97129375
autoencoder,5000,efficient_su2_like,zz_feature_map,0.9395,0.9609551468215554,0.9486296875,0.9933288859239493,0.930625,0.5499999999999999,6,0.941,0.961960025789813,0.9534374999999999
pca4,5000,custom_ansatz_1,zz_feature_map,0.938,0.9622411693057247,0.9595828125,0.9382422802850356,0.9875,0.39499999999999996,18,0.938,0.9618696186961869,0.9614500000000001
ica4,5000,custom_ansatz_1,iqp_embedding,0.9365,0.9589925734581853,0.9511765625,0.9919839679358717,0.928125,0.6399999999999999,17,0.934,0.9573643410852714,0.95564375
ica4,5000,real_amplitudes,iqp_embedding,0.936,0.9585760517799353,0.9527218749999999,0.9939597315436242,0.925625,0.635,18,0.931,0.9551656920077972,0.9546749999999999
xgb_pca4,5000,real_amplitudes,zz_feature_map,0.936,0.9592356687898089,0.9421171875,0.977922077922078,0.94125,0.5199999999999999,18,0.925,0.9521988527724665,0.93061875
xgb_pca4,5000,strongly_entangling,zz_feature_map,0.936,0.9586830213040671,0.9317171875,0.9913217623497997,0.928125,0.4649999999999999,20,0.934,0.9574193548387097,0.924125
ica4,5000,real_amplitudes,amplitude_embedding,0.9345,0.9577555627217027,0.9112890625000001,0.9893404397068621,0.928125,0.5349999999999999,10,0.932,0.9561290322580646,0.9249625
ica4,5000,real_amplitudes,zz_feature_map,0.9335,0.9569996766892984,0.9373515625,0.9912926992632284,0.925,0.615,14,0.93,0.9545454545454546,0.94824375
pca4,5000,efficient_su2_like,zz_feature_map,0.9335,0.9570274636510501,0.9264265624999999,0.9906354515050168,0.925625,0.635,6,0.931,0.9552238805970149,0.9393250000000001
pca4,5000,real_amplitudes,custom_h_ry_rz,0.9335,0.9570274636510501,0.9094249999999999,0.9906354515050168,0.925625,0.5449999999999999,3,0.927,0.9526895657809462,0.9082062500000001
pca4,5000,strongly_entangling,custom_h_ry_rz,0.9335,0.9570274636510501,0.90884375,0.9906354515050168,0.925625,0.59,7,0.929,0.9539260220635951,0.9151312500000001
ica4,5000,strongly_entangling,zz_feature_map,0.933,0.9566903684550744,0.9559906250000001,0.9906291834002677,0.925,0.71,6,0.93,0.9545454545454546,0.95980625
ica4,5000,real_amplitudes,ry_embedding,0.933,0.9567183462532299,0.9169171875000001,0.9899732620320856,0.925625,0.6499999999999999,17,0.927,0.9526895657809462,0.9247749999999998
ica4,5000,custom_ansatz_1,ry_embedding,0.933,0.9567183462532299,0.91613828125,0.9899732620320856,0.925625,0.6699999999999999,18,0.928,0.9532467532467532,0.9231124999999999
ica4,5000,custom_ansatz_1,zz_feature_map,0.9325,0.9563812600969306,0.9499390624999999,0.9899665551839465,0.925,0.6699999999999999,20,0.929,0.9539260220635951,0.9594125
pca4,5000,efficient_su2_like,custom_h_ry_rz,0.9325,0.9564094284791734,0.9034171875000001,0.9893119572478289,0.925625,0.59,5,0.928,0.953307392996109,0.9072374999999999
