feature_set,train_size,ansatz,encoding,threshold,TP,TN,FP,FN,TPR_point,FPR_point,elapsed_s,gpu_id,accuracy_mean_B,accuracy_std_B,accuracy_ci_low_B,accuracy_ci_high_B,accuracy_ci_width_B,accuracy_pm_B,accuracy_ci_str_B,f1_mean_B,f1_std_B,f1_ci_low_B,f1_ci_high_B,f1_ci_width_B,f1_pm_B,f1_ci_str_B,auc_mean_B,auc_std_B,auc_ci_low_B,auc_ci_high_B,auc_ci_width_B,auc_pm_B,auc_ci_str_B,tpr_mean_B,tpr_std_B,tpr_ci_low_B,tpr_ci_high_B,tpr_ci_width_B,tpr_pm_B,tpr_ci_str_B,fpr_mean_B,fpr_std_B,fpr_ci_low_B,fpr_ci_high_B,fpr_ci_width_B,fpr_pm_B,fpr_ci_str_B,prec_mean_B,prec_std_B,prec_ci_low_B,prec_ci_high_B,prec_ci_width_B,prec_pm_B,prec_ci_str_B,n_subsets,n_valid,subset_size
xgb_pca4,5000,real_amplitudes,iqp_embedding,0.43499999999999994,1456,512,21,11,0.9925017041581459,0.039399624765478425,130.8,7,0.9823,0.0028,0.9760,0.9875,0.0115,0.9823 ± 0.0028,"[0.9760, 0.9875]",0.9880,0.0019,0.9838,0.9915,0.0077,0.9880 ± 0.0019,"[0.9838, 0.9915]",0.9842,0.0049,0.9733,0.9926,0.0193,0.9842 ± 0.0049,"[0.9733, 0.9926]",0.9965,0.0017,0.9925,0.9993,0.0068,0.9965 ± 0.0017,"[0.9925, 0.9993]",0.0567,0.0096,0.0375,0.0788,0.0413,0.0567 ± 0.0096,"[0.0375, 0.0788]",0.9798,0.0034,0.9721,0.9865,0.0144,0.9798 ± 0.0034,"[0.9721, 0.9865]",200,200,2000
autoencoder,5000,efficient_su2_like,amplitude_embedding,0.4799999999999999,1452,513,20,15,0.9897750511247444,0.0375234521575985,97.0,7,0.9840,0.0027,0.9790,0.9890,0.0100,0.9840 ± 0.0027,"[0.9790, 0.9890]",0.9890,0.0018,0.9856,0.9925,0.0069,0.9890 ± 0.0018,"[0.9856, 0.9925]",0.9910,0.0023,0.9858,0.9949,0.0091,0.9910 ± 0.0023,"[0.9858, 0.9949]",0.9848,0.0029,0.9789,0.9905,0.0116,0.9848 ± 0.0029,"[0.9789, 0.9905]",0.0182,0.0057,0.0093,0.0319,0.0226,0.0182 ± 0.0057,"[0.0093, 0.0319]",0.9933,0.0021,0.9883,0.9966,0.0082,0.9933 ± 0.0021,"[0.9883, 0.9966]",200,200,2000
pca4,5000,custom_ansatz_1,zz_feature_map,0.44499999999999995,1451,502,31,16,0.989093387866394,0.058161350844277676,135.1,4,0.9713,0.0034,0.9650,0.9785,0.0135,0.9713 ± 0.0034,"[0.9650, 0.9785]",0.9805,0.0023,0.9763,0.9855,0.0092,0.9805 ± 0.0023,"[0.9763, 0.9855]",0.9782,0.0046,0.9677,0.9881,0.0204,0.9782 ± 0.0046,"[0.9677, 0.9881]",0.9845,0.0030,0.9782,0.9898,0.0116,0.9845 ± 0.0030,"[0.9782, 0.9898]",0.0648,0.0103,0.0469,0.0844,0.0376,0.0648 ± 0.0103,"[0.0469, 0.0844]",0.9766,0.0036,0.9698,0.9831,0.0133,0.9766 ± 0.0036,"[0.9698, 0.9831]",200,200,2000
xgb_pca4,5000,custom_ansatz_1,iqp_embedding,0.42999999999999994,1454,498,35,13,0.9911383776414451,0.06566604127579738,131.5,5,0.7332,0.0004,0.7325,0.7335,0.0010,0.7332 ± 0.0004,"[0.7325, 0.7335]",0.8461,0.0003,0.8456,0.8463,0.0007,0.8461 ± 0.0003,"[0.8456, 0.8463]",0.9817,0.0048,0.9716,0.9903,0.0186,0.9817 ± 0.0048,"[0.9716, 0.9903]",0.9996,0.0005,0.9986,1.0000,0.0014,0.9996 ± 0.0005,"[0.9986, 1.0000]",1.0000,0.0000,1.0000,1.0000,0.0000,1.0000 ± 0.0000,"[1.0000, 1.0000]",0.7334,0.0001,0.7332,0.7335,0.0003,0.7334 ± 0.0001,"[0.7332, 0.7335]",200,200,2000
autoencoder,5000,custom_ansatz_1,ry_embedding,0.4649999999999999,1444,505,28,23,0.9843217450579413,0.0525328330206379,88.2,6,0.9763,0.0033,0.9695,0.9825,0.0130,0.9763 ± 0.0033,"[0.9695, 0.9825]",0.9839,0.0022,0.9793,0.9881,0.0088,0.9839 ± 0.0022,"[0.9793, 0.9881]",0.9710,0.0061,0.9596,0.9823,0.0227,0.9710 ± 0.0061,"[0.9596, 0.9823]",0.9860,0.0029,0.9796,0.9918,0.0123,0.9860 ± 0.0029,"[0.9796, 0.9918]",0.0502,0.0091,0.0319,0.0676,0.0357,0.0502 ± 0.0091,"[0.0319, 0.0676]",0.9818,0.0032,0.9756,0.9884,0.0128,0.9818 ± 0.0032,"[0.9756, 0.9884]",200,200,2000
xgb_pca4,5000,efficient_su2_like,custom_h_ry_rz,0.4499999999999999,1442,506,27,25,0.9829584185412407,0.05065666041275797,119.3,7,0.9734,0.0034,0.9665,0.9790,0.0125,0.9734 ± 0.0034,"[0.9665, 0.9790]",0.9819,0.0023,0.9773,0.9857,0.0085,0.9819 ± 0.0023,"[0.9773, 0.9857]",0.9700,0.0059,0.9580,0.9805,0.0226,0.9700 ± 0.0059,"[0.9580, 0.9805]",0.9849,0.0029,0.9789,0.9905,0.0116,0.9849 ± 0.0029,"[0.9789, 0.9905]",0.0584,0.0099,0.0412,0.0807,0.0394,0.0584 ± 0.0099,"[0.0412, 0.0807]",0.9789,0.0035,0.9711,0.9851,0.0140,0.9789 ± 0.0035,"[0.9711, 0.9851]",200,200,2000
autoencoder,5000,strongly_entangling,iqp_embedding,0.4499999999999999,1439,506,27,28,0.9809134287661895,0.05065666041275797,123.9,6,0.9721,0.0035,0.9650,0.9775,0.0125,0.9721 ± 0.0035,"[0.9650, 0.9775]",0.9811,0.0023,0.9763,0.9848,0.0085,0.9811 ± 0.0023,"[0.9763, 0.9848]",0.9783,0.0046,0.9693,0.9873,0.0180,0.9783 ± 0.0046,"[0.9693, 0.9873]",0.9892,0.0024,0.9843,0.9932,0.0089,0.9892 ± 0.0024,"[0.9843, 0.9932]",0.0749,0.0112,0.0544,0.0957,0.0413,0.0749 ± 0.0112,"[0.0544, 0.0957]",0.9732,0.0039,0.9660,0.9803,0.0144,0.9732 ± 0.0039,"[0.9660, 0.9803]",200,200,2000
autoencoder,5000,real_amplitudes,ry_embedding,0.43499999999999994,1452,493,40,15,0.9897750511247444,0.075046904315197,90.6,4,0.9776,0.0031,0.9715,0.9840,0.0125,0.9776 ± 0.0031,"[0.9715, 0.9840]",0.9849,0.0021,0.9808,0.9892,0.0084,0.9849 ± 0.0021,"[0.9808, 0.9892]",0.9727,0.0058,0.9615,0.9834,0.0219,0.9727 ± 0.0058,"[0.9615, 0.9834]",0.9939,0.0020,0.9898,0.9980,0.0082,0.9939 ± 0.0020,"[0.9898, 0.9980]",0.0673,0.0104,0.0487,0.0864,0.0376,0.0673 ± 0.0104,"[0.0487, 0.0864]",0.9760,0.0036,0.9694,0.9825,0.0131,0.9760 ± 0.0036,"[0.9694, 0.9825]",200,200,2000
autoencoder,5000,real_amplitudes,rx_embedding,0.4499999999999999,1444,500,33,23,0.9843217450579413,0.06191369606003752,90.4,7,0.9749,0.0033,0.9675,0.9810,0.0135,0.9749 ± 0.0033,"[0.9675, 0.9810]",0.9830,0.0022,0.9780,0.9871,0.0091,0.9830 ± 0.0022,"[0.9780, 0.9871]",0.9786,0.0043,0.9703,0.9864,0.0161,0.9786 ± 0.0043,"[0.9703, 0.9864]",0.9887,0.0028,0.9836,0.9939,0.0102,0.9887 ± 0.0028,"[0.9836, 0.9939]",0.0632,0.0100,0.0432,0.0826,0.0394,0.0632 ± 0.0100,"[0.0432, 0.0826]",0.9773,0.0035,0.9704,0.9843,0.0139,0.9773 ± 0.0035,"[0.9704, 0.9843]",200,200,2000
xgb_pca4,5000,real_amplitudes,custom_h_ry_rz,0.43999999999999995,1432,506,27,35,0.9761417859577369,0.05065666041275797,112.8,6,0.9675,0.0035,0.9600,0.9745,0.0145,0.9675 ± 0.0035,"[0.9600, 0.9745]",0.9778,0.0024,0.9727,0.9826,0.0098,0.9778 ± 0.0024,"[0.9727, 0.9826]",0.9666,0.0062,0.9539,0.9787,0.0248,0.9666 ± 0.0062,"[0.9539, 0.9787]",0.9777,0.0034,0.9714,0.9836,0.0123,0.9777 ± 0.0034,"[0.9714, 0.9836]",0.0608,0.0100,0.0413,0.0826,0.0413,0.0608 ± 0.0100,"[0.0413, 0.0826]",0.9779,0.0035,0.9701,0.9849,0.0148,0.9779 ± 0.0035,"[0.9701, 0.9849]",200,200,2000
