feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,custom_ansatz_1,ry_embedding,0.9845,0.9895376307796152,0.9575782921585704,0.9799465240641712,0.9993183367416496,0.4749999999999999,15,0.984,0.9892037786774629,0.9555466989591795
autoencoder,5000,real_amplitudes,ry_embedding,0.981,0.9871447902571042,0.9554207576054053,0.9798522498321021,0.994546693933197,0.48999999999999994,10,0.98,0.9865047233468286,0.9550868372242746
autoencoder,5000,strongly_entangling,rx_embedding,0.9785,0.9854286682480515,0.9586513043044541,0.9797843665768194,0.9911383776414451,0.4749999999999999,18,0.979,0.985781990521327,0.9571051192830244
xgb_pca4,5000,real_amplitudes,zz_feature_map,0.976,0.9836956521739131,0.9622719209731031,0.980365605958023,0.9870483980913429,0.4699999999999999,19,0.981,0.987136086662153,0.9696593446459321
autoencoder,5000,strongly_entangling,ry_embedding,0.9755,0.9833729216152018,0.9574772576418544,0.9790540540540541,0.9877300613496932,0.4799999999999999,14,0.976,0.983739837398374,0.9554853840611923
xgb_pca4,5000,strongly_entangling,custom_h_ry_rz,0.972,0.9809653297076818,0.9756557971431532,0.9783050847457627,0.983640081799591,0.43499999999999994,8,0.972,0.9809782608695652,0.973425101297321
autoencoder,5000,efficient_su2_like,amplitude_embedding,0.9705,0.9798703514158991,0.9536865448881011,0.9808743169398907,0.9788684389911384,0.43499999999999994,5,0.973,0.9816700610997964,0.9544583595199043
pca4,5000,real_amplitudes,zz_feature_map,0.968,0.978021978021978,0.9803468681218195,0.9854671280276817,0.9706884798909339,0.4699999999999999,19,0.959,0.9718213058419244,0.9786470867759094
xgb_pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.9675,0.9777625726992816,0.9733109011127866,0.9814560439560439,0.9740967961826857,0.44499999999999995,2,0.966,0.976775956284153,0.9703491372482896
autoencoder,5000,custom_ansatz_1,amplitude_embedding,0.964,0.9754601226993865,0.9536558508577062,0.9754601226993865,0.9754601226993865,0.4049999999999999,20,0.971,0.980365605958023,0.9538656488393601
