DRM+VQC,Perf. Rank (of 112),f1_pm,Rank_F1,deploy_coverage,Rank_C,sigma_epi_mean,Rank_S,JSC_score,JSC_Rank
Autoencoder+VQC(Amplitude_Embedding+EfficientSU2_like),2,0.9890 ± 0.0018,1,1.0,1,0.0283597445708926,2,4,1
XGB_PCA4+VQC(IQP_style_encoding+Real_Amplitude_like),1,0.9880 ± 0.0019,2,1.0,1,0.0267195171164723,2,5,2
Autoencoder+VQC(RY_Angle_Encoding+Real_Amplitude_like),8,0.9849 ± 0.0021,3,1.0,1,0.0844622956258738,3,7,3
Autoencoder+VQC(RY_Angle_Encoding+custom_ansatz_1),5,0.9839 ± 0.0022,4,1.0,1,0.0540552523683613,3,8,4
Autoencoder+VQC(RX_Angle_Encoding+Real_Amplitude_like),9,0.9830 ± 0.0022,5,1.0,1,0.0245781151307658,2,8,5
XGB_PCA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),6,0.9819 ± 0.0023,6,1.0,1,0.0310768196825089,3,10,6
Autoencoder+VQC(IQP_style_encoding+strongly_entangling),7,0.9811 ± 0.0023,7,1.0,1,0.035941555997024,3,11,7
PCA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),3,0.9805 ± 0.0023,8,1.0,1,0.0417034434884814,3,12,8
XGB_PCA4+VQC(Custom_H_RY_RZ+Real_Amplitude_like),10,0.9778 ± 0.0024,9,1.0,1,0.0262019230680256,2,12,9
PCA4+VQC(Custom_H_RY_RZ+custom_ansatz_1),16,0.9740 ± 0.0028,11,1.0,1,0.0182336095961243,2,14,10
Autoencoder+VQC(Amplitude_Embedding+strongly_entangling),20,0.9763 ± 0.0026,10,1.0,1,0.0471710632918742,3,14,11
ICA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),12,0.9740 ± 0.0028,11,1.0,1,0.0545873028396194,3,15,12
Autoencoder+VQC(IQP_style_encoding+EfficientSU2_like),17,0.9733 ± 0.0030,12,1.0,1,0.0403672070097768,3,16,13
PCA4+VQC(Custom_H_RY_RZ+Real_Amplitude_like),23,0.9732 ± 0.0030,13,1.0,1,0.0258421073759727,2,16,14
PCA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),15,0.9731 ± 0.0031,14,1.0,1,0.0577025693620728,3,18,15
Autoencoder+VQC(RX_Angle_Encoding+custom_ansatz_1),22,0.9723 ± 0.0030,16,1.0,1,0.0182954049485445,2,19,16
ICA4+VQC(IQP_style_encoding+EfficientSU2_like),21,0.9711 ± 0.0030,17,1.0,1,0.0754035368470475,3,21,17
Autoencoder+VQC(ZZ_Feature_Map_style+custom_ansatz_1),27,0.9625 ± 0.0036,19,1.0,1,0.0400223033971406,3,23,18
ICA4+VQC(IQP_style_encoding+strongly_entangling),25,0.9615 ± 0.0031,20,0.952,3,0.0461682190032476,3,26,19
Autoencoder+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),36,0.9594 ± 0.0035,23,0.9575,2,0.0228180319950967,2,27,20
XGB_PCA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),32,0.9543 ± 0.0036,26,0.9045,6,0.0343807484196084,3,35,21
PCA4+VQC(ZZ_Feature_Map_style+strongly_entangling),30,0.9598 ± 0.0031,21,0.833,12,0.0574856725117555,3,36,22
Autoencoder+VQC(RX_Angle_Encoding+EfficientSU2_like),38,0.9579 ± 0.0032,24,0.882,9,0.0375632229973743,3,36,23
Autoencoder+VQC(ZZ_Feature_Map_style+strongly_entangling),40,0.9572 ± 0.0040,25,0.884,8,0.0452045997002594,3,36,24
Autoencoder+VQC(ZZ_Feature_Map_style+EfficientSU2_like),33,0.9595 ± 0.0035,22,0.8265,14,0.0275239046982996,2,38,25
Autoencoder+VQC(Custom_H_RY_RZ+EfficientSU2_like),35,0.9470 ± 0.0040,32,0.9135,5,0.03596710402395,3,40,26
Autoencoder+VQC(IQP_style_encoding+Real_Amplitude_like),47,0.9466 ± 0.0041,33,0.9245,4,0.0440054693025228,3,40,27
ICA4+VQC(IQP_style_encoding+Real_Amplitude_like),39,0.9497 ± 0.0038,29,0.845,11,0.0509272620178713,3,43,28
XGB_PCA4+VQC(RY_Angle_Encoding+Real_Amplitude_like),49,0.9448 ± 0.0039,35,0.901,7,0.0657022957208652,3,45,29
PCA4+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),28,0.9524 ± 0.0035,28,0.764,16,0.0348733949750183,3,47,30
PCA4+VQC(IQP_style_encoding+EfficientSU2_like),41,0.9481 ± 0.0034,31,0.7625,17,0.0439814228706474,3,51,31
XGB_PCA4+VQC(Amplitude_Embedding+Real_Amplitude_like),14,0.9727 ± 0.0027,15,0.2565,35,0.0646220853792975,3,53,32
ICA4+VQC(Custom_H_RY_RZ+custom_ansatz_1),37,0.9572 ± 0.0031,25,0.6145,26,0.022299491295691,2,53,33
Autoencoder+VQC(IQP_style_encoding+custom_ansatz_1),54,0.9382 ± 0.0044,40,0.854,10,0.0605916098634553,3,53,34
XGB_PCA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),44,0.9391 ± 0.0036,39,0.832,13,0.0380268840287277,3,55,35
ICA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),45,0.9455 ± 0.0039,34,0.7585,18,0.035965546672412,3,55,36
PCA4+VQC(IQP_style_encoding+Real_Amplitude_like),42,0.9496 ± 0.0034,30,0.723,23,0.0380796145278527,3,56,37
ICA4+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),50,0.9402 ± 0.0039,38,0.7865,15,0.0396524972749977,3,56,38
XGB_PCA4+VQC(RY_Angle_Encoding+strongly_entangling),34,0.9541 ± 0.0036,27,0.5465,28,0.0414861667568718,3,58,39
ICA4+VQC(Custom_H_RY_RZ+strongly_entangling),52,0.9428 ± 0.0040,36,0.535,30,0.0240762546128478,2,68,40
PCA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),55,0.9376 ± 0.0046,41,0.5475,27,0.0379626865882396,3,71,41
Autoencoder+VQC(RY_Angle_Encoding+EfficientSU2_like),26,0.9673 ± 0.0030,18,0.016,53,0.0647088667254139,3,74,42
ICA4+VQC(Custom_H_RY_RZ+Real_Amplitude_like),51,0.9418 ± 0.0036,37,0.2555,36,0.0202777282552283,2,75,43
XGB_PCA4+VQC(ZZ_Feature_Map_style+strongly_entangling),53,0.9319 ± 0.0044,43,0.401,32,0.0324299274307188,3,78,44
Autoencoder+VQC(Amplitude_Embedding+Real_Amplitude_like),69,0.9045 ± 0.0042,55,0.7325,21,0.0302915624617455,3,79,45
ICA4+VQC(IQP_style_encoding+custom_ansatz_1),48,0.9312 ± 0.0037,44,0.3455,34,0.044985054026174,3,81,46
Autoencoder+VQC(RY_Angle_Encoding+strongly_entangling),67,0.9085 ± 0.0044,54,0.685,25,0.0169006923602042,2,81,47
PCA4+VQC(Amplitude_Embedding+strongly_entangling),61,0.9172 ± 0.0045,46,0.3505,33,0.0700093417039243,3,82,48
ICA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),65,0.9139 ± 0.0040,49,0.4525,31,0.0266632919916956,2,82,49
Autoencoder+VQC(Amplitude_Embedding+custom_ansatz_1),71,0.9013 ± 0.0039,57,0.6905,24,0.0231916641365148,2,83,50
XGB_PCA4+VQC(RX_Angle_Encoding+strongly_entangling),56,0.9350 ± 0.0041,42,0.205,41,0.015343067351683,2,85,51
XGB_PCA4+VQC(IQP_style_encoding+strongly_entangling),24,0.8463 ± 0.0000,67,0.7545,19,0.0247734419682766,2,88,52
PCA4+VQC(RY_Angle_Encoding+strongly_entangling),68,0.8470 ± 0.0024,66,0.7265,22,0.0148751390739555,2,90,53
PCA4+VQC(RX_Angle_Encoding+strongly_entangling),43,0.8427 ± 0.0024,70,0.7385,20,0.0075577688000963,1,91,54
Autoencoder+VQC(Custom_H_RY_RZ+Real_Amplitude_like),73,0.8978 ± 0.0057,60,0.5405,29,0.0158505084507172,2,91,55
