feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
xgb_pca4,5000,Real_Amplitude_like,IQP_style_encoding,0.984,0.9891304347826086,0.9764026852160922,0.985781990521327,0.992501704158146,0.992501704158146,0.0393996247654784,1456,512,21,11,0.4349999999999999,15,0.987,0.991174473862865,0.9850033978672637
autoencoder,5000,EfficientSU2_like,amplitude_embedding,0.9825,0.9880911874787344,0.9862657003162764,0.9864130434782608,0.9897750511247444,0.9897750511247444,0.0375234521575985,1452,513,20,15,0.4799999999999999,18,0.98,0.986449864498645,0.9891012768827506
pca4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.9765,0.9840623940318752,0.976053540620352,0.9790823211875844,0.989093387866394,0.989093387866394,0.0581613508442776,1451,502,31,16,0.4449999999999999,20,0.966,0.9769021739130436,0.9728119523174475
xgb_pca4,5000,custom_ansatz_1,IQP_style_encoding,0.976,0.9837618403247632,0.9692624863955104,0.9764942914707858,0.9911383776414452,0.9911383776414452,0.0656660412757973,1454,498,35,13,0.4299999999999999,7,0.975,0.983142279163857,0.9790762910618208
autoencoder,5000,custom_ansatz_1,ry_embedding,0.9745,0.9826471588975842,0.9626619909427032,0.9809782608695652,0.9843217450579412,0.9843217450579412,0.0525328330206379,1444,505,28,23,0.4649999999999999,20,0.966,0.9769021739130436,0.956875188415572
xgb_pca4,5000,EfficientSU2_like,custom_h_ry_rz,0.974,0.9822888283378748,0.9669962438180304,0.9816201497617428,0.9829584185412408,0.9829584185412408,0.0506566604127579,1442,506,27,25,0.4499999999999999,20,0.966,0.9769021739130436,0.9743908109406216
autoencoder,5000,strongly_entangling,IQP_style_encoding,0.9725,0.9812478690760312,0.969488854869672,0.9815825375170532,0.9809134287661896,0.9809134287661896,0.0506566604127579,1439,506,27,28,0.4499999999999999,11,0.974,0.9823369565217392,0.9652804390146696
autoencoder,5000,Real_Amplitude_like,ry_embedding,0.9725,0.9814126394052044,0.9637656971189816,0.9731903485254692,0.9897750511247444,0.9897750511247444,0.075046904315197,1452,493,40,15,0.4349999999999999,20,0.973,0.981867024848892,0.960365028026018
autoencoder,5000,Real_Amplitude_like,rx_embedding,0.972,0.9809782608695652,0.9685974490702906,0.977657413676371,0.9843217450579412,0.9843217450579412,0.0619136960600375,1444,500,33,23,0.4499999999999999,20,0.968,0.9783783783783784,0.968223554118062
xgb_pca4,5000,Real_Amplitude_like,custom_h_ry_rz,0.969,0.9788106630211894,0.9632605245354012,0.9814941740918436,0.9761417859577368,0.9761417859577368,0.0506566604127579,1432,506,27,35,0.4399999999999999,20,0.96,0.9726775956284152,0.9713403947657516
xgb_pca4,5000,EfficientSU2_like,IQP_style_encoding,0.965,0.9763353617308992,0.9723127056659902,0.9684775318578136,0.9843217450579412,0.9843217450579412,0.0881801125703564,1444,486,47,23,0.3899999999999999,5,0.965,0.976271186440678,0.9825252540736084
ica4,5000,EfficientSU2_like,custom_h_ry_rz,0.963,0.9747956403269756,0.9809236601096544,0.974132062627638,0.9754601226993864,0.9754601226993864,0.0712945590994371,1431,495,38,36,0.4899999999999999,19,0.964,0.9756756756756756,0.978366060160134
xgb_pca4,5000,EfficientSU2_like,amplitude_embedding,0.963,0.9752342704149932,0.9297349698367204,0.957922419460881,0.9931833674164964,0.9931833674164964,0.1200750469043152,1457,469,64,10,0.3599999999999999,18,0.961,0.9739130434782608,0.9266213958336528
xgb_pca4,5000,Real_Amplitude_like,amplitude_embedding,0.9625,0.9748911951791096,0.9441841846450556,0.9578947368421052,0.992501704158146,0.992501704158146,0.1200750469043152,1456,469,64,11,0.3999999999999999,20,0.961,0.9739130434782608,0.947657515418142
pca4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.962,0.9741672331747112,0.9806947337996268,0.9715254237288136,0.9768234492160872,0.9768234492160872,0.0787992495309568,1433,491,42,34,0.3999999999999999,20,0.955,0.9693669162695712,0.9738849630322262
pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.961,0.9737726967047748,0.9732284109061006,0.9608493696084937,0.9870483980913428,0.9870483980913428,0.1106941838649155,1448,474,59,19,0.4099999999999999,15,0.956,0.9706666666666668,0.9765061749211849
autoencoder,5000,EfficientSU2_like,IQP_style_encoding,0.961,0.9732510288065844,0.9631134489730928,0.979296066252588,0.967280163599182,0.967280163599182,0.0562851782363977,1419,503,30,48,0.4299999999999999,20,0.964,0.9754098360655736,0.9657607390489038
xgb_pca4,5000,custom_ansatz_1,amplitude_embedding,0.961,0.9739652870493992,0.9400967629308196,0.9542184434270764,0.994546693933197,0.994546693933197,0.1313320825515947,1459,463,70,8,0.3599999999999999,19,0.957,0.971352431712192,0.9434932119298354
xgb_pca4,5000,strongly_entangling,amplitude_embedding,0.961,0.9739652870493992,0.9344132516360558,0.9542184434270764,0.994546693933197,0.994546693933197,0.1313320825515947,1459,463,70,8,0.3349999999999999,19,0.958,0.97196261682243,0.9336726091021966
autoencoder,5000,strongly_entangling,amplitude_embedding,0.9605,0.9728615596015115,0.9514049552954236,0.9806094182825484,0.9652351738241308,0.9652351738241308,0.0525328330206379,1416,505,28,51,0.5099999999999999,18,0.967,0.9774744027303754,0.9499466049430026
ica4,5000,EfficientSU2_like,IQP_style_encoding,0.958,0.9713701431492844,0.9757248587115414,0.9713701431492844,0.9713701431492844,0.9713701431492844,0.0787992495309568,1425,491,42,42,0.3999999999999999,20,0.952,0.9670781893004116,0.9688826892714258
autoencoder,5000,custom_ansatz_1,rx_embedding,0.9575,0.9708004122294744,0.9564515654594962,0.9785318559556788,0.9631901840490796,0.9631901840490796,0.0581613508442776,1413,502,31,54,0.4749999999999999,20,0.948,0.9643835616438357,0.9566656958474486
pca4,5000,Real_Amplitude_like,custom_h_ry_rz,0.957,0.9710632570659488,0.9712486459456384,0.9588039867109636,0.983640081799591,0.983640081799591,0.1163227016885553,1443,471,62,24,0.4349999999999999,10,0.958,0.9719251336898396,0.9736397034402768
xgb_pca4,5000,strongly_entangling,IQP_style_encoding,0.956,0.9700883752549286,0.9597869834290604,0.967457627118644,0.972733469665985,0.972733469665985,0.0900562851782364,1427,485,48,40,0.4699999999999999,3,0.958,0.971350613915416,0.968964442468742
ica4,5000,strongly_entangling,IQP_style_encoding,0.9505,0.9669669669669668,0.9717691655444162,0.9470588235294116,0.9877300613496932,0.9877300613496932,0.1519699812382739,1449,452,81,18,0.3849999999999999,18,0.954,0.9693333333333334,0.9684739232848436
autoencoder,5000,EfficientSU2_like,ry_embedding,0.9495,0.9657511020684978,0.944299287259036,0.9608636977058028,0.970688479890934,0.970688479890934,0.1088180112570356,1424,475,58,43,0.4749999999999999,20,0.958,0.9714285714285714,0.9490013335990312
autoencoder,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.947,0.9633724948168624,0.9739215844258492,0.97687456201822,0.9502385821404228,0.9502385821404228,0.0619136960600375,1394,500,33,73,0.4899999999999999,13,0.949,0.9650924024640656,0.976306901502726
pca4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.944,0.9614325068870524,0.9752977001218808,0.9714683368128044,0.9516019086571234,0.9516019086571234,0.0769230769230769,1396,492,41,71,0.4349999999999999,12,0.922,0.9453781512605042,0.9640899080787488
xgb_pca4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.943,0.960635359116022,0.9803481470397524,0.973407977606718,0.9481935923653716,0.9481935923653716,0.0712945590994371,1391,495,38,76,0.4049999999999999,5,0.932,0.9525801952580196,0.970722136211046
pca4,5000,strongly_entangling,ZZ_Feature_Map_style,0.9405,0.9595650696568128,0.977776243076258,0.956639566395664,0.9625085207907292,0.9625085207907292,0.1200750469043152,1412,469,64,55,0.4049999999999999,20,0.939,0.9588116137744768,0.9707681223845364
pca4,5000,strongly_entangling,IQP_style_encoding,0.939,0.9591700133868808,0.975965295282967,0.9421433267587114,0.9768234492160872,0.9768234492160872,0.1651031894934334,1433,445,88,34,0.4299999999999999,5,0.939,0.9590878604963112,0.97252581612684
xgb_pca4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.938,0.9571527297857636,0.9759959893133616,0.9705676243868256,0.9441036128152692,0.9441036128152692,0.0787992495309568,1385,491,42,82,0.3949999999999999,20,0.936,0.955617198335645,0.9666906816683783
autoencoder,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.9325,0.9536560247167868,0.9700937830520352,0.9605809128630706,0.9468302658486708,0.9468302658486708,0.1069418386491557,1389,476,57,78,0.4549999999999999,8,0.939,0.9582477754962354,0.9779726228980486
xgb_pca4,5000,strongly_entangling,ry_embedding,0.9325,0.9530107901148626,0.9626965217268972,0.9736842105263158,0.9331970006816632,0.9331970006816632,0.0694183864915572,1369,496,37,98,0.4349999999999999,20,0.927,0.9491289198606272,0.9584795949129074
autoencoder,5000,EfficientSU2_like,custom_h_ry_rz,0.932,0.9528105482303956,0.9570859087543212,0.9703180212014134,0.9359236537150648,0.9359236537150648,0.0787992495309568,1373,491,42,94,0.5249999999999999,20,0.934,0.9544198895027624,0.9454757269647592
autoencoder,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.931,0.951949860724234,0.9627502362800884,0.9729537366548042,0.9318336741649624,0.9318336741649624,0.0712945590994371,1367,495,38,100,0.4649999999999999,8,0.936,0.955617198335645,0.9673549263965746
ica4,5000,custom_ansatz_1,custom_h_ry_rz,0.9295,0.9537856440511308,0.922149068116448,0.918560606060606,0.9918200408997956,0.9918200408997956,0.2420262664165103,1455,404,129,12,0.4549999999999999,20,0.931,0.9544554455445544,0.932063093030029
autoencoder,5000,EfficientSU2_like,rx_embedding,0.9275,0.9516505501833944,0.93757217893085,0.9314621409921672,0.972733469665985,0.972733469665985,0.1969981238273921,1427,428,105,40,0.4599999999999999,20,0.942,0.9611780455153948,0.9465845047033636
ica4,5000,Real_Amplitude_like,IQP_style_encoding,0.9265,0.9503881201484982,0.9731133082921202,0.9411764705882352,0.959781867757328,0.959781867757328,0.1651031894934334,1408,445,88,59,0.3849999999999999,20,0.915,0.9423728813559322,0.9614738057646224
autoencoder,5000,strongly_entangling,ZZ_Feature_Map_style,0.9265,0.9487983281086728,0.9634536411433016,0.97008547008547,0.9284253578732108,0.9284253578732108,0.0787992495309568,1362,491,42,105,0.4549999999999999,20,0.94,0.9587912087912088,0.9686834158529668
pca4,5000,EfficientSU2_like,IQP_style_encoding,0.924,0.9492317969271876,0.9660958855931172,0.9305828421741976,0.9686434901158828,0.9686434901158828,0.198874296435272,1421,427,106,46,0.4299999999999999,20,0.918,0.9450402144772118,0.9625723643535622
pca4,5000,Real_Amplitude_like,IQP_style_encoding,0.9235,0.9495881383855024,0.9577573406692066,0.9190051020408164,0.9822767552828904,0.9822767552828904,0.2382739212007504,1441,406,127,26,0.4249999999999999,20,0.921,0.9479235332893868,0.9602628365293724
pca4,5000,strongly_entangling,rx_embedding,0.9235,0.9484674974738968,0.9557238611555536,0.9374167776298268,0.959781867757328,0.959781867757328,0.1763602251407129,1408,439,94,59,0.4999999999999999,13,0.921,0.9466576637407156,0.9500487964396482
xgb_pca4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.9215,0.9487095720352826,0.9663938734715332,0.9109159347553324,0.9897750511247444,0.9897750511247444,0.2664165103189493,1452,391,142,15,0.3749999999999999,19,0.9,0.9351491569390402,0.9586941970558628
ica4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.92,0.9465597862391448,0.951119756596339,0.9279633267845449,0.9659168370824812,0.9659168370824812,0.2063789868667917,1417,423,110,50,0.3999999999999999,20,0.922,0.9475100942126514,0.938490938169035
ica4,5000,strongly_entangling,ZZ_Feature_Map_style,0.919,0.9444825222755312,0.9601681009731288,0.9496898690558236,0.9393319700068168,0.9393319700068168,0.1369606003752345,1378,460,73,89,0.4549999999999999,10,0.904,0.9346049046321526,0.9511882316272464
autoencoder,5000,Real_Amplitude_like,IQP_style_encoding,0.9175,0.9427679500520292,0.961073574869774,0.9597457627118644,0.9263803680981596,0.9263803680981596,0.1069418386491557,1359,476,57,108,0.5399999999999999,20,0.933,0.9538885065381968,0.9629964590646412
ica4,5000,custom_ansatz_1,IQP_style_encoding,0.917,0.9426399447131996,0.9645100273560544,0.9558514365802384,0.9297886843899114,0.9297886843899114,0.1181988742964352,1364,470,63,103,0.4199999999999999,10,0.898,0.9284712482468443,0.9518933529541008
xgb_pca4,5000,Real_Amplitude_like,ry_embedding,0.915,0.9400564174894216,0.9548452445355036,0.9737034331628928,0.9086571233810498,0.9086571233810498,0.0675422138836773,1333,497,36,134,0.4549999999999999,20,0.918,0.9422535211267604,0.9500181389906546
ica4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.914,0.94141689373297,0.947175573690612,0.9407760381211708,0.942058623040218,0.942058623040218,0.1632270168855534,1382,446,87,85,0.4599999999999999,20,0.915,0.9416609471516816,0.939282922268038
ica4,5000,Real_Amplitude_like,custom_h_ry_rz,0.911,0.9401076716016152,0.8889208618372169,0.9282392026578072,0.9522835719154736,0.9522835719154736,0.2026266416510319,1397,425,108,70,0.4199999999999999,20,0.914,0.9424364123159304,0.9040370750749832
ica4,5000,strongly_entangling,custom_h_ry_rz,0.9105,0.9414458619561662,0.958729318298374,0.9050314465408804,0.9809134287661896,0.9809134287661896,0.2833020637898686,1439,382,151,28,0.4049999999999999,20,0.926,0.95112285336856,0.9587555119538504
xgb_pca4,5000,strongly_entangling,ZZ_Feature_Map_style,0.91,0.9379310344827586,0.9435830932164916,0.9490579204466156,0.92706203135651,0.92706203135651,0.1369606003752345,1360,460,73,107,0.3899999999999999,20,0.89,0.922425952045134,0.9160394663560044
