DRM+VQC,Perf. Rank (of 112),f1_pm,F1_CI_95%,F1_CI_width,auc_pm,AUC_CI_95%,AUC_CI_width,tpr_pm,fpr_pm,sigma_epi_mean,entropy_mean,ece,deploy_coverage
Autoencoder+VQC(Amplitude_Embedding+EfficientSU2_like),2,0.9890 ± 0.0018,"[0.9856, 0.9925]",0.0069,0.9910 ± 0.0023,"[0.9858, 0.9949]",0.0091,0.9848 ± 0.0029,0.0182 ± 0.0057,0.0283597445708926,0.9956545571951932,0.43515755686524,1.0
XGB_PCA4+VQC(IQP_style_encoding+Real_Amplitude_like),1,0.9880 ± 0.0019,"[0.9838, 0.9915]",0.0077,0.9842 ± 0.0049,"[0.9733, 0.9926]",0.0193,0.9965 ± 0.0017,0.0567 ± 0.0096,0.0267195171164723,0.9762335613253772,0.4107789970745641,1.0
Autoencoder+VQC(RY_Angle_Encoding+Real_Amplitude_like),8,0.9849 ± 0.0021,"[0.9808, 0.9892]",0.0084,0.9727 ± 0.0058,"[0.9615, 0.9834]",0.0219,0.9939 ± 0.0020,0.0673 ± 0.0104,0.0844622956258738,0.9289502037759556,0.3332332691937686,1.0
Autoencoder+VQC(RY_Angle_Encoding+custom_ansatz_1),5,0.9839 ± 0.0022,"[0.9793, 0.9881]",0.0088,0.9710 ± 0.0061,"[0.9596, 0.9823]",0.0227,0.9860 ± 0.0029,0.0502 ± 0.0091,0.0540552523683613,0.9293561629212762,0.3356490467677512,1.0
Autoencoder+VQC(RX_Angle_Encoding+Real_Amplitude_like),9,0.9830 ± 0.0022,"[0.9780, 0.9871]",0.0091,0.9786 ± 0.0043,"[0.9703, 0.9864]",0.0161,0.9887 ± 0.0028,0.0632 ± 0.0100,0.0245781151307658,0.9474817604038472,0.3554859874844551,1.0
XGB_PCA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),6,0.9819 ± 0.0023,"[0.9773, 0.9857]",0.0085,0.9700 ± 0.0059,"[0.9580, 0.9805]",0.0226,0.9849 ± 0.0029,0.0584 ± 0.0099,0.0310768196825089,0.9926857115629076,0.444449792832012,1.0
Autoencoder+VQC(IQP_style_encoding+strongly_entangling),7,0.9811 ± 0.0023,"[0.9763, 0.9848]",0.0085,0.9783 ± 0.0046,"[0.9693, 0.9873]",0.018,0.9892 ± 0.0024,0.0749 ± 0.0112,0.035941555997024,0.9600507128948652,0.3657803204677999,1.0
PCA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),3,0.9805 ± 0.0023,"[0.9763, 0.9855]",0.0092,0.9782 ± 0.0046,"[0.9677, 0.9881]",0.0204,0.9845 ± 0.0030,0.0648 ± 0.0103,0.0417034434884814,0.9250846975671606,0.3362965024933219,1.0
XGB_PCA4+VQC(Custom_H_RY_RZ+Real_Amplitude_like),10,0.9778 ± 0.0024,"[0.9727, 0.9826]",0.0098,0.9666 ± 0.0062,"[0.9539, 0.9787]",0.0248,0.9777 ± 0.0034,0.0608 ± 0.0100,0.0262019230680256,0.9845492814031792,0.4158697698652744,1.0
Autoencoder+VQC(Amplitude_Embedding+strongly_entangling),20,0.9763 ± 0.0026,"[0.9717, 0.9822]",0.0105,0.9600 ± 0.0070,"[0.9481, 0.9737]",0.0256,0.9710 ± 0.0042,0.0499 ± 0.0093,0.0471710632918742,0.9426339632605482,0.3453885132980844,1.0
PCA4+VQC(Custom_H_RY_RZ+custom_ansatz_1),16,0.9740 ± 0.0028,"[0.9683, 0.9796]",0.0114,0.9787 ± 0.0048,"[0.9685, 0.9882]",0.0198,0.9974 ± 0.0015,0.1397 ± 0.0157,0.0182336095961243,0.9867312413890812,0.4328668263241649,1.0
ICA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),12,0.9740 ± 0.0028,"[0.9687, 0.9790]",0.0103,0.9777 ± 0.0043,"[0.9691, 0.9854]",0.0163,0.9783 ± 0.0038,0.0842 ± 0.0118,0.0545873028396194,0.9326893408773228,0.3300898439846932,1.0
Autoencoder+VQC(IQP_style_encoding+EfficientSU2_like),17,0.9733 ± 0.0030,"[0.9676, 0.9790]",0.0114,0.9743 ± 0.0048,"[0.9650, 0.9829]",0.0179,0.9670 ± 0.0050,0.0548 ± 0.0095,0.0403672070097768,0.8706642304944318,0.2654023544821888,1.0
PCA4+VQC(Custom_H_RY_RZ+Real_Amplitude_like),23,0.9732 ± 0.0030,"[0.9671, 0.9791]",0.012,0.9806 ± 0.0045,"[0.9698, 0.9891]",0.0194,0.9863 ± 0.0029,0.1118 ± 0.0142,0.0258421073759727,0.9848531189144945,0.4163613799807926,1.0
PCA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),15,0.9731 ± 0.0031,"[0.9664, 0.9790]",0.0126,0.9810 ± 0.0034,"[0.9746, 0.9880]",0.0133,0.9778 ± 0.0040,0.0878 ± 0.0125,0.0577025693620728,0.8687401221070102,0.2932957992908855,1.0
XGB_PCA4+VQC(Amplitude_Embedding+Real_Amplitude_like),14,0.9727 ± 0.0027,"[0.9674, 0.9776]",0.0101,0.9484 ± 0.0081,"[0.9313, 0.9650]",0.0337,0.9951 ± 0.0018,0.1402 ± 0.0146,0.0646220853792975,0.9699488946530984,0.3596085273707906,0.2565
Autoencoder+VQC(RX_Angle_Encoding+custom_ansatz_1),22,0.9723 ± 0.0030,"[0.9661, 0.9778]",0.0117,0.9678 ± 0.0052,"[0.9582, 0.9771]",0.019,0.9692 ± 0.0045,0.0671 ± 0.0105,0.0182954049485445,0.964477973927186,0.3630324621222913,1.0
ICA4+VQC(IQP_style_encoding+EfficientSU2_like),21,0.9711 ± 0.0030,"[0.9647, 0.9764]",0.0116,0.9776 ± 0.0042,"[0.9695, 0.9860]",0.0164,0.9688 ± 0.0045,0.0727 ± 0.0109,0.0754035368470475,0.8738191794104169,0.2670571553113559,1.0
Autoencoder+VQC(RY_Angle_Encoding+EfficientSU2_like),26,0.9673 ± 0.0030,"[0.9617, 0.9732]",0.0115,0.9569 ± 0.0073,"[0.9431, 0.9694]",0.0264,0.9675 ± 0.0045,0.0906 ± 0.0114,0.0647088667254139,0.9652031228378628,0.3535105878390993,0.016
Autoencoder+VQC(ZZ_Feature_Map_style+custom_ansatz_1),27,0.9625 ± 0.0036,"[0.9545, 0.9688]",0.0143,0.9760 ± 0.0037,"[0.9686, 0.9819]",0.0133,0.9725 ± 0.0045,0.1329 ± 0.0147,0.0400223033971406,0.9656447071229376,0.3554608325953285,1.0
ICA4+VQC(IQP_style_encoding+strongly_entangling),25,0.9615 ± 0.0031,"[0.9550, 0.9674]",0.0124,0.9704 ± 0.0056,"[0.9590, 0.9801]",0.021,0.9923 ± 0.0025,0.1973 ± 0.0172,0.0461682190032476,0.9216136138880582,0.3080062616165727,0.952
PCA4+VQC(ZZ_Feature_Map_style+strongly_entangling),30,0.9598 ± 0.0031,"[0.9530, 0.9667]",0.0136,0.9764 ± 0.0037,"[0.9682, 0.9839]",0.0157,0.9614 ± 0.0048,0.1157 ± 0.0122,0.0574856725117555,0.8986759023633122,0.2778102336647609,0.833
Autoencoder+VQC(ZZ_Feature_Map_style+EfficientSU2_like),33,0.9595 ± 0.0035,"[0.9523, 0.9669]",0.0146,0.9637 ± 0.0052,"[0.9523, 0.9727]",0.0204,0.9792 ± 0.0039,0.1702 ± 0.0173,0.0275239046982996,0.9858817031390495,0.3848468617449203,0.8265
Autoencoder+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),36,0.9594 ± 0.0035,"[0.9522, 0.9661]",0.0139,0.9646 ± 0.0044,"[0.9566, 0.9728]",0.0162,0.9658 ± 0.0050,0.1310 ± 0.0140,0.0228180319950967,0.9896156170792992,0.4005344737882415,0.9575
Autoencoder+VQC(RX_Angle_Encoding+EfficientSU2_like),38,0.9579 ± 0.0032,"[0.9524, 0.9643]",0.0119,0.9510 ± 0.0071,"[0.9375, 0.9652]",0.0277,0.9768 ± 0.0039,0.1728 ± 0.0157,0.0375632229973743,0.969542019147704,0.3413293348126113,0.882
Autoencoder+VQC(ZZ_Feature_Map_style+strongly_entangling),40,0.9572 ± 0.0040,"[0.9496, 0.9649]",0.0153,0.9718 ± 0.0037,"[0.9647, 0.9786]",0.0139,0.9438 ± 0.0064,0.0775 ± 0.0114,0.0452045997002594,0.8484808205637402,0.2282177564725279,0.884
ICA4+VQC(Custom_H_RY_RZ+custom_ansatz_1),37,0.9572 ± 0.0031,"[0.9506, 0.9626]",0.012,0.9375 ± 0.0077,"[0.9218, 0.9519]",0.0301,0.9914 ± 0.0025,0.2207 ± 0.0166,0.022299491295691,0.9855656868420984,0.3773042698328694,0.6145
XGB_PCA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),32,0.9543 ± 0.0036,"[0.9476, 0.9613]",0.0137,0.9736 ± 0.0042,"[0.9649, 0.9805]",0.0155,0.9396 ± 0.0050,0.0814 ± 0.0116,0.0343807484196084,0.8559330797135747,0.2352058400742709,0.9045
XGB_PCA4+VQC(RY_Angle_Encoding+strongly_entangling),34,0.9541 ± 0.0036,"[0.9472, 0.9618]",0.0147,0.9620 ± 0.0051,"[0.9525, 0.9713]",0.0189,0.9399 ± 0.0054,0.0835 ± 0.0124,0.0414861667568718,0.9354027787303888,0.3126831784248353,0.5465
PCA4+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),28,0.9524 ± 0.0035,"[0.9457, 0.9584]",0.0127,0.9720 ± 0.0042,"[0.9637, 0.9806]",0.0169,0.9507 ± 0.0051,0.1259 ± 0.0151,0.0348733949750183,0.9714160686670966,0.3530571581954757,0.764
ICA4+VQC(IQP_style_encoding+Real_Amplitude_like),39,0.9497 ± 0.0038,"[0.9429, 0.9566]",0.0137,0.9711 ± 0.0036,"[0.9645, 0.9782]",0.0136,0.9609 ± 0.0051,0.1723 ± 0.0161,0.0509272620178713,0.8767405400264875,0.2590562635211895,0.845
PCA4+VQC(IQP_style_encoding+Real_Amplitude_like),42,0.9496 ± 0.0034,"[0.9436, 0.9567]",0.0131,0.9580 ± 0.0047,"[0.9492, 0.9664]",0.0172,0.9847 ± 0.0029,0.2458 ± 0.0185,0.0380796145278527,0.9594375519570786,0.3350765386492014,0.723
PCA4+VQC(IQP_style_encoding+EfficientSU2_like),41,0.9481 ± 0.0034,"[0.9419, 0.9550]",0.0131,0.9660 ± 0.0043,"[0.9581, 0.9736]",0.0155,0.9668 ± 0.0043,0.1999 ± 0.0161,0.0439814228706474,0.91425286519366,0.2909783257951339,0.7625
Autoencoder+VQC(Custom_H_RY_RZ+EfficientSU2_like),35,0.9470 ± 0.0040,"[0.9401, 0.9553]",0.0152,0.9535 ± 0.0069,"[0.9381, 0.9659]",0.0278,0.9279 ± 0.0064,0.0872 ± 0.0130,0.03596710402395,0.9756722492554208,0.3534913384266197,0.9135
Autoencoder+VQC(IQP_style_encoding+Real_Amplitude_like),47,0.9466 ± 0.0041,"[0.9385, 0.9531]",0.0146,0.9679 ± 0.0041,"[0.9594, 0.9751]",0.0157,0.9293 ± 0.0064,0.0942 ± 0.0131,0.0440054693025228,0.8813079372721107,0.2370671135878811,0.9245
ICA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),45,0.9455 ± 0.0039,"[0.9381, 0.9529]",0.0148,0.9478 ± 0.0062,"[0.9353, 0.9592]",0.0239,0.9633 ± 0.0050,0.2043 ± 0.0172,0.035965546672412,0.9210702145558336,0.2845602697065721,0.7585
XGB_PCA4+VQC(RY_Angle_Encoding+Real_Amplitude_like),49,0.9448 ± 0.0039,"[0.9364, 0.9530]",0.0166,0.9548 ± 0.0053,"[0.9441, 0.9650]",0.0209,0.9199 ± 0.0062,0.0753 ± 0.0119,0.0657022957208652,0.9146435772590016,0.27125239928253,0.901
ICA4+VQC(Custom_H_RY_RZ+strongly_entangling),52,0.9428 ± 0.0040,"[0.9352, 0.9502]",0.015,0.9601 ± 0.0042,"[0.9529, 0.9687]",0.0158,0.9772 ± 0.0038,0.2636 ± 0.0204,0.0240762546128478,0.9699914926859842,0.3566295970700681,0.535
ICA4+VQC(Custom_H_RY_RZ+Real_Amplitude_like),51,0.9418 ± 0.0036,"[0.9341, 0.9488]",0.0147,0.9064 ± 0.0098,"[0.8850, 0.9247]",0.0396,0.9569 ± 0.0050,0.2067 ± 0.0156,0.0202777282552283,0.9707019699312208,0.3495493227146566,0.2555
ICA4+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),50,0.9402 ± 0.0039,"[0.9317, 0.9481]",0.0164,0.9446 ± 0.0061,"[0.9312, 0.9562]",0.025,0.9378 ± 0.0057,0.1569 ± 0.0149,0.0396524972749977,0.8924975886338719,0.2526268567863851,0.7865
XGB_PCA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),44,0.9391 ± 0.0036,"[0.9327, 0.9454]",0.0127,0.9620 ± 0.0042,"[0.9539, 0.9696]",0.0157,0.9870 ± 0.0028,0.3164 ± 0.0201,0.0380268840287277,0.8891190179462116,0.2645293207932264,0.832
Autoencoder+VQC(IQP_style_encoding+custom_ansatz_1),54,0.9382 ± 0.0044,"[0.9285, 0.9454]",0.0168,0.9634 ± 0.0039,"[0.9555, 0.9704]",0.015,0.9202 ± 0.0069,0.1142 ± 0.0139,0.0605916098634553,0.8822712936465644,0.2217345854258786,0.854
PCA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),55,0.9376 ± 0.0046,"[0.9285, 0.9462]",0.0177,0.9453 ± 0.0059,"[0.9337, 0.9573]",0.0236,0.9191 ± 0.0068,0.1142 ± 0.0140,0.0379626865882396,0.9517472552641144,0.3087024151670435,0.5475
ICA4+VQC(ZZ_Feature_Map_style+strongly_entangling),46,0.9376 ± 0.0041,"[0.9286, 0.9455]",0.0169,0.9478 ± 0.0056,"[0.9373, 0.9577]",0.0204,0.9417 ± 0.0056,0.1844 ± 0.0166,0.0339921221402026,0.9921879841725232,0.3706173754319549,0.012
XGB_PCA4+VQC(RX_Angle_Encoding+strongly_entangling),56,0.9350 ± 0.0041,"[0.9271, 0.9433]",0.0162,0.9461 ± 0.0055,"[0.9357, 0.9567]",0.021,0.9035 ± 0.0063,0.0804 ± 0.0123,0.015343067351683,0.934969295118062,0.2827834638945758,0.205
