feature_set,ansatz,encoding,auc,f1,threshold
xgb_pca4,real_amplitudes,iqp_embedding,0.9764026852160922,0.9891304347826086,0.4349999999999999
autoencoder,efficient_su2_like,amplitude_embedding,0.9862657003162764,0.9880911874787344,0.4799999999999999
pca4,custom_ansatz_1,zz_feature_map,0.976053540620352,0.9840623940318752,0.4449999999999999
xgb_pca4,custom_ansatz_1,iqp_embedding,0.9692624863955104,0.9837618403247632,0.4299999999999999
autoencoder,custom_ansatz_1,ry_embedding,0.9626619909427032,0.9826471588975842,0.4649999999999999
xgb_pca4,efficient_su2_like,custom_h_ry_rz,0.9669962438180304,0.9822888283378748,0.4499999999999999
autoencoder,strongly_entangling,iqp_embedding,0.969488854869672,0.9812478690760312,0.4499999999999999
autoencoder,real_amplitudes,ry_embedding,0.9637656971189816,0.9814126394052044,0.4349999999999999
autoencoder,real_amplitudes,rx_embedding,0.9685974490702906,0.9809782608695652,0.4499999999999999
xgb_pca4,real_amplitudes,custom_h_ry_rz,0.9632605245354012,0.9788106630211894,0.4399999999999999
xgb_pca4,efficient_su2_like,iqp_embedding,0.9723127056659902,0.9763353617308992,0.3899999999999999
ica4,efficient_su2_like,custom_h_ry_rz,0.9809236601096544,0.9747956403269756,0.4899999999999999
xgb_pca4,efficient_su2_like,amplitude_embedding,0.9297349698367204,0.9752342704149932,0.3599999999999999
xgb_pca4,real_amplitudes,amplitude_embedding,0.9441841846450556,0.9748911951791096,0.3999999999999999
pca4,efficient_su2_like,zz_feature_map,0.9806947337996268,0.9741672331747112,0.3999999999999999
pca4,custom_ansatz_1,custom_h_ry_rz,0.9732284109061006,0.9737726967047748,0.4099999999999999
autoencoder,efficient_su2_like,iqp_embedding,0.9631134489730928,0.9732510288065844,0.4299999999999999
xgb_pca4,custom_ansatz_1,amplitude_embedding,0.9400967629308196,0.9739652870493992,0.3599999999999999
xgb_pca4,strongly_entangling,amplitude_embedding,0.9344132516360558,0.9739652870493992,0.3349999999999999
autoencoder,strongly_entangling,amplitude_embedding,0.9514049552954236,0.9728615596015115,0.5099999999999999
ica4,efficient_su2_like,iqp_embedding,0.9757248587115414,0.9713701431492844,0.3999999999999999
autoencoder,custom_ansatz_1,rx_embedding,0.9564515654594962,0.9708004122294744,0.4749999999999999
pca4,real_amplitudes,custom_h_ry_rz,0.9712486459456384,0.9710632570659488,0.4349999999999999
xgb_pca4,strongly_entangling,iqp_embedding,0.9597869834290604,0.9700883752549286,0.4699999999999999
ica4,strongly_entangling,iqp_embedding,0.9717691655444162,0.9669669669669668,0.3849999999999999
autoencoder,efficient_su2_like,ry_embedding,0.944299287259036,0.9657511020684978,0.4749999999999999
autoencoder,custom_ansatz_1,zz_feature_map,0.9739215844258492,0.9633724948168624,0.4899999999999999
