feature_set,train_size,ansatz,encoding,sigma_noise,n_params,elapsed_s,gpu_id,sigma_epi_mean,sigma_epi_std,entropy_mean,entropy_std,vr_mean,ece,deploy_coverage
xgb_pca4,5000,real_amplitudes,iqp_embedding,0.08690187822563922,12,19.4,3,0.02671951711647233,0.005072769502681218,0.9762335613253773,0.02522611855771989,0.02713333333333333,0.41077899707456417,1.0
autoencoder,5000,efficient_su2_like,amplitude_embedding,0.08238309706717223,24,16.0,3,0.028359744570892652,0.002230167319189451,0.9956545571951931,0.013595848076252694,0.19166666666666665,0.43515755686524005,1.0
pca4,5000,custom_ansatz_1,zz_feature_map,0.10830813515025402,16,20.5,0,0.041703443488481415,0.010031050876054715,0.9250846975671606,0.07235325500445491,0.0364,0.3362965024933219,1.0
xgb_pca4,5000,custom_ansatz_1,iqp_embedding,0.10818708881691556,16,20.5,1,0.022747466043054033,0.005092666350960542,0.9954538637379785,0.00721316073099605,0.015849999999999996,0.43587352894693615,0.124
autoencoder,5000,custom_ansatz_1,ry_embedding,0.09475266756635499,16,14.9,2,0.05405525236836139,0.009525049014883545,0.9293561629212762,0.07575810678216739,0.06313333333333333,0.33564904676775126,1.0
xgb_pca4,5000,efficient_su2_like,custom_h_ry_rz,0.08263118713924063,24,16.7,3,0.031076819682508913,0.004092867663974257,0.9926857115629076,0.01685258605016003,0.1224,0.444449792832012,1.0
autoencoder,5000,strongly_entangling,iqp_embedding,0.13137229515103718,24,18.0,2,0.03594155599702405,0.0064163598688925265,0.9600507128948652,0.023029400188491096,0.022999999999999996,0.3657803204677999,1.0
autoencoder,5000,real_amplitudes,ry_embedding,0.11042856962162768,12,12.7,0,0.08446229562587386,0.012564068244695758,0.9289502037759557,0.07577080063275413,0.09641666666666665,0.3332332691937686,1.0
autoencoder,5000,real_amplitudes,rx_embedding,0.10246067169562002,12,13.1,3,0.024578115130765806,0.0034621220733692453,0.9474817604038472,0.05516474280250149,0.022066666666666665,0.3554859874844551,1.0
xgb_pca4,5000,real_amplitudes,custom_h_ry_rz,0.08504683216419018,12,16.9,2,0.026201923068025677,0.002656492367601757,0.9845492814031791,0.01892034150985394,0.04806666666666666,0.4158697698652744,1.0
xgb_pca4,5000,efficient_su2_like,iqp_embedding,0.11587543420976372,24,19.8,0,0.049015297795450094,0.0038304020077201337,0.9976016183637787,0.001997664103413568,0.01968333333333333,0.40228300156195956,0.006
ica4,5000,efficient_su2_like,custom_h_ry_rz,0.11642945136545246,24,20.0,1,0.05458730283961948,0.010912276657851739,0.9326893408773227,0.060467746481595065,0.07198333333333333,0.33008984398469327,1.0
xgb_pca4,5000,efficient_su2_like,amplitude_embedding,0.1622526026451451,24,14.8,3,0.05502982972918853,0.0015768690647222686,0.936244508154277,0.03535807759668672,0.26913333333333334,0.406572945736597,0.251
xgb_pca4,5000,real_amplitudes,amplitude_embedding,0.1305012526311106,12,13.0,2,0.0646220853792975,0.0042056266996911475,0.9699488946530985,0.0261739318332953,0.2538,0.35960852737079063,0.2565
pca4,5000,efficient_su2_like,zz_feature_map,0.12763372725179264,24,22.4,2,0.05770256936207284,0.013613003836059167,0.8687401221070102,0.10661323226097835,0.04535,0.2932957992908855,1.0
pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.07722753927214183,16,17.6,3,0.01823360959612437,0.0028669064273845546,0.9867312413890813,0.016548020460932327,0.0489,0.4328668263241649,1.0
autoencoder,5000,efficient_su2_like,iqp_embedding,0.12670514247462616,24,20.7,0,0.0403672070097768,0.010436985511654553,0.8706642304944318,0.0780973786400088,0.023066666666666666,0.2654023544821888,1.0
xgb_pca4,5000,custom_ansatz_1,amplitude_embedding,0.1560850735834289,16,12.7,0,0.06545042447077637,0.003942783997142967,0.9692956458437939,0.02546385543179182,0.2401666666666667,0.4290446107593675,0.1735
xgb_pca4,5000,strongly_entangling,amplitude_embedding,0.18956211255887068,24,11.9,1,0.05668185521514458,0.002725511911262303,0.9302282476038227,0.041866986538225286,0.28468333333333334,0.42320398673067494,0.248
autoencoder,5000,strongly_entangling,amplitude_embedding,0.10896567999153967,24,12.1,1,0.04717106329187424,0.007922967548971423,0.9426339632605482,0.06952682348125766,0.052066666666666664,0.3453885132980844,1.0
ica4,5000,efficient_su2_like,iqp_embedding,0.14478434779082325,24,22.8,2,0.07540353684704752,0.01469628865130204,0.8738191794104169,0.07683839836623636,0.05993333333333333,0.26705715531135593,1.0
autoencoder,5000,custom_ansatz_1,rx_embedding,0.06929500971224527,16,14.9,1,0.01829540494854458,0.00396677168016356,0.964477973927186,0.04231793951525837,0.025566666666666668,0.36303246212229134,1.0
pca4,5000,real_amplitudes,custom_h_ry_rz,0.08516277718536376,12,15.8,3,0.025842107375972753,0.002943476186007443,0.9848531189144945,0.01756348467917888,0.07381666666666667,0.41636137998079265,1.0
xgb_pca4,5000,strongly_entangling,iqp_embedding,0.0935169437797928,24,18.8,2,0.024773441968276657,0.0021415147260445207,0.999772428441067,0.00014330838977053378,0.08039999999999997,0.2548357358838121,0.7545
ica4,5000,strongly_entangling,iqp_embedding,0.12182717047427984,24,18.0,1,0.046168219003247656,0.008732600840099004,0.9216136138880582,0.06385528568698014,0.019116666666666664,0.30800626161657274,0.952
autoencoder,5000,efficient_su2_like,ry_embedding,0.11090829971840895,24,16.2,1,0.06470886672541397,0.006759115813437792,0.9652031228378628,0.05387792353815892,0.1555,0.35351058783909933,0.016
autoencoder,5000,custom_ansatz_1,zz_feature_map,0.13872552962453155,16,20.5,2,0.04002230339714063,0.00877418582794319,0.9656447071229375,0.02544026816528748,0.03866666666666666,0.35546083259532857,1.0
pca4,5000,real_amplitudes,zz_feature_map,0.08938293871239977,12,19.3,0,0.0348733949750183,0.006653277115876752,0.9714160686670966,0.022527949015941816,0.05893333333333333,0.3530571581954757,0.764
xgb_pca4,5000,real_amplitudes,zz_feature_map,0.12069288190475848,12,20.0,0,0.03171382732519023,0.007634719995639664,0.9957502366418921,0.003296808620688564,0.026583333333333327,0.3683507819434007,0.0005
pca4,5000,strongly_entangling,zz_feature_map,0.14006851506728532,24,19.3,3,0.05748567251175552,0.01094367524187052,0.8986759023633122,0.08761631920332552,0.03926666666666666,0.2778102336647609,0.833
pca4,5000,strongly_entangling,iqp_embedding,0.10045651278230981,24,18.2,2,0.02776633892769835,0.00411157572702882,0.9991271103351855,0.0010315314124439425,0.004433333333333332,0.4467840975468357,0.2165
xgb_pca4,5000,custom_ansatz_1,zz_feature_map,0.12908900168897272,16,20.5,2,0.034380748419608406,0.009687966799572982,0.8559330797135747,0.07782041903322467,0.022033333333333332,0.23520584007427098,0.9045
autoencoder,5000,efficient_su2_like,zz_feature_map,0.11346181279365741,24,22.4,1,0.027523904698299687,0.007028368560513488,0.9858817031390497,0.014449104325873968,0.0378,0.38484686174492033,0.8265
xgb_pca4,5000,strongly_entangling,ry_embedding,0.08746998730067308,24,12.8,3,0.04148616675687184,0.008320798705989342,0.9354027787303887,0.07492087870748496,0.055133333333333326,0.31268317842483534,0.5465
autoencoder,5000,efficient_su2_like,custom_h_ry_rz,0.09843690254386872,24,18.3,3,0.035967104023950085,0.004852437329837523,0.9756722492554207,0.027900559582144314,0.08893333333333332,0.3534913384266197,0.9135
autoencoder,5000,real_amplitudes,zz_feature_map,0.09898456143373537,12,19.3,0,0.022818031995096716,0.008417170064393043,0.9896156170792992,0.013555086677753863,0.049150000000000006,0.40053447378824153,0.9575
ica4,5000,custom_ansatz_1,custom_h_ry_rz,0.09102402830128621,16,16.1,0,0.022299491295691073,0.004055786860812872,0.9855656868420983,0.017016392749467802,0.03718333333333334,0.37730426983286947,0.6145
autoencoder,5000,efficient_su2_like,rx_embedding,0.09110453383835382,24,16.1,0,0.03756322299737431,0.003762475794466826,0.969542019147704,0.03602468979813106,0.05389999999999999,0.34132933481261135,0.882
ica4,5000,real_amplitudes,iqp_embedding,0.12102166681694278,12,18.7,3,0.050927262017871386,0.009840575176434675,0.8767405400264875,0.08038796546095214,0.04648333333333333,0.2590562635211895,0.845
autoencoder,5000,strongly_entangling,zz_feature_map,0.11414394262237466,24,19.7,3,0.045204599700259425,0.009424470950249437,0.8484808205637402,0.10349443145682613,0.03206666666666666,0.22821775647252796,0.884
pca4,5000,efficient_su2_like,iqp_embedding,0.11310876858799142,24,22.1,2,0.04398142287064745,0.006484592858153481,0.91425286519366,0.08447276513573487,0.05116666666666666,0.2909783257951339,0.7625
pca4,5000,real_amplitudes,iqp_embedding,0.08305000265400204,12,19.0,0,0.03807961452785278,0.00945461320323947,0.9594375519570786,0.044017390928009555,0.05921666666666667,0.33507653864920145,0.723
pca4,5000,strongly_entangling,rx_embedding,0.057803965328932665,24,12.7,2,0.007557768800096336,0.001625103028474839,0.9924973305186159,0.0074686858285600895,0.02338333333333333,0.1906275089705983,0.7385
xgb_pca4,5000,efficient_su2_like,zz_feature_map,0.11955591838805736,24,22.0,1,0.038026884028727705,0.010081151859817927,0.8891190179462116,0.10414918181435455,0.02308333333333333,0.26452932079322644,0.832
ica4,5000,custom_ansatz_1,zz_feature_map,0.12261781340599232,16,20.9,1,0.03596554667241203,0.009300685949473142,0.9210702145558335,0.07256554198446845,0.032483333333333336,0.2845602697065721,0.7585
ica4,5000,strongly_entangling,zz_feature_map,0.11281115999859792,24,17.8,2,0.03399212214020264,0.008278036539706594,0.9921879841725231,0.00862288279189655,0.12004999999999998,0.3706173754319549,0.012
autoencoder,5000,real_amplitudes,iqp_embedding,0.1352177863814492,12,20.7,3,0.04400546930252288,0.005577392946160629,0.8813079372721107,0.06841050499778656,0.023316666666666666,0.2370671135878811,0.9245
ica4,5000,custom_ansatz_1,iqp_embedding,0.1253072599684902,16,20.9,0,0.04498505402617401,0.011186361925310598,0.9851290198119049,0.014400554037805905,0.07923333333333332,0.3541542691210906,0.3455
xgb_pca4,5000,real_amplitudes,ry_embedding,0.10529690462159476,12,13.0,0,0.06570229572086525,0.014566207080371006,0.9146435772590016,0.08585557609804317,0.0841,0.27125239928253,0.901
ica4,5000,real_amplitudes,zz_feature_map,0.1050387217068066,12,18.9,0,0.039652497274997756,0.01175651586342772,0.8924975886338719,0.09458434220101589,0.024466666666666664,0.2526268567863851,0.7865
ica4,5000,real_amplitudes,custom_h_ry_rz,0.08712616508766007,12,17.5,3,0.02027772825522835,0.0033009023195213687,0.9707019699312207,0.03346612286530343,0.0184,0.3495493227146566,0.2555
ica4,5000,strongly_entangling,custom_h_ry_rz,0.09057469865155161,24,14.5,0,0.024076254612847868,0.005298860031496422,0.9699914926859842,0.031218433053730857,0.054549999999999994,0.35662959707006814,0.535
xgb_pca4,5000,strongly_entangling,zz_feature_map,0.10424186715707033,24,17.2,3,0.03242992743071883,0.009751821327043168,0.8421240140180214,0.10686442401474452,0.022299999999999997,0.21450556505993007,0.401
autoencoder,5000,custom_ansatz_1,iqp_embedding,0.13763323548590736,16,21.0,1,0.060591609863455374,0.01395092700555059,0.8822712936465644,0.06879745893133893,0.05963333333333332,0.22173458542587865,0.854
pca4,5000,efficient_su2_like,custom_h_ry_rz,0.08219815814527397,24,19.3,1,0.037962686588239605,0.007143053945334002,0.9517472552641145,0.06022396610935827,0.10588333333333333,0.30870241516704355,0.5475
xgb_pca4,5000,strongly_entangling,rx_embedding,0.06473594669734956,24,12.8,2,0.015343067351683023,0.0034040607713854342,0.9349692951180619,0.08611213358170021,0.018683333333333333,0.28278346389457587,0.205
pca4,5000,custom_ansatz_1,iqp_embedding,0.06993868384978268,16,18.6,0,0.017541981998602317,0.0037329971464464657,0.9877275631939842,0.020920785863123723,0.02238333333333333,0.33268426621208586,0.142
pca4,5000,efficient_su2_like,amplitude_embedding,0.08747588682955658,24,15.1,1,0.03628466792707269,0.0020949563442295227,0.9413745539509965,0.01863606778861988,0.06348333333333332,0.37379413331275185,0.121
pca4,5000,custom_ansatz_1,amplitude_embedding,0.05708597613365111,16,13.3,3,0.020970884093579754,0.0036716247896720843,0.9852339023664595,0.015991800009843054,0.1164333333333333,0.3358236664752165,0.185
