feature_set,train_size,ansatz,encoding,sigma_noise,n_params,elapsed_s,gpu_id,sigma_epi_mean,sigma_epi_std,entropy_mean,entropy_std,vr_mean,ece,deploy_coverage
xgb_pca4,5000,Real_Amplitude_like,IQP_style_encoding,0.0869018782256392,12,19.4,3,0.0267195171164723,0.0050727695026812,0.9762335613253772,0.0252261185577198,0.0271333333333333,0.4107789970745641,1.0
autoencoder,5000,EfficientSU2_like,Amplitude_Embedding,0.0823830970671722,24,16.0,3,0.0283597445708926,0.0022301673191894,0.9956545571951932,0.0135958480762526,0.1916666666666666,0.43515755686524,1.0
pca4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.108308135150254,16,20.5,0,0.0417034434884814,0.0100310508760547,0.9250846975671606,0.0723532550044549,0.0364,0.3362965024933219,1.0
xgb_pca4,5000,custom_ansatz_1,IQP_style_encoding,0.1081870888169155,16,20.5,1,0.022747466043054,0.0050926663509605,0.9954538637379784,0.007213160730996,0.0158499999999999,0.4358735289469361,0.124
autoencoder,5000,custom_ansatz_1,RY_Angle_Encoding,0.0947526675663549,16,14.9,2,0.0540552523683613,0.0095250490148835,0.9293561629212762,0.0757581067821673,0.0631333333333333,0.3356490467677512,1.0
xgb_pca4,5000,EfficientSU2_like,Custom_H_RY_RZ,0.0826311871392406,24,16.7,3,0.0310768196825089,0.0040928676639742,0.9926857115629076,0.01685258605016,0.1224,0.444449792832012,1.0
autoencoder,5000,strongly_entangling,IQP_style_encoding,0.1313722951510371,24,18.0,2,0.035941555997024,0.0064163598688925,0.9600507128948652,0.023029400188491,0.0229999999999999,0.3657803204677999,1.0
autoencoder,5000,Real_Amplitude_like,RY_Angle_Encoding,0.1104285696216276,12,12.7,0,0.0844622956258738,0.0125640682446957,0.9289502037759556,0.0757708006327541,0.0964166666666666,0.3332332691937686,1.0
autoencoder,5000,Real_Amplitude_like,RX_Angle_Encoding,0.10246067169562,12,13.1,3,0.0245781151307658,0.0034621220733692,0.9474817604038472,0.0551647428025014,0.0220666666666666,0.3554859874844551,1.0
xgb_pca4,5000,Real_Amplitude_like,Custom_H_RY_RZ,0.0850468321641901,12,16.9,2,0.0262019230680256,0.0026564923676017,0.9845492814031792,0.0189203415098539,0.0480666666666666,0.4158697698652744,1.0
xgb_pca4,5000,EfficientSU2_like,IQP_style_encoding,0.1158754342097637,24,19.8,0,0.04901529779545,0.0038304020077201,0.9976016183637788,0.0019976641034135,0.0196833333333333,0.4022830015619595,0.006
ica4,5000,EfficientSU2_like,Custom_H_RY_RZ,0.1164294513654524,24,20.0,1,0.0545873028396194,0.0109122766578517,0.9326893408773228,0.060467746481595,0.0719833333333333,0.3300898439846932,1.0
xgb_pca4,5000,EfficientSU2_like,Amplitude_Embedding,0.1622526026451451,24,14.8,3,0.0550298297291885,0.0015768690647222,0.936244508154277,0.0353580775966867,0.2691333333333333,0.406572945736597,0.251
xgb_pca4,5000,Real_Amplitude_like,Amplitude_Embedding,0.1305012526311106,12,13.0,2,0.0646220853792975,0.0042056266996911,0.9699488946530984,0.0261739318332953,0.2538,0.3596085273707906,0.2565
pca4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.1276337272517926,24,22.4,2,0.0577025693620728,0.0136130038360591,0.8687401221070102,0.1066132322609783,0.04535,0.2932957992908855,1.0
pca4,5000,custom_ansatz_1,Custom_H_RY_RZ,0.0772275392721418,16,17.6,3,0.0182336095961243,0.0028669064273845,0.9867312413890812,0.0165480204609323,0.0489,0.4328668263241649,1.0
autoencoder,5000,EfficientSU2_like,IQP_style_encoding,0.1267051424746261,24,20.7,0,0.0403672070097768,0.0104369855116545,0.8706642304944318,0.0780973786400088,0.0230666666666666,0.2654023544821888,1.0
