feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
xgb_pca4,5000,real_amplitudes,iqp_embedding,0.984,0.9891156462585035,0.9755701096416344,0.9871011541072641,0.9911383776414451,0.4499999999999999,5,0.984,0.9891156462585035,0.985212890435387
autoencoder,5000,efficient_su2_like,amplitude_embedding,0.9835,0.9888173500508303,0.9837411163163071,0.9831536388140162,0.994546693933197,0.4749999999999999,17,0.982,0.9878378378378379,0.9865567086162761
xgb_pca4,5000,real_amplitudes,custom_h_ry_rz,0.979,0.9857723577235772,0.9661815730946361,0.9797979797979798,0.9918200408997955,0.41999999999999993,19,0.977,0.9844908968307485,0.9740740173010204
pca4,5000,custom_ansatz_1,zz_feature_map,0.9765,0.9840623940318752,0.976053540620352,0.9790823211875843,0.989093387866394,0.44499999999999995,20,0.966,0.9769021739130435,0.9728119523174477
xgb_pca4,5000,custom_ansatz_1,iqp_embedding,0.976,0.9837618403247632,0.9692624863955105,0.9764942914707858,0.9911383776414451,0.42999999999999994,7,0.975,0.983142279163857,0.9790762910618207
autoencoder,5000,custom_ansatz_1,ry_embedding,0.9745,0.9826471588975842,0.9626619909427031,0.9809782608695652,0.9843217450579413,0.4649999999999999,20,0.966,0.9769021739130435,0.956875188415572
autoencoder,5000,strongly_entangling,iqp_embedding,0.9725,0.9812478690760313,0.969488854869672,0.9815825375170532,0.9809134287661895,0.4499999999999999,11,0.974,0.9823369565217391,0.9652804390146695
autoencoder,5000,real_amplitudes,ry_embedding,0.9725,0.9814126394052045,0.9637656971189816,0.9731903485254692,0.9897750511247444,0.43499999999999994,20,0.973,0.9818670248488919,0.960365028026018
autoencoder,5000,real_amplitudes,rx_embedding,0.972,0.9809782608695652,0.9685974490702906,0.977657413676371,0.9843217450579413,0.4499999999999999,20,0.968,0.9783783783783784,0.9682235541180619
xgb_pca4,5000,efficient_su2_like,iqp_embedding,0.9665,0.977326565143824,0.9727718372039783,0.9704301075268817,0.9843217450579413,0.38999999999999996,5,0.965,0.976271186440678,0.9829135817608617
xgb_pca4,5000,efficient_su2_like,amplitude_embedding,0.963,0.9752342704149933,0.9297349698367205,0.957922419460881,0.9931833674164963,0.35999999999999993,18,0.961,0.9739130434782609,0.9266213958336527
ica4,5000,efficient_su2_like,custom_h_ry_rz,0.962,0.9741847826086957,0.9849688775320976,0.970886932972241,0.9775051124744376,0.4649999999999999,19,0.965,0.976303317535545,0.9817537082739346
autoencoder,5000,efficient_su2_like,iqp_embedding,0.962,0.9740967961826857,0.9621529816053235,0.9740967961826857,0.9740967961826857,0.4149999999999999,18,0.968,0.9782608695652174,0.9608759855092458
pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.961,0.9737726967047747,0.9732284109061006,0.9608493696084937,0.9870483980913429,0.4099999999999999,15,0.956,0.9706666666666667,0.9765061749211847
xgb_pca4,5000,custom_ansatz_1,amplitude_embedding,0.961,0.9739652870493992,0.9400967629308196,0.9542184434270765,0.994546693933197,0.35999999999999993,19,0.957,0.9713524317121919,0.9434932119298354
xgb_pca4,5000,strongly_entangling,amplitude_embedding,0.961,0.9739652870493992,0.9344132516360558,0.9542184434270765,0.994546693933197,0.33499999999999996,19,0.958,0.9719626168224299,0.9336726091021966
autoencoder,5000,strongly_entangling,amplitude_embedding,0.9605,0.9728615596015115,0.9514049552954236,0.9806094182825484,0.9652351738241309,0.5099999999999999,18,0.967,0.9774744027303754,0.9499466049430025
pca4,5000,efficient_su2_like,zz_feature_map,0.9585,0.9719310111599594,0.9753910611309983,0.9644295302013423,0.9795501022494888,0.38499999999999995,13,0.945,0.962762356127285,0.969695111669758
autoencoder,5000,custom_ansatz_1,rx_embedding,0.9575,0.9708004122294744,0.9564515654594962,0.9785318559556787,0.9631901840490797,0.4749999999999999,20,0.948,0.9643835616438357,0.9566656958474486
xgb_pca4,5000,efficient_su2_like,custom_h_ry_rz,0.9565,0.9701748371614672,0.9634344573743048,0.9758620689655172,0.9645535105657805,0.4499999999999999,20,0.953,0.9677861549006168,0.9713608330650807
xgb_pca4,5000,strongly_entangling,iqp_embedding,0.956,0.9700883752549286,0.9597869834290603,0.967457627118644,0.972733469665985,0.4699999999999999,3,0.958,0.9713506139154161,0.9689644424687421
ica4,5000,strongly_entangling,iqp_embedding,0.9505,0.9669669669669669,0.9717691655444162,0.9470588235294117,0.9877300613496932,0.38499999999999995,18,0.954,0.9693333333333334,0.9684739232848435
ica4,5000,efficient_su2_like,iqp_embedding,0.9495,0.9652801650051565,0.97151210303986,0.9736477115117892,0.9570552147239264,0.4699999999999999,20,0.939,0.9576682859125607,0.965709643300581
autoencoder,5000,efficient_su2_like,ry_embedding,0.9495,0.9657511020684978,0.9442992872590359,0.9608636977058029,0.9706884798909339,0.4749999999999999,20,0.958,0.9714285714285714,0.9490013335990313
