feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
xgb_pca4,5000,Real_Amplitude_like,IQP_style_encoding,0.984,0.9891156462585036,0.9755701096416344,0.987101154107264,0.9911383776414452,0.9911383776414452,0.0356472795497185,1454,514,19,13,0.4499999999999999,5,0.984,0.9891156462585036,0.985212890435387
autoencoder,5000,EfficientSU2_like,amplitude_embedding,0.9835,0.9888173500508304,0.9837411163163072,0.9831536388140162,0.994546693933197,0.994546693933197,0.0469043151969981,1459,508,25,8,0.4749999999999999,17,0.982,0.987837837837838,0.986556708616276
xgb_pca4,5000,Real_Amplitude_like,custom_h_ry_rz,0.979,0.9857723577235772,0.966181573094636,0.9797979797979798,0.9918200408997956,0.9918200408997956,0.0562851782363977,1455,503,30,12,0.4199999999999999,19,0.977,0.9844908968307484,0.9740740173010204
pca4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.9765,0.9840623940318752,0.976053540620352,0.9790823211875844,0.989093387866394,0.989093387866394,0.0581613508442776,1451,502,31,16,0.4449999999999999,20,0.966,0.9769021739130436,0.9728119523174475
xgb_pca4,5000,custom_ansatz_1,IQP_style_encoding,0.976,0.9837618403247632,0.9692624863955104,0.9764942914707858,0.9911383776414452,0.9911383776414452,0.0656660412757973,1454,498,35,13,0.4299999999999999,7,0.975,0.983142279163857,0.9790762910618208
autoencoder,5000,custom_ansatz_1,ry_embedding,0.9745,0.9826471588975842,0.9626619909427032,0.9809782608695652,0.9843217450579412,0.9843217450579412,0.0525328330206379,1444,505,28,23,0.4649999999999999,20,0.966,0.9769021739130436,0.956875188415572
autoencoder,5000,strongly_entangling,IQP_style_encoding,0.9725,0.9812478690760312,0.969488854869672,0.9815825375170532,0.9809134287661896,0.9809134287661896,0.0506566604127579,1439,506,27,28,0.4499999999999999,11,0.974,0.9823369565217392,0.9652804390146696
autoencoder,5000,Real_Amplitude_like,ry_embedding,0.9725,0.9814126394052044,0.9637656971189816,0.9731903485254692,0.9897750511247444,0.9897750511247444,0.075046904315197,1452,493,40,15,0.4349999999999999,20,0.973,0.981867024848892,0.960365028026018
autoencoder,5000,Real_Amplitude_like,rx_embedding,0.972,0.9809782608695652,0.9685974490702906,0.977657413676371,0.9843217450579412,0.9843217450579412,0.0619136960600375,1444,500,33,23,0.4499999999999999,20,0.968,0.9783783783783784,0.968223554118062
xgb_pca4,5000,EfficientSU2_like,IQP_style_encoding,0.9665,0.977326565143824,0.9727718372039784,0.9704301075268816,0.9843217450579412,0.9843217450579412,0.0825515947467167,1444,489,44,23,0.3899999999999999,5,0.965,0.976271186440678,0.9829135817608616
xgb_pca4,5000,EfficientSU2_like,amplitude_embedding,0.963,0.9752342704149932,0.9297349698367204,0.957922419460881,0.9931833674164964,0.9931833674164964,0.1200750469043152,1457,469,64,10,0.3599999999999999,18,0.961,0.9739130434782608,0.9266213958336528
ica4,5000,EfficientSU2_like,custom_h_ry_rz,0.962,0.9741847826086956,0.9849688775320976,0.970886932972241,0.9775051124744376,0.9775051124744376,0.0806754221388367,1434,490,43,33,0.4649999999999999,19,0.965,0.976303317535545,0.9817537082739346
