feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,EfficientSU2_like,amplitude_embedding,0.9845,0.9895022011513714,0.9806550873437,0.9831763122476448,0.9959100204498976,0.9959100204498976,0.0469043151969981,1461,508,25,6,0.4749999999999999,15,0.983,0.9885212694125592,0.982806280689384
xgb_pca4,5000,Real_Amplitude_like,IQP_style_encoding,0.983,0.9884432358939496,0.9752721217632188,0.9857627118644068,0.9911383776414452,0.9911383776414452,0.0393996247654784,1454,512,21,13,0.4349999999999999,15,0.985,0.989802855200544,0.9856114372723046
xgb_pca4,5000,Real_Amplitude_like,custom_h_ry_rz,0.977,0.9843430905377808,0.9680065889851914,0.9830047586675732,0.985685071574642,0.985685071574642,0.0469043151969981,1446,508,25,21,0.4449999999999999,20,0.975,0.9830047586675732,0.9774054600916656
pca4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.9765,0.9840623940318752,0.976053540620352,0.9790823211875844,0.989093387866394,0.989093387866394,0.0581613508442776,1451,502,31,16,0.4449999999999999,20,0.966,0.9769021739130436,0.9728119523174475
xgb_pca4,5000,custom_ansatz_1,IQP_style_encoding,0.976,0.9837618403247632,0.9692624863955104,0.9764942914707858,0.9911383776414452,0.9911383776414452,0.0656660412757973,1454,498,35,13,0.4299999999999999,7,0.975,0.983142279163857,0.9790762910618208
autoencoder,5000,custom_ansatz_1,ry_embedding,0.9745,0.9826471588975842,0.9626619909427032,0.9809782608695652,0.9843217450579412,0.9843217450579412,0.0525328330206379,1444,505,28,23,0.4649999999999999,20,0.966,0.9769021739130436,0.956875188415572
autoencoder,5000,Real_Amplitude_like,ry_embedding,0.9725,0.9814126394052044,0.9637656971189816,0.9731903485254692,0.9897750511247444,0.9897750511247444,0.075046904315197,1452,493,40,15,0.4349999999999999,20,0.973,0.981867024848892,0.960365028026018
autoencoder,5000,strongly_entangling,IQP_style_encoding,0.9725,0.9812478690760312,0.969488854869672,0.9815825375170532,0.9809134287661896,0.9809134287661896,0.0506566604127579,1439,506,27,28,0.4499999999999999,11,0.974,0.9823369565217392,0.9652804390146696
autoencoder,5000,Real_Amplitude_like,rx_embedding,0.972,0.9809782608695652,0.9685974490702906,0.977657413676371,0.9843217450579412,0.9843217450579412,0.0619136960600375,1444,500,33,23,0.4499999999999999,20,0.968,0.9783783783783784,0.968223554118062
xgb_pca4,5000,EfficientSU2_like,IQP_style_encoding,0.9665,0.977326565143824,0.9727718372039784,0.9704301075268816,0.9843217450579412,0.9843217450579412,0.0825515947467167,1444,489,44,23,0.3899999999999999,5,0.965,0.976271186440678,0.9829135817608616
pca4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.964,0.9755600814663952,0.977897740279904,0.9716024340770792,0.9795501022494888,0.9795501022494888,0.0787992495309568,1437,491,42,30,0.3949999999999999,10,0.949,0.965282505105514,0.9737112374879284
ica4,5000,EfficientSU2_like,custom_h_ry_rz,0.962,0.9741847826086956,0.9849688775320976,0.970886932972241,0.9775051124744376,0.9775051124744376,0.0806754221388367,1434,490,43,33,0.4649999999999999,19,0.965,0.976303317535545,0.9817537082739346
xgb_pca4,5000,strongly_entangling,amplitude_embedding,0.961,0.9739652870493992,0.9344132516360558,0.9542184434270764,0.994546693933197,0.994546693933197,0.1313320825515947,1459,463,70,8,0.3349999999999999,19,0.958,0.97196261682243,0.9336726091021966
xgb_pca4,5000,EfficientSU2_like,amplitude_embedding,0.961,0.9739652870493992,0.9260874958914762,0.9542184434270764,0.994546693933197,0.994546693933197,0.1313320825515947,1459,463,70,8,0.3849999999999999,18,0.958,0.97196261682243,0.9221479630679932
xgb_pca4,5000,custom_ansatz_1,amplitude_embedding,0.961,0.9739652870493992,0.9400967629308196,0.9542184434270764,0.994546693933197,0.994546693933197,0.1313320825515947,1459,463,70,8,0.3599999999999999,19,0.957,0.971352431712192,0.9434932119298354
pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.961,0.9737726967047748,0.9732284109061006,0.9608493696084937,0.9870483980913428,0.9870483980913428,0.1106941838649155,1448,474,59,19,0.4099999999999999,15,0.956,0.9706666666666668,0.9765061749211849
